,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Chicago Bears,@Min,23.00,2.0,3,0,0,1,1,13,222,79,301
1,Atlanta Falcons,TB,17.00,2.0,3,0,1,0,1,24,259,35,294
2,Minnesota Vikings,Chi,17.00,7.0,1,0,2,0,0,17,117,92,209
3,New England Patriots,Buf,17.00,2.0,4,0,0,0,1,21,296,106,402
4,Jacksonville Jaguars,Ind,16.00,3.0,2,0,1,0,0,13,242,56,298
5,Kansas City Chiefs,@Den,16.00,2.0,1,0,1,0,0,3,50,216,266
6,New York Giants,Dal,14.00,6.0,1,0,1,0,0,14,251,49,300
7,Cleveland Browns,Pit,13.00,2.0,0,0,2,0,0,13,199,161,360
8,Arizona Cardinals,Sea,12.00,4.0,1,0,0,1,0,20,191,178,369
9,Miami Dolphins,NYJ,12.00,2.0,3,0,0,0,0,17,245,129,374
10,Philadelphia Eagles,Was,12.00,1.0,1,0,0,1,0,10,247,130,377
11,Pittsburgh Steelers,@Cle,11.00,2.0,1,0,0,0,0,9,168,72,240
12,Denver Broncos,KC,10.00,1.0,0,0,1,0,0,7,175,106,281
13,Green Bay Packers,Det,10.00,2.0,2,0,2,0,0,41,502,73,575
14,New Orleans Saints,Car,10.00,2.0,1,0,1,0,0,17,137,164,301
15,Tampa Bay Buccaneers,@Atl,10.00,0.0,1,0,1,0,1,45,177,251,428
16,Detroit Lions,@GB,9.00,3.0,1,1,1,0,0,45,469,81,550
17,Indianapolis Colts,@Jax,9.00,3.0,0,0,1,0,0,19,71,190,261
18,New York Jets,@Mia,9.00,1.0,2,0,0,0,0,19,128,82,210
19,San Diego Chargers,@Oak,9.00,0.0,1,0,0,0,1,26,417,103,520
20,San Francisco 49ers,@Stl,8.00,3.0,2,0,0,0,0,27,200,111,311
21,Baltimore Ravens,@Cin,7.00,1.0,0,0,1,0,0,16,231,105,336
22,Seattle Seahawks,@Ari,7.00,2.0,1,0,1,0,0,23,257,131,388
23,Buffalo Bills,@NE,6.00,4.0,1,0,0,0,0,49,342,138,480
24,Houston Texans,Ten,6.00,3.0,0,0,1,0,0,23,275,86,361
25,Tennessee Titans,@Hou,6.00,3.0,0,0,1,0,0,22,235,152,387
26,Washington Redskins,@Phi,6.00,2.0,1,0,1,0,0,34,315,75,390
27,St. Louis Rams,SF,3.00,3.0,0,0,0,0,0,34,205,116,321
28,Carolina Panthers,@NO,2.00,0.0,1,0,0,0,0,45,409,208,617
29,Cincinnati Bengals,Bal,2.00,1.0,0,0,0,0,0,24,126,221,347
30,Dallas Cowboys,@NYG,2.00,2.0,0,0,0,0,0,31,331,106,437
31,Oakland Raiders,SD,2.00,0.0,1,0,0,0,0,38,310,153,463
