,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Lamar Miller, Mia",Hou,38.00,0,0,0,0,0,0,14,175,1,0,3,61,1,0,0,0
1,"Danny Woodhead, SD",Oak,32.00,0,0,0,0,0,0,5,26,0,0,11,75,2,0,0,0
2,"Todd Gurley, Stl",Cle,31.00,0,0,0,0,0,0,19,128,2,0,4,35,0,0,0,0
3,"Arian Foster, Hou",@Mia,28.00,0,0,0,0,0,0,18,59,1,0,5,66,1,0,0,0
4,"Darren McFadden, Dal",@NYG,24.00,0,0,0,0,0,0,29,152,1,0,2,10,0,0,0,0
5,"Mark Ingram, NO",@Ind,22.00,0,0,0,0,0,0,14,143,1,0,2,5,0,0,0,0
6,"Charcandrick West, KC",Pit,20.00,0,0,0,0,0,0,22,110,1,0,2,19,0,0,0,0
7,"Ryan Mathews, Phi",@Car,20.00,0,0,0,0,0,0,6,97,1,0,3,24,0,0,0,0
8,"Doug Martin, TB",@Was,19.00,0,0,0,0,0,0,19,136,0,0,3,35,0,0,0,0
9,"T.J. Yeldon, Jax",Buf,18.00,0,0,0,0,0,0,20,115,1,0,1,9,0,0,0,0
10,"Marshawn Lynch, Sea",@SF,18.00,0,0,0,0,0,0,27,122,1,0,0,0,0,0,0,0
11,"Chris Johnson, Ari",Bal,18.00,0,0,0,0,0,0,18,122,1,0,0,0,0,0,0,0
12,"Le'Veon Bell, Pit",@KC,17.00,0,0,0,0,0,0,17,121,0,0,4,16,0,0,0,0
13,"Khiry Robinson, NO",@Ind,15.00,0,0,0,0,0,0,14,28,2,0,1,3,0,0,0,0
14,"Latavius Murray, Oak",@SD,15.00,0,0,0,0,0,0,15,85,1,0,1,1,0,0,0,0
15,"Duke Johnson, Cle",@Stl,15.00,0,0,0,0,0,0,6,17,0,0,7,73,0,0,0,0
16,"Mike Tolbert, Car",Phi,14.00,0,0,0,0,0,0,3,16,1,0,1,2,1,0,0,0
17,"Devonta Freeman, Atl",@Ten,14.00,0,0,0,0,0,0,25,116,0,0,2,14,0,0,0,0
18,"Adrian Peterson, Min",@Det,13.00,0,0,0,0,0,0,19,98,0,0,3,12,0,0,0,0
19,"Chris Ivory, NYJ",@NE,13.00,0,0,0,0,0,0,17,41,0,0,2,12,1,0,0,0
20,"Jonathan Stewart, Car",Phi,12.00,0,0,0,0,0,0,24,125,0,0,0,0,0,0,0,0
21,"Branden Oliver, SD",Oak,12.00,0,0,0,0,0,0,9,35,0,0,6,39,0,0,0,0
22,"LeSean McCoy, Buf",@Jax,12.00,0,0,0,0,0,0,18,68,0,1,2,36,0,0,1,0
23,"Dexter McCluster, Ten",Atl,12.00,0,0,0,0,0,0,5,20,0,0,6,48,0,0,0,0
24,"Frank Gore, Ind",NO,12.00,0,0,0,0,0,0,9,43,0,0,5,32,0,0,0,0
25,"Justin Forsett, Bal",@Ari,12.00,0,0,0,0,0,0,12,36,1,0,3,8,0,0,0,0
26,"Kyle Juszczyk, Bal",@Ari,11.00,0,0,0,0,0,0,0,0,0,0,4,15,1,0,0,0
27,"C.J. Spiller, NO",@Ind,10.00,0,0,0,0,0,0,4,16,0,0,6,32,0,0,0,0
28,"Orleans Darkwa, NYG",Dal,10.00,0,0,0,0,0,0,8,48,1,0,0,0,0,0,0,0
29,"Darren Sproles, Phi",@Car,8.00,0,0,0,0,0,0,3,9,0,0,5,31,0,0,0,0
30,"DeMarco Murray, Phi",@Car,8.00,0,0,0,0,0,0,18,65,0,0,2,5,0,0,0,0
31,"Theo Riddick, Det",Min,7.00,0,0,0,0,0,0,3,8,0,0,3,40,0,0,0,0
32,"Matt Jones, Was",TB,7.00,0,0,0,0,0,0,9,29,0,0,3,22,0,0,0,0
33,"Fred Jackson, Sea",@SF,7.00,0,0,0,0,0,0,1,2,0,0,4,33,0,0,0,0
34,"Andre Ellington, Ari",Bal,7.00,0,0,0,0,0,0,5,21,0,0,3,28,0,0,0,0
35,"Shane Vereen, NYG",Dal,6.00,0,0,0,0,0,0,4,56,0,0,1,6,0,0,0,0
36,"Charles Sims, TB",@Was,6.00,0,0,0,0,0,0,10,49,0,0,2,17,0,0,1,0
37,"Taiwan Jones, Oak",@SD,6.00,0,0,0,0,0,0,3,35,0,0,2,17,0,0,0,0
38,"Jonas Gray, Mia",Hou,6.00,0,0,0,0,0,0,12,48,0,0,1,10,0,0,0,0
39,"Reggie Bush, SF",Sea,6.00,0,0,0,0,0,0,4,21,0,0,3,13,0,0,0,0
40,"James White, NE",NYJ,5.00,0,0,0,0,0,0,2,4,0,0,3,26,0,0,0,0
41,"Robert Turbin, Cle",@Stl,5.00,0,0,0,0,0,0,5,30,0,0,2,8,0,0,0,0
42,"Thomas Rawls, Sea",@SF,5.00,0,0,0,0,0,0,6,32,0,0,2,9,0,0,0,0
43,"Zach Line, Min",@Det,5.00,0,0,0,0,0,0,2,2,0,0,1,49,0,0,0,0
44,"Tommy Bohanon, NYJ",@NE,5.00,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0
45,"Joique Bell, Det",Min,5.00,0,0,0,0,0,0,3,21,0,0,2,14,0,0,0,0
46,"Antonio Andrews, Ten",Atl,5.00,0,0,0,0,0,0,10,57,0,0,0,0,0,0,0,0
47,"De'Anthony Thomas, KC",Pit,4.00,0,0,0,0,0,0,1,13,0,0,2,12,0,0,0,0
48,"Jerick McKinnon, Min",@Det,4.00,0,0,0,0,0,0,9,36,0,0,1,1,0,0,0,0
49,"Carlos Hyde, SF",Sea,4.00,0,0,0,0,0,0,11,40,0,0,0,0,0,0,0,0
50,"Benny Cunningham, Stl",Cle,4.00,0,0,0,0,0,0,4,11,0,0,2,13,0,0,0,0
51,"Javorius Allen, Bal",@Ari,4.00,0,0,0,0,0,0,3,25,0,0,1,10,0,0,0,0
52,"Ameer Abdullah, Det",Min,4.00,0,0,0,0,0,0,8,43,0,0,0,0,0,0,0,0
53,"Damien Williams, Mia",Hou,3.00,0,0,0,0,0,0,4,19,0,0,2,10,0,0,1,0
54,"Zac Stacy, NYJ",@NE,3.00,0,0,0,0,0,0,7,19,0,0,1,11,0,0,0,0
55,"Chris Polk, Hou",@Mia,3.00,0,0,0,0,0,0,4,4,0,0,2,14,0,0,0,0
56,"David Johnson, Ari",Bal,3.00,0,0,0,0,0,0,3,5,0,0,2,19,0,0,0,0
57,"Joseph Randle, Dal",@NYG,2.00,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0
58,"Christine Michael, Dal",@NYG,2.00,0,0,0,0,0,0,5,18,0,0,1,2,0,0,0,0
59,"Melvin Gordon, SD",Oak,2.00,0,0,0,0,0,0,7,29,0,0,0,0,0,0,0,0
60,"Matt Asiata, Min",@Det,2.00,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
61,"DeAngelo Williams, Pit",@KC,1.00,0,0,0,0,0,0,4,9,0,0,1,8,0,0,0,0
62,"Andre Williams, NYG",Dal,1.00,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0
