,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,New York Giants,Was,23.00,4.0,2,0,4,0,0,7,264,74,338
1,Dallas Cowboys,@Ind,20.00,0.0,4,0,0,0,2,35,365,40,405
2,St. Louis Rams,@Ari,18.00,4.0,2,0,0,0,0,6,119,105,224
3,New England Patriots,NYJ,17.00,1.0,3,0,0,0,0,3,149,152,301
4,Cleveland Browns,@Mia,16.00,1.0,3,0,0,1,0,10,167,114,281
5,Kansas City Chiefs,Den,16.00,4.0,0,0,1,0,0,6,86,161,247
6,Buffalo Bills,@Min,15.00,1.0,4,0,0,0,1,38,177,210,387
7,Jacksonville Jaguars,@Ten,15.00,1.0,2,0,0,0,0,6,163,57,220
8,Minnesota Vikings,Buf,15.00,1.0,1,0,4,0,0,14,155,84,239
9,Oakland Raiders,@SD,15.00,4.0,1,0,1,0,0,13,265,21,286
10,Seattle Seahawks,Car,15.00,3.0,1,0,0,0,1,14,152,131,283
11,Pittsburgh Steelers,@Bal,13.00,4.0,0,0,1,0,0,10,226,43,269
12,Baltimore Ravens,Pit,12.00,3.0,1,0,0,0,0,13,234,54,288
13,Denver Broncos,@KC,11.00,2.0,0,0,1,0,0,10,174,185,359
14,Atlanta Falcons,@TB,10.00,1.0,1,0,0,0,1,24,174,151,325
15,Green Bay Packers,SF,10.00,4.0,1,0,0,0,0,16,172,97,269
16,Indianapolis Colts,Dal,10.00,2.0,0,0,0,1,1,38,151,217,368
17,Miami Dolphins,Cle,9.00,2.0,0,0,0,0,0,13,200,52,252
18,Arizona Cardinals,Stl,8.00,2.0,1,0,0,0,0,19,169,119,288
19,Carolina Panthers,@Sea,7.00,3.0,2,0,0,0,0,31,210,161,371
20,Detroit Lions,Chi,7.00,4.0,0,0,1,0,0,24,197,114,311
21,Philadelphia Eagles,Hou,7.00,2.0,1,0,1,0,0,24,323,108,431
22,Tennessee Titans,Jax,7.00,1.0,0,0,0,1,0,17,119,258,377
23,Chicago Bears,@Det,6.00,2.0,0,0,0,0,0,20,168,134,302
24,Cincinnati Bengals,NO,4.00,2.0,1,0,0,0,0,34,290,146,436
25,San Francisco 49ers,@GB,4.00,4.0,0,0,0,0,0,34,274,136,410
26,Tampa Bay Buccaneers,Atl,4.00,0.0,2,0,0,0,0,28,205,85,290
27,Houston Texans,@Phi,3.00,1.0,1,0,0,0,0,34,301,115,416
28,New Orleans Saints,@Cin,3.00,3.0,0,0,0,0,0,30,215,96,311
29,New York Jets,@NE,3.00,3.0,0,0,0,0,0,45,304,101,405
30,San Diego Chargers,Oak,3.00,1.0,0,0,1,0,0,28,117,251,368
31,Washington Redskins,@NYG,2.00,0.0,1,0,0,0,0,31,161,197,358
