,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Seattle Seahawks,@NYG,24.00,4.0,5,0,0,0,0,0,156,25,181
1,Cleveland Browns,Chi,20.00,2.0,2,0,1,0,2,38,261,179,440
2,Indianapolis Colts,Hou,20.00,4.0,2,1,0,0,0,3,132,107,239
3,Kansas City Chiefs,@Oak,20.00,0.0,5,0,2,0,1,31,331,130,461
4,Carolina Panthers,NYJ,18.00,4.0,1,0,0,1,1,20,140,157,297
5,San Francisco 49ers,@TB,18.00,4.0,1,0,1,0,1,14,144,39,183
6,Atlanta Falcons,Was,16.00,1.0,2,0,5,0,0,26,373,103,476
7,St. Louis Rams,NO,16.00,4.0,2,0,1,1,0,16,371,61,432
8,Arizona Cardinals,@Ten,15.00,3.0,2,0,1,0,1,34,394,66,460
9,Buffalo Bills,@Jax,15.00,5.0,2,0,1,0,0,20,195,159,354
10,Pittsburgh Steelers,Cin,13.00,1.0,0,0,1,0,1,20,222,57,279
11,Baltimore Ravens,@Det,11.00,1.0,3,0,0,0,0,16,230,119,349
12,Chicago Bears,@Cle,10.00,0.0,2,0,0,0,1,31,273,93,366
13,Jacksonville Jaguars,Buf,9.00,4.0,1,0,1,0,0,27,168,198,366
14,Washington Redskins,@Atl,8.00,3.0,1,0,1,0,0,27,189,54,243
15,Green Bay Packers,@Dal,7.00,3.0,2,0,0,0,0,36,332,134,466
16,Miami Dolphins,NE,7.00,1.0,1,0,0,0,0,20,357,96,453
17,New England Patriots,@Mia,7.00,4.0,0,0,1,0,0,24,289,89,378
18,New York Giants,Sea,7.00,4.0,1,0,0,0,0,23,193,134,327
19,San Diego Chargers,@Den,7.00,1.0,1,0,0,0,0,20,277,18,295
20,Minnesota Vikings,Phi,6.00,4.0,1,0,0,0,0,30,396,79,475
21,Detroit Lions,Bal,5.00,1.0,0,0,0,0,0,18,215,90,305
22,Philadelphia Eagles,@Min,5.00,3.0,1,0,0,0,0,48,370,85,455
23,Dallas Cowboys,GB,4.00,2.0,1,0,0,0,0,37,283,150,433
24,Houston Texans,@Ind,4.00,1.0,1,0,0,0,0,25,179,152,331
25,Oakland Raiders,KC,4.00,2.0,0,0,1,0,0,56,306,78,384
26,Cincinnati Bengals,@Pit,3.00,1.0,1,0,0,0,0,30,184,106,290
27,Denver Broncos,SD,3.00,2.0,0,0,0,0,0,27,160,177,337
28,New York Jets,@Car,2.00,2.0,0,0,0,0,0,30,261,131,392
29,Tampa Bay Buccaneers,SF,2.00,2.0,0,0,0,0,0,33,189,187,376
30,Tennessee Titans,Ari,2.00,2.0,0,0,0,0,0,37,215,145,360
31,New Orleans Saints,@Stl,1.00,0.0,0,0,0,0,0,27,158,144,302
