,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Carolina Panthers,@Atl,21.00,9.0,1,0,0,0,1,20,231,76,307
1,New York Giants,Was,21.00,3.0,2,0,2,0,0,6,160,91,251
2,Seattle Seahawks,Stl,19.00,2.0,2,0,0,0,1,9,145,13,158
3,Cincinnati Bengals,Bal,18.00,2.0,3,0,0,0,1,17,175,47,222
4,Tennessee Titans,Hou,16.00,1.0,2,0,2,0,0,10,223,65,288
5,Indianapolis Colts,Jax,14.00,3.0,1,0,1,0,0,10,308,42,350
6,Pittsburgh Steelers,Cle,14.00,3.0,1,0,1,0,0,7,221,79,300
7,New York Jets,@Mia,13.00,0.0,3,0,0,0,0,7,204,92,296
8,Minnesota Vikings,Det,12.00,5.0,0,0,0,0,0,13,182,63,245
9,Detroit Lions,@Min,11.00,3.0,1,0,1,0,0,14,171,174,345
10,Green Bay Packers,@Chi,11.00,1.0,1,0,1,0,1,28,224,121,345
11,Washington Redskins,@NYG,11.00,1.0,2,0,1,0,0,20,156,122,278
12,Cleveland Browns,@Pit,9.00,1.0,2,0,0,0,0,20,172,120,292
13,San Francisco 49ers,@Ari,9.00,1.0,1,0,1,0,0,20,399,83,482
14,Baltimore Ravens,@Cin,8.00,0.0,4,0,0,0,0,34,281,111,392
15,Dallas Cowboys,Phi,8.00,5.0,0,0,1,0,0,24,229,137,366
16,Denver Broncos,@Oak,8.00,2.0,0,0,1,0,0,14,191,64,255
17,New England Patriots,Buf,8.00,4.0,0,0,0,0,0,20,224,169,393
18,New Orleans Saints,TB,8.00,2.0,1,0,0,0,0,17,215,75,290
19,Chicago Bears,GB,7.00,3.0,2,0,0,0,0,33,313,160,473
20,Houston Texans,@Ten,7.00,1.0,1,0,0,0,0,16,160,151,311
21,Philadelphia Eagles,@Dal,7.00,0.0,2,0,1,0,0,22,358,56,414
22,Atlanta Falcons,Car,6.00,1.0,1,0,1,0,0,21,149,134,283
23,Kansas City Chiefs,@SD,6.00,3.0,1,0,0,0,0,27,219,186,405
24,Oakland Raiders,Den,5.00,3.0,0,0,0,1,0,34,334,124,458
25,St. Louis Rams,@Sea,5.00,4.0,0,0,0,0,0,27,158,111,269
26,Miami Dolphins,NYJ,4.00,0.0,0,0,0,0,0,20,220,154,374
27,Arizona Cardinals,SF,3.00,2.0,0,0,0,0,0,23,292,83,375
28,Buffalo Bills,@NE,3.00,1.0,1,0,0,0,0,34,115,267,382
29,San Diego Chargers,KC,3.00,2.0,0,0,0,0,0,24,189,143,332
30,Jacksonville Jaguars,@Ind,1.00,1.0,0,0,0,0,0,30,299,80,379
31,Tampa Bay Buccaneers,@NO,1.00,1.0,0,0,0,0,0,42,370,98,468
