,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Aaron Rodgers, GB",Chi,42.00,29,21,283,5,0,0,4,18,0,0,0,0,0,0,0,0
1,"Cam Newton, Car",TB,36.00,17,12,171,3,0,0,6,65,1,0,0,0,0,0,0,0
2,"Matthew Stafford, Det",SD,32.00,36,29,373,3,0,0,2,5,0,0,0,0,0,0,0,0
3,"Drew Brees, NO",Atl,32.00,39,23,307,4,2,0,1,9,0,0,0,0,0,0,0,0
4,"Tom Brady, NE",Mia,31.00,46,27,304,1,0,0,9,17,2,0,0,0,0,0,0,0
5,"Matt Moore, Mia",@NE,26.00,32,16,281,3,1,0,3,-8,0,0,0,0,0,0,1,0
6,"Joe Webb, Min",@Was,24.00,5,4,84,2,0,0,5,34,1,0,0,0,0,0,0,0
7,"Michael Vick, Phi",@Dal,24.00,32,18,293,2,0,0,3,10,0,0,0,0,0,0,0,0
8,"Andy Dalton, Cin",Ari,22.00,31,18,154,2,0,0,5,48,0,0,0,0,0,0,0,0
9,"Matt Ryan, Atl",@NO,20.00,52,34,373,1,0,0,2,-3,0,0,0,0,0,0,0,0
10,"Rex Grossman, Was",Min,20.00,41,26,284,2,1,0,0,0,0,0,0,0,0,0,1,0
11,"Josh Freeman, TB",@Car,19.00,38,28,274,1,1,0,6,4,1,0,0,0,0,0,1,0
12,"Mark Sanchez, NYJ",NYG,18.00,59,30,258,1,2,0,4,13,1,0,0,0,0,0,1,0
13,"Joe Flacco, Bal",Cle,18.00,24,11,132,2,1,0,4,30,0,0,0,0,0,0,0,0
14,"John Skelton, Ari",@Cin,17.00,44,23,297,2,3,0,4,6,0,0,0,0,0,0,0,0
15,"Josh McCown, Chi",@GB,16.00,28,19,242,1,2,0,8,38,0,1,0,0,0,0,0,0
16,"Matt Hasselbeck, Ten",Jax,16.00,40,24,350,1,2,0,5,2,0,0,0,0,0,0,0,0
17,"Tim Tebow, Den",@Buf,15.00,29,13,185,1,3,0,10,34,1,0,0,0,0,0,1,0
18,"Stephen McGee, Dal",Phi,15.00,38,24,182,1,0,0,4,28,0,0,0,0,0,0,0,0
19,"Kyle Orton, KC",Oak,14.00,36,21,300,1,2,0,1,2,0,0,0,0,0,0,0,0
20,"Dan Orlovsky, Ind",Hou,14.00,41,23,244,1,0,0,1,2,0,0,0,0,0,0,1,0
21,"Philip Rivers, SD",@Det,13.00,53,28,299,1,2,0,0,0,0,0,0,0,0,0,0,0
22,"Eli Manning, NYG",@NYJ,13.00,27,9,225,1,1,0,1,-1,0,0,0,0,0,0,0,0
23,"Carson Palmer, Oak",@KC,11.00,26,16,237,1,2,0,0,0,0,0,0,0,0,0,0,0
24,"Tarvaris Jackson, Sea",SF,11.00,28,15,163,1,0,0,2,3,0,0,0,0,0,0,1,0
25,"Seneca Wallace, Cle",@Bal,9.00,33,19,147,1,1,0,1,5,0,0,0,0,0,0,0,0
26,"Alex Smith, SF",@Sea,9.00,26,14,179,0,0,0,5,22,0,0,0,0,0,0,0,0
27,"Ryan Fitzpatrick, Buf",Den,9.00,27,15,196,0,0,0,3,22,0,0,0,0,0,0,0,0
28,"Charlie Batch, Pit",Stl,6.00,22,15,208,0,1,0,0,0,0,0,0,0,0,0,0,0
29,"Blaine Gabbert, Jax",@Ten,5.00,42,21,198,0,1,0,1,4,0,0,0,0,0,0,0,0
30,"T.J. Yates, Hou",@Ind,4.00,16,13,132,0,0,0,1,-1,0,0,0,0,0,0,1,0
31,"Christian Ponder, Min",@Was,4.00,13,8,68,0,0,0,4,20,0,0,0,0,0,0,0,0
32,"Kellen Clemens, Stl",@Pit,4.00,24,9,91,0,0,0,2,10,0,0,0,0,0,0,0,0
33,"Chris Redman, Atl",@NO,2.00,9,6,61,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Tony Romo, Dal",Phi,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Matt Flynn, GB",Chi,0.00,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0
36,"Derek Anderson, Car",TB,0.00,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
