,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Jeremy Maclin, Phi",@Hou,33.00,0,0,0,0,0,0,0,0,0,0,6,158,2,0,0,0
1,"Mike Evans, TB",@Cle,31.00,0,0,0,0,0,0,0,0,0,0,7,124,2,0,0,0
2,"Antonio Brown, Pit",Bal,31.00,0,0,0,0,0,0,0,0,0,0,11,144,1,0,0,0
3,"Allen Hurns, Jax",@Cin,30.00,0,0,0,0,0,0,0,0,0,0,7,112,2,0,0,0
4,"Emmanuel Sanders, Den",@NE,25.00,0,0,0,0,0,0,0,0,0,0,10,151,0,0,0,0
5,"DeAndre Hopkins, Hou",Phi,23.00,0,0,0,0,0,0,0,0,0,0,6,115,1,0,0,0
6,"Percy Harvin, NYJ",@KC,23.00,0,0,0,0,0,0,1,8,0,0,11,129,0,0,0,0
7,"Julian Edelman, NE",Den,23.00,0,0,0,0,0,0,0,0,0,0,9,89,1,0,0,0
8,"Odell Beckham Jr., NYG",Ind,23.00,0,0,0,0,0,0,0,0,0,0,8,156,0,0,0,0
9,"DeSean Jackson, Was",@Min,22.00,0,0,0,0,0,0,0,0,0,0,4,120,1,0,0,0
10,"Eric Decker, NYJ",@KC,21.00,0,0,0,0,0,0,0,0,0,0,9,63,1,0,0,0
11,"Anquan Boldin, SF",Stl,21.00,0,0,0,0,0,0,0,0,0,0,6,93,1,0,0,0
12,"Demaryius Thomas, Den",@NE,19.00,0,0,0,0,0,0,0,0,0,0,7,127,0,0,0,0
13,"Mohamed Sanu, Cin",Jax,19.00,0,0,0,0,0,0,1,9,0,0,4,95,1,0,0,0
14,"Taylor Gabriel, Cle",TB,19.00,0,0,0,0,0,0,0,0,0,0,5,87,1,0,0,0
15,"Martavis Bryant, Pit",Bal,19.00,0,0,0,0,0,0,1,3,0,0,3,44,2,0,0,0
16,"Denard Robinson, Jax",@Cin,18.00,0,0,0,0,0,0,17,94,1,0,2,10,0,0,0,0
17,"Reggie Wayne, Ind",@NYG,17.00,0,0,0,0,0,0,0,0,0,0,4,70,1,0,0,0
18,"Brandon LaFell, NE",Den,17.00,0,0,0,0,0,0,0,0,0,0,6,53,1,0,0,0
19,"Torrey Smith, Bal",@Pit,16.00,0,0,0,0,0,0,0,0,0,0,4,63,1,0,0,0
20,"T.Y. Hilton, Ind",@NYG,16.00,0,0,0,0,0,0,0,0,0,0,3,71,1,0,0,0
21,"Jarvis Landry, Mia",SD,15.00,0,0,0,0,0,0,0,0,0,0,5,46,1,0,0,0
22,"Markus Wheaton, Pit",Bal,14.00,0,0,0,0,0,0,1,4,0,0,2,62,1,0,0,0
