,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Dallas Cowboys,NYG,27.00,3.0,3,0,3,0,2,31,428,50,478
1,Kansas City Chiefs,@Jax,26.00,6.0,2,0,0,0,1,2,107,71,178
2,Miami Dolphins,@Cle,19.00,6.0,3,0,0,0,0,10,244,47,291
3,Buffalo Bills,NE,16.00,3.0,1,0,2,0,1,23,273,158,431
4,Tennessee Titans,@Pit,16.00,5.0,1,0,1,0,0,9,163,31,194
5,New York Jets,TB,13.00,3.0,1,1,1,0,0,17,185,65,250
6,Tampa Bay Buccaneers,@NYJ,13.00,5.0,1,0,1,0,0,18,214,90,304
7,Washington Redskins,Phi,13.00,3.0,0,0,2,0,1,33,180,263,443
8,Detroit Lions,Min,12.00,3.0,3,0,1,0,0,24,225,105,330
9,Philadelphia Eagles,@Was,12.00,3.0,2,1,1,0,0,27,308,74,382
10,Seattle Seahawks,@Car,12.00,1.0,0,0,2,0,0,7,119,134,253
11,Arizona Cardinals,@Stl,11.00,0.0,1,0,1,0,1,27,299,67,366
12,Carolina Panthers,Sea,11.00,2.0,0,0,1,0,0,12,300,70,370
13,Denver Broncos,Bal,11.00,4.0,2,0,0,1,0,27,335,58,393
14,New Orleans Saints,Atl,11.00,3.0,1,0,1,0,0,17,279,88,367
15,Houston Texans,@SD,10.00,2.0,1,0,0,0,1,28,183,80,263
16,Indianapolis Colts,Oak,9.00,1.0,2,0,0,0,0,17,201,171,372
17,St. Louis Rams,Ari,9.00,4.0,1,0,1,0,0,24,304,86,390
18,Chicago Bears,Cin,8.00,1.0,2,0,1,0,0,21,277,63,340
19,Cleveland Browns,Mia,7.00,4.0,1,0,0,0,0,23,255,20,275
20,Pittsburgh Steelers,Ten,7.00,1.0,0,1,0,0,0,16,117,112,229
21,San Francisco 49ers,GB,6.00,2.0,1,0,1,0,0,28,322,63,385
22,Atlanta Falcons,@NO,5.00,2.0,1,0,0,0,0,23,341,78,419
23,Baltimore Ravens,@Den,5.00,3.0,0,0,1,0,0,49,445,65,510
24,Jacksonville Jaguars,KC,5.00,1.0,0,1,0,1,0,28,171,121,292
25,New England Patriots,@Buf,5.00,0.0,0,0,2,0,0,21,150,136,286
26,Oakland Raiders,@Ind,5.00,4.0,0,0,0,0,0,21,147,127,274
27,Minnesota Vikings,@Det,4.00,0.0,1,0,1,0,0,34,357,112,469
28,New York Giants,@Dal,4.00,2.0,1,0,0,0,0,36,244,87,331
29,San Diego Chargers,Hou,4.00,2.0,1,0,0,0,0,31,329,120,449
30,Cincinnati Bengals,@Chi,3.00,0.0,1,0,0,0,0,24,242,81,323
31,Green Bay Packers,@SF,2.00,2.0,0,0,0,0,0,34,404,90,494
