,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Arizona Cardinals,Det,29.00,2.0,3,0,1,0,2,10,228,84,312
1,Cincinnati Bengals,@Phi,26.00,1.0,1,0,4,1,1,13,177,42,219
2,New Orleans Saints,TB,22.00,2.0,4,0,1,0,0,0,319,67,386
3,Tennessee Titans,NYJ,21.00,4.0,4,0,1,0,0,10,107,146,253
4,Houston Texans,Ind,19.00,5.0,0,0,1,1,1,17,148,124,272
5,Seattle Seahawks,@Buf,19.00,3.0,2,0,1,0,1,17,215,118,333
6,Atlanta Falcons,NYG,17.00,1.0,2,0,1,0,0,0,159,97,256
7,Carolina Panthers,@SD,17.00,6.0,0,0,2,0,0,7,94,70,164
8,Denver Broncos,@Bal,17.00,3.0,1,0,1,0,1,17,222,56,278
9,San Francisco 49ers,@NE,17.00,3.0,2,0,2,0,1,34,425,95,520
10,Oakland Raiders,KC,16.00,4.0,1,0,0,0,0,0,109,10,119
11,Minnesota Vikings,@Stl,15.00,4.0,1,0,1,0,1,22,345,87,432
12,Green Bay Packers,@Chi,13.00,4.0,1,0,0,0,0,13,107,83,190
13,Miami Dolphins,Jax,12.00,2.0,0,0,0,0,0,3,213,86,299
14,New York Jets,@Ten,10.00,4.0,0,0,0,1,0,14,127,167,294
15,Philadelphia Eagles,Cin,10.00,6.0,0,0,2,0,0,34,92,157,249
16,Dallas Cowboys,Pit,9.00,4.0,1,0,1,0,0,24,319,69,388
17,Chicago Bears,GB,8.00,3.0,0,0,2,0,0,21,278,113,391
18,Washington Redskins,@Cle,7.00,2.0,2,0,0,0,0,21,233,58,291
19,Kansas City Chiefs,@Oak,6.00,0.0,0,0,1,0,0,15,182,203,385
20,New England Patriots,SF,5.00,1.0,1,0,1,0,0,41,208,180,388
21,Buffalo Bills,Sea,4.00,2.0,0,0,0,1,0,50,196,270,466
22,Cleveland Browns,Was,4.00,2.0,1,0,0,0,0,38,308,122,430
23,Jacksonville Jaguars,@Mia,4.00,1.0,0,0,1,0,0,24,209,180,389
24,Pittsburgh Steelers,@Dal,4.00,1.0,0,0,1,0,0,27,328,87,415
25,San Diego Chargers,Car,4.00,2.0,0,0,1,0,0,31,217,155,372
26,Detroit Lions,@Ari,3.00,1.0,1,0,0,0,0,38,97,99,196
27,Indianapolis Colts,@Hou,3.00,3.0,0,0,0,0,0,29,239,178,417
28,Baltimore Ravens,Den,2.00,2.0,0,0,0,0,0,34,187,163,350
29,St. Louis Rams,Min,2.00,2.0,0,0,0,0,0,36,109,213,322
30,New York Giants,@Atl,1.00,1.0,0,0,0,0,0,34,265,129,394
31,Tampa Bay Buccaneers,@NO,1.00,1.0,0,0,0,0,0,41,298,149,447
