,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Antonio Brown, Pit",Chi,40.00,0,0,0,0,0,0,0,0,0,0,9,196,2,0,0,0
1,"Josh Gordon, Cle",@Min,32.00,0,0,0,0,0,0,1,22,0,0,10,146,1,0,0,0
2,"Eric Decker, Den",Oak,27.00,0,0,0,0,0,0,0,0,0,0,8,133,1,0,0,0
3,"Santonio Holmes, NYJ",Buf,26.00,0,0,0,0,0,0,0,0,0,0,5,154,1,0,0,0
4,"Sidney Rice, Sea",Jax,24.00,0,0,0,0,0,0,0,0,0,0,5,79,2,0,0,0
5,"Denarius Moore, Oak",@Den,24.00,0,0,0,0,0,0,0,0,0,0,6,124,1,0,0,0
6,"Calvin Johnson, Det",@Was,24.00,0,0,0,0,0,0,0,0,0,0,7,115,1,0,0,0
7,"Cecil Shorts, Jax",@Sea,22.00,0,0,0,0,0,0,0,0,0,0,8,143,0,0,0,0
8,"Wes Welker, Den",Oak,21.00,0,0,0,0,0,0,0,0,0,0,7,84,1,0,0,0
9,"Nate Washington, Ten",SD,21.00,0,0,0,0,0,0,0,0,0,0,8,131,0,0,0,0
10,"Donnie Avery, KC",@Phi,21.00,0,0,0,0,0,0,0,0,0,0,7,141,0,0,0,0
11,"Brandon LaFell, Car",NYG,20.00,0,0,0,0,0,0,0,0,0,0,3,53,2,0,0,0
12,"Julio Jones, Atl",@Mia,20.00,0,0,0,0,0,0,1,7,0,0,9,115,0,0,0,0
13,"Kenbrell Thompkins, NE",TB,19.00,0,0,0,0,0,0,0,0,0,0,3,41,2,0,0,0
14,"Demaryius Thomas, Den",Oak,19.00,0,0,0,0,0,0,0,0,0,0,10,94,0,0,0,0
15,"Stephen Hill, NYJ",Buf,19.00,0,0,0,0,0,0,0,0,0,0,3,108,1,0,0,0
16,"Jason Avant, Phi",KC,19.00,0,0,0,0,0,0,0,0,0,0,5,87,1,0,0,0
17,"Jordy Nelson, GB",@Cin,17.00,0,0,0,0,0,0,0,0,0,0,8,93,0,0,0,0
18,"Ted Ginn Jr., Car",NYG,17.00,0,0,0,0,0,0,1,11,0,0,3,71,1,0,0,0
19,"Nate Burleson, Det",@Was,17.00,0,0,0,0,0,0,0,0,0,0,6,116,0,0,0,0
20,"Stevie Johnson, Buf",@NYJ,16.00,0,0,0,0,0,0,0,0,0,0,6,86,0,1,0,0
