,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Bryce Brown, Phi",Car,32.00,0,0,0,0,0,0,19,178,2,0,4,11,0,0,2,0
1,"Arian Foster, Hou",@Det,28.00,0,0,0,0,0,0,20,102,2,0,5,15,0,0,0,0
2,"Ray Rice, Bal",@SD,23.00,0,0,0,0,0,0,22,97,0,0,8,67,0,0,0,0
3,"Shane Vereen, NE",@NYJ,21.00,0,0,0,0,0,0,10,42,0,0,2,91,1,0,0,0
4,"Trent Richardson, Cle",Pit,20.00,0,0,0,0,0,0,29,85,1,0,4,27,0,0,0,0
5,"Doug Martin, TB",Atl,20.00,0,0,0,0,0,0,21,50,2,0,2,13,0,0,0,0
6,"BenJarvus Green-Ellis, Cin",Oak,19.00,0,0,0,0,0,0,19,129,1,0,1,9,0,0,0,0
7,"Michael Bush, Chi",Min,19.00,0,0,0,0,0,0,21,60,2,0,1,-1,0,0,0,0
8,"Ahmad Bradshaw, NYG",GB,19.00,0,0,0,0,0,0,10,58,1,0,2,61,0,0,0,0
9,"Adrian Peterson, Min",@Chi,18.00,0,0,0,0,0,0,18,108,0,0,6,30,0,0,1,0
10,"Alfred Morris, Was",@Dal,17.00,0,0,0,0,0,0,24,113,1,0,0,0,0,0,0,0
11,"Frank Gore, SF",@NO,17.00,0,0,0,0,0,0,19,83,0,0,2,18,1,0,0,0
12,"Beanie Wells, Ari",Stl,16.00,0,0,0,0,0,0,17,48,2,0,0,0,0,0,0,0
13,"Jacquizz Rodgers, Atl",@TB,15.00,0,0,0,0,0,0,10,49,1,0,2,30,0,0,0,0
14,"Stevan Ridley, NE",@NYJ,15.00,0,0,0,0,0,0,21,97,1,0,0,0,0,0,0,0
15,"Reggie Bush, Mia",Sea,15.00,0,0,0,0,0,0,14,87,1,0,1,-5,0,0,0,0
16,"Daniel Thomas, Mia",Sea,14.00,0,0,0,0,0,0,9,60,1,0,1,18,0,0,0,0
17,"Knowshon Moreno, Den",@KC,14.00,0,0,0,0,0,0,20,85,0,0,4,26,0,0,0,0
18,"Felix Jones, Dal",Was,14.00,0,0,0,0,0,0,6,14,0,0,3,47,1,0,0,0
19,"Justin Forsett, Hou",@Det,14.00,0,0,0,0,0,0,5,87,1,0,0,0,0,0,0,0
20,"Darren Sproles, NO",SF,13.00,0,0,0,0,0,0,0,0,0,0,7,65,0,0,0,0
21,"William Powell, Ari",Stl,13.00,0,0,0,0,0,0,3,11,0,0,6,63,0,0,0,0
22,"Bilal Powell, NYJ",NE,13.00,0,0,0,0,0,0,12,40,1,0,2,13,0,0,0,0
23,"Mikel Leshoure, Det",Hou,13.00,0,0,0,0,0,0,12,32,1,0,2,27,0,0,0,0
24,"Steven Jackson, Stl",@Ari,13.00,0,0,0,0,0,0,24,139,0,0,0,0,0,0,0,0
25,"Chris Johnson, Ten",@Jax,12.00,0,0,0,0,0,0,21,80,0,0,2,29,0,0,0,0
26,"Andre Brown, NYG",GB,12.00,0,0,0,0,0,0,13,64,1,0,0,0,0,0,0,0
27,"Michael Turner, Atl",@TB,11.00,0,0,0,0,0,0,13,17,1,0,3,13,0,0,0,0
28,"Jeremy Stewart, Oak",@Cin,11.00,0,0,0,0,0,0,7,26,0,0,6,37,0,0,0,0
29,"C.J. Spiller, Buf",@Ind,11.00,0,0,0,0,0,0,14,107,0,0,1,-4,0,0,0,0
30,"Chris Rainey, Pit",@Cle,11.00,0,0,0,0,0,0,5,17,1,0,4,15,0,0,1,0
31,"Ryan Mathews, SD",Bal,11.00,0,0,0,0,0,0,19,72,0,0,3,16,0,0,0,0
32,"Rashad Jennings, Jax",Ten,11.00,0,0,0,0,0,0,16,43,1,0,1,2,0,0,0,0
33,"Jamaal Charles, KC",Den,10.00,0,0,0,0,0,0,23,107,0,0,0,0,0,0,0,0
34,"Joique Bell, Det",Hou,10.00,0,0,0,0,0,0,5,47,1,0,0,0,0,0,0,0
35,"Dexter McCluster, KC",Den,8.00,0,0,0,0,0,0,2,23,0,0,4,21,0,0,0,0
36,"John Kuhn, GB",@NYG,8.00,0,0,0,0,0,0,4,17,0,0,3,49,0,0,0,0
37,"Alexander Green, GB",@NYG,8.00,0,0,0,0,0,0,10,30,0,0,3,20,0,0,0,0
38,"Robert Turbin, Sea",@Mia,7.00,0,0,0,0,0,0,2,9,0,0,3,47,0,0,0,0
39,"Michael Robinson, Sea",@Mia,7.00,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0
