,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Philip Rivers, SD",@KC,33.00,39,27,392,3,0,0,1,1,0,0,0,0,0,0,0,0
1,"Tom Brady, NE",Den,30.00,50,34,344,3,0,0,2,0,0,0,0,0,0,0,1,0
2,"Colin Kaepernick, SF",@Was,29.00,24,15,235,3,0,0,9,20,0,0,0,0,0,0,0,0
3,"Alex Smith, KC",SD,27.00,38,26,294,3,1,0,2,-3,0,0,0,0,0,0,0,0
4,"Ryan Fitzpatrick, Ten",@Oak,26.00,42,30,320,2,0,0,5,26,0,0,0,0,0,0,0,0
5,"Carson Palmer, Ari",Ind,24.00,37,26,314,2,0,0,0,0,0,0,0,0,0,0,0,0
6,"Josh McCown, Chi",@Stl,23.00,47,36,352,2,1,0,2,4,0,0,0,0,0,0,1,0
7,"Drew Brees, NO",@Atl,23.00,33,23,278,2,0,0,4,-6,0,0,0,0,0,0,0,0
8,"Matthew Stafford, Det",TB,21.00,46,26,297,3,4,0,2,6,0,0,0,0,0,0,0,0
9,"Cam Newton, Car",@Mia,21.00,38,19,174,1,1,0,7,51,1,0,0,0,0,0,0,0
10,"Mike Glennon, TB",@Det,21.00,21,14,247,2,0,0,4,-17,0,0,0,0,0,0,0,0
11,"Ben Roethlisberger, Pit",@Cle,20.00,34,22,217,2,0,0,2,-3,0,0,0,0,0,0,0,0
12,"Ryan Tannehill, Mia",Car,19.00,42,28,310,1,1,0,4,36,0,0,0,0,0,0,0,0
13,"Tony Romo, Dal",@NYG,19.00,38,23,234,2,1,0,3,1,0,0,0,0,0,0,0,0
14,"Eli Manning, NYG",Dal,18.00,30,16,174,2,0,0,0,0,0,0,0,0,0,0,0,0
15,"Peyton Manning, Den",@NE,16.00,36,19,150,2,1,0,1,0,0,0,0,0,0,0,0,0
16,"Matt Flynn, GB",Min,16.00,36,21,218,1,0,0,4,24,0,0,0,0,0,0,0,0
17,"Christian Ponder, Min",@GB,15.00,30,21,233,1,0,0,3,-5,0,0,0,0,0,0,0,0
18,"Andrew Luck, Ind",@Ari,15.00,39,20,163,1,1,1,2,31,0,0,0,0,0,0,0,0
19,"Matt McGloin, Oak",Ten,14.00,32,19,260,1,1,0,2,6,0,0,0,0,0,0,0,0
20,"Joe Flacco, Bal",NYJ,14.00,26,17,273,1,1,0,0,0,0,0,0,0,0,0,0,0
21,"Kellen Clemens, Stl",Chi,14.00,22,10,167,1,0,1,3,-3,0,0,0,0,0,0,0,0
22,"Brandon Weeden, Cle",Pit,13.00,30,13,209,1,1,1,1,2,0,0,0,0,0,0,1,0
23,"Matt Ryan, Atl",NO,12.00,39,30,292,0,0,0,2,10,0,0,0,0,0,0,0,0
24,"Scott Tolzien, GB",Min,11.00,17,7,98,0,0,0,2,25,1,0,0,0,0,0,0,0
25,"Chad Henne, Jax",@Hou,9.00,32,23,239,0,0,0,3,3,0,0,0,0,0,0,0,0
26,"Case Keenum, Hou",Jax,4.00,34,18,169,0,1,0,1,2,0,0,0,0,0,0,0,0
27,"Robert Griffin III, Was",SF,4.00,26,16,118,0,1,0,4,27,0,0,0,0,0,0,0,0
28,"Geno Smith, NYJ",@Bal,3.00,22,9,127,0,2,0,3,6,0,0,1,13,0,0,0,0
29,"Jason Campbell, Cle",Pit,3.00,22,14,124,0,0,0,1,-1,0,0,0,0,0,0,1,0
30,"Tyrod Taylor, Bal",NYJ,1.00,1,0,0,0,0,0,4,7,0,0,1,6,0,0,0,0
