,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Marcedes Lewis, Jax",@Buf,21.00,0,0,0,0,0,0,0,0,0,0,4,54,2,0,0,0
1,"Vernon Davis, SF",Phi,21.00,0,0,0,0,0,0,0,0,0,0,5,104,1,0,0,0
2,"Antonio Gates, SD",@Oak,20.00,0,0,0,0,0,0,0,0,0,0,5,92,1,0,0,0
3,"Jason Witten, Dal",Ten,19.00,0,0,0,0,0,0,0,0,0,0,5,84,1,0,0,0
4,"Zach Miller, Oak",SD,18.00,0,0,0,0,0,0,0,0,0,0,6,62,1,0,0,0
5,"Kellen Winslow, TB",@Cin,13.00,0,0,0,0,0,0,0,0,0,0,6,75,0,0,0,0
6,"Chris Cooley, Was",GB,13.00,0,0,0,0,0,0,0,0,0,0,7,69,0,0,0,0
7,"Brent Celek, Phi",@SF,13.00,0,0,0,0,0,0,0,0,0,0,3,47,1,0,0,0
8,"Jeremy Shockey, NO",@Ari,12.00,0,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0
9,"Brandon Pettigrew, Det",Stl,12.00,0,0,0,0,0,0,0,0,0,0,4,26,1,0,0,0
10,"Jermaine Gresham, Cin",TB,12.00,0,0,0,0,0,0,0,0,0,0,4,24,1,0,0,0
11,"Benjamin Watson, Cle",Atl,9.00,0,0,0,0,0,0,0,0,0,0,5,45,0,0,0,0
12,"Andrew Quarless, GB",@Was,9.00,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
13,"Tony Moeaki, KC",@Ind,9.00,0,0,0,0,0,0,0,0,0,0,4,50,0,0,0,0
14,"Donald Lee, GB",@Was,9.00,0,0,0,0,0,0,0,0,0,0,2,22,1,0,1,0
15,"Tony Gonzalez, Atl",@Cle,9.00,0,0,0,0,0,0,0,0,0,0,5,41,0,0,0,0
16,"Tony Scheffler, Det",Stl,8.00,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0
17,"Ben Patrick, Ari",NO,8.00,0,0,0,0,0,0,0,0,0,0,5,30,0,0,0,0
18,"Kevin Boss, NYG",@Hou,8.00,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
19,"Owen Daniels, Hou",NYG,7.00,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0
20,"Daniel Fells, Stl",@Det,6.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
21,"Ed Dickson, Bal",Den,6.00,0,0,0,0,0,0,0,0,0,0,1,58,0,0,0,0
22,"Jeff King, Car",Chi,5.00,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
23,"Dallas Clark, Ind",KC,5.00,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
24,"Visanthe Shiancoe, Min",@NYJ,4.00,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
25,"Kris Wilson, SD",@Oak,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
26,"Bo Scaife, Ten",@Dal,3.00,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
27,"Robert Royal, Cle",Atl,3.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
28,"Zach Miller, Jax",@Buf,3.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
29,"Dustin Keller, NYJ",Min,3.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
30,"Todd Heap, Bal",Den,3.00,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0
31,"Daniel Graham, Den",@Bal,3.00,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0
32,"Martellus Bennett, Dal",Ten,3.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
33,"Jonathan Stupar, Buf",Jax,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
34,"Craig Stevens, Ten",@Dal,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
35,"Leonard Pope, KC",@Ind,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
36,"Justin Peelle, Atl",@Cle,2.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
37,"Michael Palmer, Atl",@Cle,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
38,"Brandon Myers, Oak",SD,2.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
39,"John Gilmore, TB",@Cin,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
40,"Dante Rosario, Car",Chi,1.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
41,"Evan Moore, Cle",Atl,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
42,"Randy McMichael, SD",@Oak,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
43,"Jim Kleinsasser, Min",@NYJ,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
44,"Dan Gronkowski, Den",@Bal,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
45,"Tom Crabtree, GB",@Was,1.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
46,"Travis Beckum, NYG",@Hou,1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
