,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Roy Helu, Was",@Sea,28.00,0,0,0,0,0,0,23,108,1,0,7,54,0,0,0,0
1,"Beanie Wells, Ari",@Stl,27.00,0,0,0,0,0,0,27,228,1,0,0,0,0,0,1,0
2,"Cedric Benson, Cin",Cle,22.00,0,0,0,0,0,0,21,106,1,0,4,24,0,0,0,0
3,"Maurice Morris, Det",GB,20.00,0,0,0,0,0,0,7,39,0,0,9,81,0,0,0,0
4,"Marshawn Lynch, Sea",Was,20.00,0,0,0,0,0,0,24,111,0,0,1,20,1,0,0,0
5,"Arian Foster, Hou",@Jax,20.00,0,0,0,0,0,0,22,65,1,0,7,24,0,0,1,0
6,"Pierre Thomas, NO",NYG,19.00,0,0,0,0,0,0,8,63,1,0,3,47,0,0,0,0
7,"Maurice Jones-Drew, Jax",Hou,19.00,0,0,0,0,0,0,18,99,0,0,4,67,0,0,0,0
8,"Chris Johnson, Ten",TB,19.00,0,0,0,0,0,0,23,190,0,0,1,3,0,0,1,0
9,"DeAngelo Williams, Car",@Ind,18.00,0,0,0,0,0,0,15,69,2,0,0,0,0,0,0,0
10,"Michael Bush, Oak",Chi,18.00,0,0,0,0,0,0,24,69,1,0,4,24,0,0,0,0
11,"Mark Ingram, NO",NYG,17.00,0,0,0,0,0,0,13,80,1,0,2,14,0,0,0,0
12,"DeMarco Murray, Dal",Mia,16.00,0,0,0,0,0,0,22,87,0,0,4,41,0,0,0,0
13,"LeSean McCoy, Phi",NE,16.00,0,0,0,0,0,0,10,31,1,0,4,30,0,0,0,0
14,"BenJarvus Green-Ellis, NE",@Phi,16.00,0,0,0,0,0,0,14,44,2,0,0,0,0,0,0,0
15,"Donald Brown, Ind",Car,16.00,0,0,0,0,0,0,14,80,1,0,1,17,0,0,0,0
16,"LeGarrette Blount, TB",@Ten,16.00,0,0,0,0,0,0,20,103,0,0,3,56,0,0,2,0
17,"Keiland Williams, Det",GB,14.00,0,0,0,0,0,0,2,19,1,0,4,33,0,0,0,0
18,"D.J. Ware, NYG",@NO,14.00,0,0,0,0,0,0,5,23,0,0,8,45,0,0,0,0
19,"Ryan Mathews, SD",Den,14.00,0,0,0,0,0,0,22,137,0,0,1,5,0,0,0,0
20,"Toby Gerhart, Min",@Atl,13.00,0,0,0,0,0,0,17,44,1,0,2,19,0,0,0,0
21,"Matt Forte, Chi",@Oak,13.00,0,0,0,0,0,0,12,59,0,0,6,25,0,0,0,0
22,"Reggie Bush, Mia",@Dal,12.00,0,0,0,0,0,0,16,61,0,0,3,35,0,0,0,0
23,"Jonathan Stewart, Car",@Ind,11.00,0,0,0,0,0,0,10,70,0,0,3,12,0,0,0,0
24,"Willis McGahee, Den",@SD,11.00,0,0,0,0,0,0,23,117,0,0,0,0,0,0,0,0
25,"Shonn Greene, NYJ",Buf,11.00,0,0,0,0,0,0,13,78,0,0,3,12,0,0,0,0
26,"Ray Rice, Bal",SF,10.00,0,0,0,0,0,0,21,59,0,0,3,24,0,0,0,0
27,"Brandon Jacobs, NYG",@NO,10.00,0,0,0,0,0,0,13,46,1,0,0,0,0,0,0,0
28,"Steven Jackson, Stl",Ari,10.00,0,0,0,0,0,0,17,64,0,0,3,14,0,0,0,0
29,"Darren Sproles, NO",NYG,9.00,0,0,0,0,0,0,8,54,0,0,2,28,0,0,0,0
30,"C.J. Spiller, Buf",@NYJ,9.00,0,0,0,0,0,0,19,55,0,0,3,15,0,0,0,0
31,"Mike Tolbert, SD",Den,8.00,0,0,0,0,0,0,11,44,0,0,3,19,0,0,0,0
32,"Kevin Smith, Det",GB,8.00,0,0,0,0,0,0,7,36,0,0,3,21,0,0,0,0
33,"Rashard Mendenhall, Pit",@KC,8.00,0,0,0,0,0,0,17,57,0,0,2,10,0,0,0,0
34,"John Kuhn, GB",@Det,8.00,0,0,0,0,0,0,5,5,1,0,1,10,0,0,0,0
35,"Peyton Hillis, Cle",@Cin,8.00,0,0,0,0,0,0,19,65,0,0,2,-4,0,0,0,0
36,"Michael Turner, Atl",Min,7.00,0,0,0,0,0,0,19,60,0,0,1,4,0,0,0,0
37,"Ryan Grant, GB",@Det,7.00,0,0,0,0,0,0,6,20,0,0,3,20,0,0,0,0
38,"Joe McKnight, NYJ",Buf,6.00,0,0,0,0,0,0,4,21,0,0,3,19,0,0,0,0
39,"Marion Barber, Chi",@Oak,6.00,0,0,0,0,0,0,10,63,0,0,0,0,0,0,0,0
40,"Dexter McCluster, KC",Pit,5.00,0,0,0,0,0,0,9,28,0,0,2,11,0,0,0,0
41,"Darrel Young, Was",@Sea,4.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
42,"Jacquizz Rodgers, Atl",Min,4.00,0,0,0,0,0,0,3,19,0,0,2,12,0,0,0,0
43,"Javon Ringer, Ten",TB,4.00,0,0,0,0,0,0,9,12,0,0,4,6,0,0,1,0
44,"Isaac Redman, Pit",@KC,4.00,0,0,0,0,0,0,3,22,0,0,2,8,0,0,0,0
45,"Kregg Lumpkin, TB",@Ten,4.00,0,0,0,0,0,0,1,3,0,0,3,10,0,0,0,0
46,"Thomas Jones, KC",Pit,4.00,0,0,0,0,0,0,13,37,0,0,1,7,0,0,0,0
47,"Jeremiah Johnson, Den",@SD,4.00,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
48,"Frank Gore, SF",@Bal,4.00,0,0,0,0,0,0,14,39,0,0,1,9,0,0,0,0
49,"Ricky Williams, Bal",SF,3.00,0,0,0,0,0,0,7,29,0,0,1,-1,0,0,0,0
50,"Daniel Thomas, Mia",@Dal,3.00,0,0,0,0,0,0,6,25,0,0,1,2,0,0,0,0
51,"Mewelde Moore, Pit",@KC,3.00,0,0,0,0,0,0,2,16,0,0,3,9,0,0,1,0
52,"Kendall Hunter, SF",@Bal,3.00,0,0,0,0,0,0,4,14,0,0,1,13,0,0,0,0
53,"Danny Woodhead, NE",@Phi,2.00,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0
54,"Chester Taylor, Ari",@Stl,2.00,0,0,0,0,0,0,2,1,0,0,2,-4,0,0,0,0
55,"Ben Tate, Hou",@Jax,2.00,0,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0
56,"LaRod Stephens-Howling, Ari",@Stl,2.00,0,0,0,0,0,0,2,9,0,0,1,14,0,0,0,0
57,"Mike Sellers, Was",@Sea,2.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
58,"Bernard Scott, Cin",Cle,2.00,0,0,0,0,0,0,4,1,0,0,2,2,0,0,0,0
59,"Brandon Saine, GB",@Det,2.00,0,0,0,0,0,0,2,10,0,0,1,9,0,0,0,0
60,"Chris Ogbonnaya, Cle",@Cin,2.00,0,0,0,0,0,0,3,16,0,0,1,4,0,0,0,0
61,"Jerious Norwood, Stl",Ari,2.00,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0
62,"Vonta Leach, Bal",SF,2.00,0,0,0,0,0,0,1,2,0,0,1,10,0,0,0,0
63,"Deji Karim, Jax",Hou,2.00,0,0,0,0,0,0,2,-2,0,0,2,0,0,0,0,0
64,"Henry Hynoski, NYG",@NO,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
65,"Ahmard Hall, Ten",TB,2.00,0,0,0,0,0,0,1,2,0,0,1,10,0,0,0,0
66,"Jackie Battle, KC",Pit,2.00,0,0,0,0,0,0,9,20,0,0,0,0,0,0,0,0
67,"Joseph Addai, Ind",Car,2.00,0,0,0,0,0,0,7,23,0,0,0,0,0,0,0,0
68,"Shane Vereen, NE",@Phi,1.00,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0
69,"James Starks, GB",@Det,1.00,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0
70,"Jason Snelling, Atl",Min,1.00,0,0,0,0,0,0,3,7,0,0,1,4,0,0,0,0
71,"Alfonso Smith, Ari",@Stl,1.00,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0
72,"Anthony Sherman, Ari",@Stl,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
