,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Detroit Lions,GB,22.00,7.0,1,1,2,0,0,10,102,24,126
1,Miami Dolphins,@NYJ,20.00,4.0,2,0,1,0,0,3,78,99,177
2,Carolina Panthers,TB,19.00,5.0,1,0,1,0,0,6,140,66,206
3,Seattle Seahawks,NO,16.00,1.0,0,0,1,0,1,7,144,44,188
4,Cincinnati Bengals,@SD,15.00,2.0,1,0,2,0,0,10,243,91,334
5,Green Bay Packers,@Det,15.00,1.0,2,0,2,0,1,40,320,241,561
6,Indianapolis Colts,Ten,13.00,1.0,3,0,1,0,0,14,185,162,347
7,Philadelphia Eagles,Ari,12.00,5.0,2,0,1,0,0,21,260,90,350
8,San Francisco 49ers,Stl,12.00,3.0,1,0,0,0,0,13,198,114,312
9,Jacksonville Jaguars,@Cle,11.00,3.0,2,1,1,0,0,28,342,97,439
10,New York Giants,@Was,11.00,5.0,0,0,1,0,0,17,184,139,323
11,Kansas City Chiefs,Den,10.00,0.0,2,0,0,0,1,35,403,132,535
12,Minnesota Vikings,Chi,10.00,4.0,0,0,1,0,0,20,345,135,480
13,Oakland Raiders,@Dal,10.00,2.0,0,0,1,0,1,31,208,144,352
14,Buffalo Bills,Atl,8.00,6.0,0,0,1,0,0,34,272,151,423
15,Chicago Bears,@Min,8.00,5.0,1,0,0,0,0,23,250,246,496
16,San Diego Chargers,Cin,8.00,0.0,1,0,1,0,0,17,190,164,354
17,Tennessee Titans,@Ind,8.00,5.0,1,0,0,0,0,22,160,104,264
18,St. Louis Rams,@SF,7.00,4.0,0,0,1,0,0,23,255,83,338
19,Arizona Cardinals,@Phi,6.00,5.0,0,0,0,0,0,24,202,105,307
20,Washington Redskins,NYG,6.00,3.0,1,0,0,0,0,24,206,80,286
21,Dallas Cowboys,Oak,5.00,0.0,1,0,1,0,0,24,255,50,305
22,Tampa Bay Buccaneers,@Car,5.00,0.0,2,0,0,0,0,27,263,163,426
23,Atlanta Falcons,@Buf,4.00,0.0,0,0,2,0,0,31,210,195,405
24,Baltimore Ravens,Pit,4.00,0.0,0,0,0,0,0,20,257,72,329
25,Cleveland Browns,Jax,4.00,2.0,1,0,0,0,0,32,202,112,314
26,New York Jets,Mia,4.00,1.0,1,0,0,0,0,23,328,125,453
27,Houston Texans,NE,3.00,1.0,1,0,0,0,0,34,365,88,453
28,New England Patriots,@Hou,3.00,1.0,1,0,0,0,0,31,264,121,385
29,Pittsburgh Steelers,@Bal,3.00,2.0,0,0,0,0,0,22,237,74,311
30,Denver Broncos,@KC,2.00,0.0,1,0,0,0,0,28,293,159,452
31,New Orleans Saints,@Sea,1.00,1.0,0,0,0,0,0,34,302,127,429
