,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Eric Decker, Den",@KC,49.00,0,0,0,0,0,0,0,0,0,0,8,174,4,0,0,0
1,"Alshon Jeffery, Chi",@Min,48.00,0,0,0,0,0,0,1,0,0,0,12,249,2,0,0,0
2,"Josh Gordon, Cle",Jax,48.00,0,0,0,0,0,0,0,0,0,0,10,261,2,0,0,0
3,"Brian Hartline, Mia",@NYJ,27.00,0,0,0,0,0,0,0,0,0,0,9,127,1,0,0,0
4,"Roddy White, Atl",@Buf,24.00,0,0,0,0,0,0,0,0,0,0,10,143,0,0,0,0
5,"Calvin Johnson, Det",GB,22.00,0,0,0,0,0,0,0,0,0,0,6,101,1,0,0,0
6,"Mike Wallace, Mia",@NYJ,21.00,0,0,0,0,0,0,0,0,0,0,7,82,1,0,0,0
7,"Torrey Smith, Bal",Pit,21.00,0,0,0,0,0,0,0,0,0,0,6,93,1,0,0,0
8,"Andre Johnson, Hou",NE,20.00,0,0,0,0,0,0,0,0,0,0,8,121,0,0,0,0
9,"Greg Jennings, Min",Chi,20.00,0,0,0,0,0,0,0,0,0,0,7,78,1,0,0,0
10,"Andre Holmes, Oak",@Dal,20.00,0,0,0,0,0,0,0,0,0,0,7,136,0,0,0,0
11,"Michael Floyd, Ari",@Phi,20.00,0,0,0,0,0,0,0,0,0,0,5,99,1,0,0,0
12,"A.J. Green, Cin",@SD,19.00,0,0,0,0,0,0,0,0,0,0,5,83,1,0,0,0
13,"Julian Edelman, NE",@Hou,19.00,0,0,0,0,0,0,0,0,0,0,9,101,0,0,0,0
14,"Dez Bryant, Dal",Oak,19.00,0,0,0,0,0,0,0,0,0,0,7,61,1,0,0,0
15,"Cecil Shorts, Jax",@Cle,18.00,0,0,0,0,0,0,0,0,0,0,6,64,1,0,0,0
16,"Larry Fitzgerald, Ari",@Phi,18.00,0,0,0,0,0,0,0,0,0,0,5,72,1,0,0,0
17,"Anquan Boldin, SF",Stl,18.00,0,0,0,0,0,0,0,0,0,0,9,98,0,0,0,0
18,"Doug Baldwin, Sea",NO,17.00,0,0,0,0,0,0,0,0,0,0,4,77,1,0,0,0
