,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Marques Colston, NO",Ind,28.00,0,0,0,0,0,0,0,0,0,0,7,98,2,0,0,0
1,"Greg Jennings, GB",@Min,27.00,0,0,0,0,0,0,0,0,0,0,7,147,1,0,0,0
2,"Plaxico Burress, NYJ",SD,24.00,0,0,0,0,0,0,0,0,0,0,4,25,3,0,0,0
3,"Calvin Johnson, Det",Atl,22.00,0,0,0,0,0,0,0,0,0,0,5,115,1,0,0,0
4,"Steve Smith, Car",Was,21.00,0,0,0,0,0,0,1,6,0,0,7,143,0,0,0,0
5,"Mike Wallace, Pit",@Ari,20.00,0,0,0,0,0,0,0,0,0,0,3,118,1,0,0,0
6,"Michael Jenkins, Min",GB,20.00,0,0,0,0,0,0,0,0,0,0,3,111,1,0,0,0
7,"Dez Bryant, Dal",Stl,20.00,0,0,0,0,0,0,0,0,0,0,5,90,1,0,0,0
8,"Dezmon Briscoe, TB",Chi,19.00,0,0,0,0,0,0,0,0,0,0,6,73,1,0,0,0
9,"Antonio Brown, Pit",@Ari,17.00,0,0,0,0,0,0,0,0,0,0,7,102,0,0,0,0
10,"Roddy White, Atl",@Det,16.00,0,0,0,0,0,0,0,0,0,0,5,52,1,0,0,0
11,"Roy Williams, Chi",@TB,15.00,0,0,0,0,0,0,0,0,0,0,4,59,1,0,0,0
12,"Emmanuel Sanders, Pit",@Ari,15.00,0,0,0,0,0,0,0,0,0,0,5,46,1,0,0,0
13,"Early Doucet, Ari",Pit,14.00,0,0,0,0,0,0,0,0,0,0,5,30,1,0,0,0
14,"Anquan Boldin, Bal",@Jax,14.00,0,0,0,0,0,0,0,0,0,0,4,40,1,0,0,0
15,"Mike Williams, TB",Chi,13.00,0,0,0,0,0,0,0,0,0,0,6,75,0,0,0,0
16,"Brandon Lloyd, Stl",@Dal,13.00,0,0,0,0,0,0,0,0,0,0,6,74,0,0,0,0
17,"Darrius Heyward-Bey, Oak",KC,13.00,0,0,0,0,0,0,0,0,0,0,5,89,0,0,0,0
18,"Dwayne Bowe, KC",@Oak,13.00,0,0,0,0,0,0,0,0,0,0,6,76,0,0,0,0
19,"Brandon Marshall, Mia",Den,12.00,0,0,0,0,0,0,0,0,0,0,6,61,0,0,0,0
20,"Davone Bess, Mia",Den,12.00,0,0,0,0,0,0,0,0,0,0,7,52,0,0,0,0
21,"Demaryius Thomas, Den",@Mia,11.00,0,0,0,0,0,0,0,0,0,0,3,27,1,0,0,0
22,"Brandon LaFell, Car",Was,11.00,0,0,0,0,0,0,0,0,0,0,2,39,1,0,0,0
23,"Larry Fitzgerald, Ari",Pit,11.00,0,0,0,0,0,0,0,0,0,0,4,78,0,0,0,0
24,"Steve Breaston, KC",@Oak,11.00,0,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0
25,"James Jones, GB",@Min,10.00,0,0,0,0,0,0,0,0,0,0,4,63,0,0,0,0
26,"Jason Hill, Jax",Bal,10.00,0,0,0,0,0,0,0,0,0,0,4,62,0,0,0,0
27,"Harry Douglas, Atl",@Det,10.00,0,0,0,0,0,0,0,0,0,0,4,62,0,0,0,0
28,"Jordy Nelson, GB",@Min,9.00,0,0,0,0,0,0,0,0,0,0,4,52,0,0,0,0
29,"Jabar Gaffney, Was",@Car,9.00,0,0,0,0,0,0,0,0,0,0,4,68,0,0,1,0
30,"Preston Parker, TB",Chi,8.00,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
31,"Greg Little, Cle",Sea,8.00,0,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0
32,"Johnny Knox, Chi",@TB,8.00,0,0,0,0,0,0,0,0,0,0,3,53,0,0,0,0
