,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Arizona Cardinals,Car,27.00,7.0,3,1,1,0,0,6,258,95,353
1,San Francisco 49ers,Hou,25.00,1.0,3,0,1,0,1,3,182,131,313
2,Oakland Raiders,SD,24.00,2.0,3,0,2,1,1,17,391,36,427
3,Cleveland Browns,Buf,19.00,4.0,1,0,0,0,2,24,188,155,343
4,Kansas City Chiefs,@Ten,19.00,3.0,2,0,1,0,1,17,234,105,339
5,Cincinnati Bengals,NE,18.00,4.0,1,0,1,0,0,6,166,82,248
6,St. Louis Rams,Jax,18.00,2.0,2,0,1,0,1,20,267,96,363
7,New England Patriots,@Cin,15.00,4.0,1,0,1,0,0,13,179,162,341
8,Indianapolis Colts,Sea,14.00,2.0,1,0,1,1,1,28,205,218,423
9,Miami Dolphins,Bal,13.00,2.0,1,0,1,0,1,26,251,133,384
10,Green Bay Packers,Det,12.00,5.0,0,0,0,0,0,9,222,64,286
11,Philadelphia Eagles,@NYG,10.00,1.0,3,0,1,0,0,21,330,53,383
12,Seattle Seahawks,@Ind,10.00,2.0,0,1,2,1,0,34,208,109,317
13,Carolina Panthers,@Ari,9.00,2.0,3,0,0,0,0,22,160,90,250
14,New Orleans Saints,@Chi,9.00,3.0,0,0,1,0,0,18,340,94,434
15,Denver Broncos,@Dal,8.00,4.0,1,0,1,0,0,48,470,52,522
16,Baltimore Ravens,@Mia,7.00,6.0,0,0,0,0,0,23,272,22,294
17,Tennessee Titans,KC,7.00,2.0,1,0,1,0,0,26,233,120,353
18,Buffalo Bills,@Cle,5.00,5.0,0,0,0,0,0,37,199,91,290
19,San Diego Chargers,@Oak,5.00,4.0,0,0,0,0,0,27,195,104,299
20,Atlanta Falcons,NYJ,4.00,4.0,0,0,0,0,0,30,170,118,288
21,Dallas Cowboys,Den,4.00,0.0,1,0,1,0,0,51,414,103,517
22,New York Jets,@Atl,4.00,2.0,0,0,1,0,0,28,299,64,363
23,Chicago Bears,NO,2.00,1.0,0,0,0,0,0,26,283,64,347
24,Detroit Lions,@GB,2.00,1.0,0,0,0,0,0,22,269,180,449
25,Jacksonville Jaguars,@Stl,2.00,2.0,0,0,0,0,0,34,208,143,351
26,Houston Texans,@SF,1.00,1.0,0,0,0,0,0,34,107,177,284
27,New York Giants,Phi,1.00,1.0,0,0,0,0,0,36,299,140,439
