,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Kansas City Chiefs,@Buf,25.00,0.0,2,0,1,0,2,13,229,241,470
1,Miami Dolphins,Cin,25.00,5.0,3,1,1,0,1,20,302,163,465
2,Carolina Panthers,Atl,22.00,1.0,3,0,1,0,1,10,211,78,289
3,Cleveland Browns,Bal,13.00,5.0,1,0,1,0,0,18,223,55,278
4,Dallas Cowboys,Min,13.00,2.0,1,0,1,0,1,23,224,169,393
5,San Diego Chargers,@Was,12.00,0.0,1,0,0,2,1,30,291,209,500
6,Chicago Bears,@GB,11.00,5.0,1,0,0,0,0,20,113,199,312
7,New England Patriots,Pit,11.00,5.0,2,0,1,0,0,31,371,108,479
8,Philadelphia Eagles,@Oak,11.00,3.0,2,0,0,0,0,20,350,210,560
9,New York Jets,NO,10.00,2.0,2,0,0,0,0,20,366,41,407
10,St. Louis Rams,Ten,8.00,4.0,2,0,0,0,0,28,165,198,363
11,Houston Texans,Ind,7.00,4.0,0,0,0,1,0,27,245,69,314
12,Tampa Bay Buccaneers,@Sea,7.00,0.0,2,0,1,0,0,27,217,198,415
13,Tennessee Titans,@Stl,7.00,2.0,0,0,2,0,0,21,203,160,363
14,Cincinnati Bengals,@Mia,6.00,3.0,0,0,1,0,0,22,188,157,345
15,Minnesota Vikings,@Dal,6.00,3.0,1,0,0,0,0,27,314,36,350
16,Washington Redskins,SD,6.00,1.0,2,0,0,0,0,24,341,69,410
17,Atlanta Falcons,@Car,5.00,1.0,2,0,0,0,0,34,242,131,373
18,Baltimore Ravens,@Cle,5.00,2.0,0,0,1,0,0,24,242,73,315
19,Pittsburgh Steelers,@NE,5.00,3.0,0,0,1,0,0,55,413,197,610
20,Green Bay Packers,Chi,4.00,1.0,0,0,0,1,0,27,271,171,442
21,Seattle Seahawks,TB,4.00,3.0,0,0,0,0,0,24,145,205,350
22,Buffalo Bills,KC,3.00,2.0,0,0,0,0,0,23,115,95,210
23,New Orleans Saints,@NYJ,3.00,2.0,0,0,0,0,0,26,140,198,338
24,Indianapolis Colts,@Hou,2.00,1.0,0,0,0,0,0,24,340,143,483
25,Oakland Raiders,Phi,1.00,1.0,0,0,0,0,0,49,418,124,542
