,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Reggie Wayne, Ind",Dal,40.00,0,0,0,0,0,0,0,0,0,0,14,200,1,0,0,0
1,"Greg Jennings, GB",SF,30.00,0,0,0,0,0,0,0,0,0,0,6,122,2,0,0,0
2,"Sidney Rice, Min",Buf,27.00,0,0,0,0,0,0,0,0,0,0,5,105,2,0,0,0
3,"Anquan Boldin, Bal",Pit,22.00,0,0,0,0,0,0,0,0,0,0,5,118,1,0,0,0
4,"Wes Welker, NE",NYJ,21.00,0,0,0,0,0,0,0,0,0,0,7,80,1,0,0,0
5,"Andre Johnson, Hou",@Phi,21.00,0,0,0,0,0,0,2,10,0,0,6,149,0,0,0,0
6,"Pierre Garcon, Ind",Dal,20.00,0,0,0,0,0,0,1,11,0,0,8,56,1,0,0,0
7,"Anthony Armstrong, Was",@NYG,20.00,0,0,0,0,0,0,0,0,0,0,6,97,1,0,1,0
8,"Robert Meachem, NO",@Cin,19.00,0,0,0,0,0,0,0,0,0,0,3,106,1,0,0,0
9,"Mike Williams, TB",Atl,18.00,0,0,0,0,0,0,0,0,0,0,6,68,1,0,0,0
10,"Donald Driver, GB",SF,17.00,0,0,0,0,0,0,0,0,0,0,4,73,1,0,0,0
11,"Earl Bennett, Chi",@Det,17.00,0,0,0,0,0,0,0,0,0,0,7,104,0,0,0,0
12,"Terrell Owens, Cin",NO,16.00,0,0,0,0,0,0,0,0,0,0,6,47,1,0,0,0
13,"Calvin Johnson, Det",Chi,15.00,0,0,0,0,0,0,0,0,0,0,3,66,1,0,0,0
14,"Marques Colston, NO",@Cin,15.00,0,0,0,0,0,0,0,0,0,0,3,65,1,0,0,0
15,"Deion Branch, NE",NYJ,15.00,0,0,0,0,0,0,0,0,0,0,3,64,1,0,0,0
16,"Roddy White, Atl",@TB,14.00,0,0,0,0,0,0,0,0,0,0,7,74,0,0,0,0
17,"Chad Johnson, Cin",NO,14.00,0,0,0,0,0,0,0,0,0,0,5,96,0,0,0,0
18,"Santonio Holmes, NYJ",@NE,14.00,0,0,0,0,0,0,0,0,0,0,7,72,0,0,0,0
19,"David Nelson, Buf",@Min,13.00,0,0,0,0,0,0,0,0,0,0,4,34,1,0,0,0
20,"Derek Hagan, NYG",Was,13.00,0,0,0,0,0,0,0,0,0,0,7,65,0,0,0,0
21,"Mike Wallace, Pit",@Bal,12.00,0,0,0,0,0,0,0,0,0,0,5,76,0,0,0,0
22,"Mohamed Massaquoi, Cle",@Mia,12.00,0,0,0,0,0,0,0,0,0,0,4,81,0,0,0,0
23,"Michael Jenkins, Atl",@TB,12.00,0,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0
24,"Malcom Floyd, SD",Oak,12.00,0,0,0,0,0,0,0,0,0,0,5,72,0,0,0,0
25,"Davone Bess, Mia",Cle,12.00,0,0,0,0,0,0,0,0,0,0,6,67,0,0,0,0
26,"Jeremy Maclin, Phi",Hou,11.00,0,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0
27,"DeSean Jackson, Phi",Hou,11.00,0,0,0,0,0,0,1,0,0,0,3,84,0,0,0,0
28,"Brandon Gibson, Stl",@Ari,11.00,0,0,0,0,0,0,0,0,0,0,6,54,0,0,0,0
29,"Jacoby Jones, Hou",@Phi,10.00,0,0,0,0,0,0,0,0,0,0,2,20,1,0,0,0
30,"Larry Fitzgerald, Ari",Stl,10.00,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0
31,"Lee Evans, Buf",@Min,10.00,0,0,0,0,0,0,0,0,0,0,3,72,0,0,0,0
32,"Lance Moore, NO",@Cin,9.00,0,0,0,0,0,0,0,0,0,0,6,36,0,0,0,0
33,"Steve Breaston, Ari",Stl,9.00,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0
34,"Sammie Stroughter, TB",Atl,8.00,0,0,0,0,0,0,1,2,0,0,5,39,0,0,0,0
35,"Brandon Stokley, Sea",Car,8.00,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
36,"Steve Smith, Car",@Sea,8.00,0,0,0,0,0,0,0,0,0,0,3,54,0,0,0,0
37,"Deon Butler, Sea",Car,8.00,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
38,"Miles Austin, Dal",@Ind,8.00,0,0,0,0,0,0,1,6,0,0,4,47,0,0,0,0
39,"Roy Williams, Dal",@Ind,7.00,0,0,0,0,0,0,0,0,0,0,2,32,0,1,0,0
40,"Blair White, Ind",Dal,7.00,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0
41,"Nate Washington, Ten",Jax,7.00,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
42,"Kevin Walter, Hou",@Phi,7.00,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
43,"Mike Thomas, Jax",@Ten,7.00,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
44,"Brandon Tate, NE",NYJ,7.00,0,0,0,0,0,0,1,6,0,0,1,4,1,0,0,0
45,"Donte' Stallworth, Bal",Pit,7.00,0,0,0,0,0,0,1,-11,0,0,1,67,0,0,0,0
46,"Emmanuel Sanders, Pit",@Bal,7.00,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0
47,"Marcel Reece, Oak",@SD,7.00,0,0,0,0,0,0,1,5,0,0,3,42,0,0,0,0
48,"Jacoby Ford, Oak",@SD,7.00,0,0,0,0,0,0,1,3,0,0,1,4,1,0,0,0
49,"Michael Crabtree, SF",@GB,7.00,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0
50,"Jordan Shipley, Cin",NO,6.00,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0
51,"Ben Obomanu, Sea",Car,6.00,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0
52,"Brandon LaFell, Car",@Sea,6.00,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
53,"Johnny Knox, Chi",@Det,6.00,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
54,"T.J. Houshmandzadeh, Bal",Pit,6.00,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0
