,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Drew Brees, NO",Car,40.00,49,34,465,4,1,0,0,0,0,0,0,0,0,0,0,0
1,"Matthew Stafford, Det",LA,35.00,31,23,270,4,0,0,5,14,0,0,0,0,0,0,0,0
2,"Case Keenum, LA",@Det,34.00,32,27,321,3,1,0,3,7,1,0,0,0,0,0,0,0
3,"Marcus Mariota, Ten",Cle,33.00,24,17,284,3,1,0,7,64,0,0,0,0,0,0,0,0
4,"Tom Brady, NE",Cin,33.00,35,29,376,3,0,0,2,2,0,0,0,0,0,0,0,0
5,"Cam Newton, Car",@NO,30.00,47,27,322,2,1,1,2,1,1,0,0,0,0,0,0,0
6,"Eli Manning, NYG",Bal,30.00,46,32,403,3,2,0,0,0,0,0,0,0,0,0,0,0
7,"Matt Ryan, Atl",@Sea,28.00,42,27,335,3,1,0,1,2,0,0,0,0,0,0,1,0
8,"Andrew Luck, Ind",@Hou,25.00,32,21,252,1,1,0,7,53,1,0,0,0,0,0,0,0
9,"Cody Kessler, Cle",@Ten,25.00,41,26,336,2,0,0,1,3,0,0,0,0,0,0,0,0
10,"Tyrod Taylor, Buf",SF,24.00,25,16,179,2,0,0,8,68,0,0,0,0,0,0,1,0
11,"Dak Prescott, Dal",@GB,24.00,27,18,247,3,1,0,1,6,0,0,0,0,0,0,1,0
12,"Andy Dalton, Cin",@NE,23.00,31,21,254,1,0,0,2,17,1,0,0,0,0,0,0,0
13,"Brock Osweiler, Hou",Ind,20.00,39,25,269,2,1,0,2,-4,0,0,0,0,0,0,0,0
14,"Kirk Cousins, Was",Phi,20.00,34,18,263,2,1,0,2,8,0,0,0,0,0,0,0,0
15,"Colin Kaepernick, SF",@Buf,19.00,29,13,187,1,0,0,8,66,0,0,0,0,0,0,0,0
16,"Trevor Siemian, Den",@SD,15.00,50,30,230,1,0,0,1,1,0,0,0,0,0,0,0,0
17,"Aaron Rodgers, GB",Dal,14.00,42,31,294,1,1,0,3,7,0,0,0,0,0,0,1,0
18,"Carson Palmer, Ari",NYJ,14.00,34,23,213,1,0,0,3,-1,0,0,0,0,0,0,0,0
19,"Philip Rivers, SD",Den,13.00,29,18,178,1,0,0,0,0,0,0,0,0,0,0,0,0
20,"Blake Bortles, Jax",@Chi,13.00,33,20,271,1,1,0,3,1,0,0,0,0,0,0,1,0
21,"Brian Hoyer, Chi",Jax,12.00,49,30,302,0,0,0,1,0,0,0,0,0,0,0,0,0
22,"Joe Flacco, Bal",@NYG,12.00,48,26,307,0,0,0,1,0,0,0,0,0,0,0,0,0
23,"Derek Carr, Oak",KC,12.00,34,22,225,1,1,0,3,8,0,0,0,0,0,0,1,0
24,"Ben Roethlisberger, Pit",@Mia,11.00,34,19,189,1,2,1,0,0,0,0,0,0,0,0,0,0
25,"Russell Wilson, Sea",Atl,10.00,37,25,270,0,0,0,6,7,0,0,0,0,0,0,0,0
26,"Ryan Tannehill, Mia",Pit,10.00,32,24,252,0,0,0,2,3,0,0,0,0,0,0,0,0
27,"Alex Smith, KC",@Oak,8.00,22,19,224,0,0,0,3,-1,0,0,0,0,0,0,0,0
28,"Carson Wentz, Phi",@Was,7.00,22,11,179,0,0,0,2,2,0,0,0,0,0,0,0,0
29,"Ryan Fitzpatrick, NYJ",@Ari,4.00,31,16,174,0,1,0,1,2,0,0,0,0,0,0,0,0
30,"E.J. Manuel, Buf",SF,1.00,2,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0
31,"Drew Stanton, Ari",NYJ,0.00,1,1,12,0,0,0,1,-1,0,0,0,0,0,0,0,0
32,"Landry Jones, Pit",@Mia,0.00,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
33,"Geno Smith, NYJ",@Ari,-1.00,6,4,31,0,1,0,1,2,0,0,0,0,0,0,0,0
