,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Adrian Peterson, Min",@Atl,31.00,0,0,0,0,0,0,29,158,2,0,2,29,0,0,0,0
1,"C.J. Anderson, Den",NE,31.00,0,0,0,0,0,0,15,113,2,0,4,40,0,0,0,0
2,"DeAngelo Williams, Pit",@Sea,23.00,0,0,0,0,0,0,8,29,1,0,7,88,0,0,0,0
3,"Eddie Lacy, GB",Chi,22.00,0,0,0,0,0,0,17,105,0,0,4,34,1,0,1,0
4,"Spencer Ware, KC",Buf,20.00,0,0,0,0,0,0,19,114,1,0,3,1,0,0,0,0
5,"Brandon Bolden, NE",@Den,19.00,0,0,0,0,0,0,4,11,0,0,4,84,1,0,0,0
6,"LeSean McCoy, Buf",@KC,18.00,0,0,0,0,0,0,19,70,0,0,3,31,1,0,1,0
7,"Theo Riddick, Det",Phi,17.00,0,0,0,0,0,0,2,6,0,0,5,62,1,0,0,0
8,"Chris Ivory, NYJ",Mia,17.00,0,0,0,0,0,0,21,87,1,0,2,15,0,0,0,0
9,"Javorius Allen, Bal",@Cle,17.00,0,0,0,0,0,0,12,55,0,0,4,29,1,0,0,0
10,"Mark Ingram, NO",@Hou,15.00,0,0,0,0,0,0,9,52,0,0,6,45,0,0,0,0
11,"Joique Bell, Det",Phi,15.00,0,0,0,0,0,0,7,25,1,0,2,57,0,0,0,0
12,"Thomas Rawls, Sea",Pit,14.00,0,0,0,0,0,0,21,81,1,0,0,0,0,0,0,0
13,"Alfred Blue, Hou",NO,14.00,0,0,0,0,0,0,16,77,1,0,1,4,0,0,0,0
14,"Melvin Gordon, SD",@Jax,13.00,0,0,0,0,0,0,14,60,0,0,5,20,0,0,0,0
15,"Shaun Draughn, SF",Ari,13.00,0,0,0,0,0,0,15,51,0,0,5,35,0,0,0,0
16,"Ronnie Hillman, Den",NE,12.00,0,0,0,0,0,0,14,59,1,0,1,0,0,0,0,0
17,"T.J. Yeldon, Jax",SD,11.00,0,0,0,0,0,0,9,36,0,0,4,46,0,0,0,0
18,"James Starks, GB",Chi,11.00,0,0,0,0,0,0,7,39,0,0,4,41,0,0,0,0
19,"Darren McFadden, Dal",Car,11.00,0,0,0,0,0,0,10,11,0,0,4,45,0,1,0,0
20,"Jeremy Langford, Chi",@GB,11.00,0,0,0,0,0,0,12,48,1,0,1,5,0,0,0,0
21,"Tre Mason, Stl",@Cin,10.00,0,0,0,0,0,0,1,-2,0,0,7,37,0,0,0,0
22,"Doug Martin, TB",@Ind,10.00,0,0,0,0,0,0,14,97,0,0,1,1,0,0,0,0
23,"David Johnson, Ari",@SF,10.00,0,0,0,0,0,0,8,21,1,0,2,8,0,0,0,0
24,"Jeremy Hill, Cin",Stl,10.00,0,0,0,0,0,0,16,86,0,0,1,14,0,0,0,0
25,"Tevin Coleman, Atl",Min,10.00,0,0,0,0,0,0,18,110,0,0,0,0,0,0,1,0
26,"Danny Woodhead, SD",@Jax,9.00,0,0,0,0,0,0,4,8,0,0,6,39,0,0,0,0
27,"Jonathan Stewart, Car",@Dal,9.00,0,0,0,0,0,0,21,68,0,0,3,9,0,0,0,0
28,"Alfred Morris, Was",NYG,9.00,0,0,0,0,0,0,23,78,0,0,1,12,0,0,0,0
29,"Duke Johnson, Cle",Bal,9.00,0,0,0,0,0,0,7,27,0,0,5,23,0,0,0,0
30,"Jay Ajayi, Mia",@NYJ,9.00,0,0,0,0,0,0,3,6,0,0,4,52,0,0,0,0
31,"Latavius Murray, Oak",@Ten,8.00,0,0,0,0,0,0,22,59,0,0,1,23,0,0,0,0
32,"Giovani Bernard, Cin",Stl,8.00,0,0,0,0,0,0,10,16,0,0,2,51,0,0,0,0
33,"Ameer Abdullah, Det",Phi,8.00,0,0,0,0,0,0,16,63,0,0,1,12,0,0,0,0
34,"Shane Vereen, NYG",@Was,7.00,0,0,0,0,0,0,2,15,0,0,4,21,0,0,0,0
35,"Jalston Fowler, Ten",Oak,7.00,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0
36,"Andre Ellington, Ari",@SF,7.00,0,0,0,0,0,0,5,24,0,0,3,22,0,0,0,0
37,"Darren Sproles, Phi",@Det,6.00,0,0,0,0,0,0,2,4,0,0,4,21,0,0,0,0
38,"Charles Sims, TB",@Ind,6.00,0,0,0,0,0,0,4,8,0,0,3,31,0,0,0,0
39,"Matt Jones, Was",NYG,6.00,0,0,0,0,0,0,8,19,0,0,1,45,0,0,0,0
40,"Frank Gore, Ind",TB,5.00,0,0,0,0,0,0,19,24,0,0,2,13,0,0,0,0
41,"Matt Forte, Chi",@GB,5.00,0,0,0,0,0,0,15,44,0,0,1,9,0,0,0,0
42,"Ahmad Bradshaw, Ind",TB,5.00,0,0,0,0,0,0,4,6,0,0,3,20,0,0,0,0
43,"Antonio Andrews, Ten",Oak,5.00,0,0,0,0,0,0,11,32,0,0,1,14,0,0,0,0
44,"Bilal Powell, NYJ",Mia,4.00,0,0,0,0,0,0,6,28,0,0,2,7,0,0,0,0
45,"Lamar Miller, Mia",@NYJ,4.00,0,0,0,0,0,0,5,2,0,0,3,11,0,0,0,0
46,"Rashad Jennings, NYG",@Was,4.00,0,0,0,0,0,0,6,14,0,0,2,14,0,0,0,0
47,"Kenjon Barner, Phi",@Det,4.00,0,0,0,0,0,0,7,30,0,0,1,1,0,0,0,0
48,"Matt Asiata, Min",@Atl,4.00,0,0,0,0,0,0,1,3,0,0,3,17,0,0,0,0
49,"Damien Williams, Mia",@NYJ,3.00,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
50,"Terrance West, Bal",@Cle,3.00,0,0,0,0,0,0,7,37,0,0,0,0,0,0,0,0
51,"Chris Polk, Hou",NO,3.00,0,0,0,0,0,0,6,21,0,0,1,6,0,0,0,0
52,"DeMarco Murray, Phi",@Det,3.00,0,0,0,0,0,0,14,30,0,0,0,0,0,0,0,0
53,"Jerick McKinnon, Min",@Atl,3.00,0,0,0,0,0,0,5,33,0,0,0,0,0,0,0,0
54,"Kyle Juszczyk, Bal",@Cle,3.00,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
55,"Will Johnson, Pit",@Sea,3.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
56,"Akeem Hunt, Hou",NO,3.00,0,0,0,0,0,0,3,27,0,0,1,-2,0,0,0,0
57,"Todd Gurley, Stl",@Cin,3.00,0,0,0,0,0,0,9,19,0,0,1,11,0,0,0,0
58,"Jonathan Grimes, Hou",NO,3.00,0,0,0,0,0,0,7,25,0,0,1,8,0,0,0,0
59,"James White, NE",@Den,2.00,0,0,0,0,0,0,3,1,0,0,2,5,0,0,0,0
60,"Robert Turbin, Dal",Car,2.00,0,0,0,0,0,0,2,11,0,0,1,1,0,0,0,0
61,"C.J. Spiller, NO",@Hou,2.00,0,0,0,0,0,0,1,-2,0,0,2,8,0,0,0,0
62,"Fred Jackson, Sea",Pit,2.00,0,0,0,0,0,0,1,4,0,0,2,7,0,0,0,0
63,"Jerome Felton, Buf",@KC,2.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
64,"Benny Cunningham, Stl",@Cin,2.00,0,0,0,0,0,0,2,12,0,0,1,5,0,0,0,0
65,"Rex Burkhead, Cin",Stl,2.00,0,0,0,0,0,0,2,4,0,0,2,4,0,0,0,0
66,"LeGarrette Blount, NE",@Den,2.00,0,0,0,0,0,0,9,27,0,0,0,0,0,0,0,0
67,"Terron Ward, Atl",Min,1.00,0,0,0,0,0,0,5,7,0,0,1,8,0,0,0,0
68,"Mike Tolbert, Car",@Dal,1.00,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0
69,"Chris Thompson, Was",NYG,1.00,0,0,0,0,0,0,2,7,0,0,1,9,0,0,0,0
70,"Rod Smith, Dal",Car,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
71,"Jamize Olawale, Oak",@Ten,1.00,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0
