,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Coby Fleener, Ind",Was,28.00,0,0,0,0,0,0,0,0,0,0,4,127,2,0,0,0
1,"Jordan Reed, Was",@Ind,21.00,0,0,0,0,0,0,0,0,0,0,9,123,0,0,0,0
2,"Martellus Bennett, Chi",@Det,18.00,0,0,0,0,0,0,0,0,0,0,8,109,0,0,0,0
3,"Heath Miller, Pit",NO,16.00,0,0,0,0,0,0,0,0,0,0,8,82,0,0,0,0
4,"Rob Gronkowski, NE",@GB,16.00,0,0,0,0,0,0,0,0,0,0,7,98,0,0,0,0
5,"Antonio Gates, SD",@Bal,15.00,0,0,0,0,0,0,0,0,0,0,7,83,0,0,0,0
6,"Levine Toilolo, Atl",Ari,11.00,0,0,0,0,0,0,0,0,0,0,4,15,1,0,0,0
7,"Richard Rodgers, GB",NE,11.00,0,0,0,0,0,0,0,0,0,0,2,35,1,0,0,0
8,"Greg Olsen, Car",@Min,10.00,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0
9,"Dion Sims, Mia",@NYJ,9.00,0,0,0,0,0,0,0,0,0,0,4,58,0,0,0,0
10,"Cory Harkey, Stl",Oak,9.00,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0
11,"Anthony Fasano, KC",Den,9.00,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,0
12,"Larry Donnell, NYG",@Jax,9.00,0,0,0,0,0,0,0,0,0,0,5,55,0,0,1,0
13,"Benjamin Watson, NO",@Pit,8.00,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0
14,"Kyle Rudolph, Min",Car,8.00,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0
15,"Logan Paulsen, Was",@Ind,8.00,0,0,0,0,0,0,0,0,0,0,1,16,1,0,0,0
16,"Jermaine Gresham, Cin",@TB,8.00,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0
17,"Luke Willson, Sea",@SF,7.00,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
18,"Tony Moeaki, Sea",@SF,7.00,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0
19,"Ryan Griffin, Hou",Ten,7.00,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0
20,"Jim Dray, Cle",@Buf,7.00,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0
21,"Travis Kelce, KC",Den,6.00,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
22,"Mychal Rivera, Oak",@Stl,5.00,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
23,"Eric Ebron, Det",Chi,5.00,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
24,"Owen Daniels, Bal",SD,5.00,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
25,"John Carlson, Ari",@Atl,5.00,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0
26,"Zach Sudfeld, NYJ",Mia,3.00,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
27,"Andrew Quarless, GB",NE,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
28,"Michael Hoomanawanui, NE",@GB,3.00,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0
29,"Vernon Davis, SF",Sea,3.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
30,"Scott Chandler, Buf",Cle,3.00,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
31,"Marcedes Lewis, Jax",NYG,2.00,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
32,"Josh Hill, NO",@Pit,2.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
33,"Clay Harbor, Jax",NYG,2.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
34,"Virgil Green, Den",@KC,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
35,"Ladarius Green, SD",@Bal,2.00,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
36,"Cameron Brate, TB",Cin,2.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
37,"Jason Witten, Dal",Phi,1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
38,"Delanie Walker, Ten",@Hou,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
39,"Jacob Tamme, Den",@KC,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
40,"Brandon Pettigrew, Det",Chi,1.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
41,"Harold Hoskins, Mia",@NYJ,1.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,"Ryan Hewitt, Cin",@TB,1.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
43,"Joseph Fauria, Det",Chi,1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
44,"Jack Doyle, Ind",Was,1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
45,"Brent Celek, Phi",@Dal,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
46,"Gary Barnidge, Cle",@Buf,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
