,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Baltimore Ravens,@Car,26.00,3.0,2,0,0,0,2,13,150,120,270
1,Cleveland Browns,@Jax,23.00,4.0,4,0,2,0,1,24,226,145,371
2,Pittsburgh Steelers,Oak,22.00,6.0,2,0,1,0,0,3,121,61,182
3,Tampa Bay Buccaneers,@SF,20.00,6.0,1,0,1,0,0,0,118,71,189
4,Chicago Bears,@Mia,18.00,6.0,1,0,0,0,0,0,148,39,187
5,Dallas Cowboys,Det,17.00,3.0,1,0,1,0,1,19,263,75,338
6,Green Bay Packers,@Min,15.00,1.0,1,0,1,0,0,3,207,93,300
7,Tennessee Titans,Was,15.00,3.0,1,0,0,0,1,19,358,107,465
8,Buffalo Bills,@Cin,14.00,2.0,2,0,1,0,1,31,228,133,361
9,Philadelphia Eagles,NYG,14.00,0.0,3,0,2,0,0,17,147,61,208
10,Jacksonville Jaguars,Cle,12.00,6.0,1,0,0,0,0,20,195,88,283
11,Cincinnati Bengals,Buf,11.00,1.0,2,0,0,0,1,49,308,141,449
12,San Diego Chargers,Den,11.00,5.0,1,0,0,0,0,14,172,63,235
13,New York Giants,@Phi,10.00,3.0,0,0,2,1,0,27,244,148,392
14,Kansas City Chiefs,Ari,9.00,2.0,0,0,0,0,0,13,281,101,382
15,Miami Dolphins,Chi,9.00,3.0,1,0,0,0,0,16,133,135,268
16,Washington Redskins,@Ten,9.00,1.0,1,0,1,0,0,16,222,151,373
17,New Orleans Saints,Sea,8.00,0.0,0,0,2,0,0,19,366,58,424
18,Carolina Panthers,Bal,7.00,3.0,0,0,2,0,0,37,278,100,378
19,Houston Texans,@NYJ,7.00,3.0,1,0,1,0,0,30,298,103,401
20,Atlanta Falcons,@Stl,6.00,0.0,1,0,0,0,0,17,233,71,304
21,Detroit Lions,@Dal,6.00,2.0,0,1,1,0,0,35,131,134,265
22,New England Patriots,Ind,6.00,0.0,3,0,0,0,0,28,396,71,467
23,New York Jets,Hou,4.00,1.0,0,0,1,0,0,27,246,97,343
24,Oakland Raiders,@Pit,4.00,2.0,0,0,1,0,0,35,269,162,431
25,Seattle Seahawks,@NO,4.00,0.0,2,0,0,0,0,34,382,112,494
26,Denver Broncos,@SD,3.00,1.0,1,0,0,0,0,35,253,147,400
27,Minnesota Vikings,GB,3.00,3.0,0,0,0,0,0,31,283,91,374
28,San Francisco 49ers,TB,3.00,2.0,0,0,0,0,0,21,137,162,299
29,Indianapolis Colts,@NE,1.00,1.0,0,0,0,0,0,31,178,168,346
30,Arizona Cardinals,@KC,0.00,0.0,0,0,0,0,0,31,193,159,352
31,St. Louis Rams,Atl,0.00,0.0,0,0,0,0,0,34,253,138,391
