,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Green Bay Packers,Stl,26.00,3.0,4,0,0,1,1,10,143,191,334
1,Denver Broncos,@Oak,25.00,4.0,1,0,2,1,1,10,223,65,288
2,Atlanta Falcons,Was,21.00,1.0,2,0,0,0,2,19,219,51,270
3,Arizona Cardinals,@Det,17.00,1.0,4,0,2,0,0,17,379,56,435
4,New England Patriots,@Dal,17.00,3.0,1,0,1,0,0,6,163,102,265
5,Philadelphia Eagles,NO,17.00,5.0,1,0,3,0,0,17,292,96,388
6,Pittsburgh Steelers,@SD,16.00,2.0,1,0,1,0,1,20,354,52,406
7,Tampa Bay Buccaneers,Jax,16.00,6.0,1,0,1,0,1,31,270,55,325
8,Seattle Seahawks,@Cin,15.00,4.0,1,0,1,0,1,27,310,109,419
9,Kansas City Chiefs,Chi,14.00,2.0,0,0,1,0,1,18,241,87,328
10,Buffalo Bills,@Ten,11.00,2.0,1,0,0,0,0,13,179,97,276
11,Oakland Raiders,Den,10.00,2.0,2,0,0,0,0,16,254,43,297
12,Tennessee Titans,Buf,10.00,4.0,0,0,1,0,0,14,82,127,209
13,Washington Redskins,@Atl,10.00,3.0,2,0,1,0,0,25,242,176,418
14,Chicago Bears,@KC,9.00,3.0,0,0,0,1,0,17,170,117,287
15,Indianapolis Colts,@Hou,9.00,1.0,2,0,0,0,0,20,362,82,444
16,St. Louis Rams,@GB,9.00,2.0,2,0,1,0,0,24,236,86,322
17,Cincinnati Bengals,Sea,7.00,4.0,1,0,0,0,0,24,197,200,397
18,San Diego Chargers,Pit,6.00,3.0,1,0,0,0,0,24,194,155,349
19,Dallas Cowboys,NE,5.00,5.0,0,0,0,0,0,30,247,109,356
20,Baltimore Ravens,Cle,4.00,4.0,0,0,0,0,0,33,422,83,505
21,New Orleans Saints,@Phi,4.00,0.0,2,0,0,0,0,39,333,186,519
22,New York Giants,SF,3.00,2.0,0,0,0,0,0,27,256,124,380
23,Detroit Lions,Ari,2.00,2.0,0,0,0,0,0,42,158,187,345
24,Jacksonville Jaguars,@TB,2.00,2.0,0,0,0,0,0,38,186,183,369
25,San Francisco 49ers,@NYG,2.00,0.0,1,0,0,0,0,30,441,84,525
26,Cleveland Browns,@Bal,1.00,1.0,0,0,0,0,0,30,196,181,377
27,Houston Texans,Ind,1.00,0.0,0,0,0,0,0,27,213,110,323
