,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"David Garrard, Jax",@Dal,39.00,21,17,260,4,0,0,2,2,1,0,0,0,0,0,1,0
1,"Matthew Stafford, Det",Was,32.00,45,26,212,4,1,1,0,0,0,0,0,0,0,0,0,0
2,"Jason Campbell, Oak",Sea,24.00,27,15,310,2,0,0,4,4,0,0,0,0,0,0,0,0
3,"Vince Young, Ten",@SD,22.00,21,10,253,2,0,0,2,3,0,0,0,0,0,0,0,0
4,"Philip Rivers, SD",Ten,22.00,36,27,305,2,1,0,2,3,0,0,0,0,0,0,0,0
5,"Peyton Manning, Ind",Hou,22.00,45,26,268,2,0,0,4,3,0,0,0,0,0,0,0,0
6,"Drew Brees, NO",Pit,21.00,44,34,305,2,1,0,3,-2,0,0,0,0,0,0,1,0
7,"Troy Smith, SF",Den,19.00,19,12,196,1,0,0,4,2,1,0,0,0,0,0,0,0
8,"Josh Freeman, TB",@Ari,19.00,25,18,278,1,0,0,2,22,0,0,0,0,0,0,0,0
9,"Sam Bradford, Stl",Car,19.00,32,25,191,2,0,0,5,2,0,0,0,0,0,0,0,0
10,"Kyle Orton, Den",@SF,18.00,40,28,370,1,1,0,3,18,0,0,0,0,0,0,1,0
11,"Carson Palmer, Cin",Mia,17.00,38,17,156,2,1,0,3,13,0,0,0,0,0,0,0,0
12,"Donovan McNabb, Was",@Det,16.00,30,17,210,1,1,0,4,45,0,0,0,0,0,0,0,0
13,"Ryan Fitzpatrick, Buf",@KC,16.00,48,24,223,1,1,0,6,43,0,0,0,0,0,0,0,0
14,"Tom Brady, NE",Min,15.00,27,16,240,1,0,0,4,-3,0,0,0,0,0,0,0,0
15,"Jon Kitna, Dal",Jax,14.00,49,34,379,1,4,0,5,12,0,0,0,0,0,0,0,0
16,"Matt Cassel, KC",Buf,13.00,26,14,152,1,0,0,2,13,0,0,0,0,0,0,0,0
17,"Tarvaris Jackson, Min",@NE,12.00,6,4,36,1,0,1,1,33,0,0,0,0,0,0,0,0
18,"Matt Schaub, Hou",@Ind,11.00,38,22,201,1,1,0,1,1,0,0,0,0,0,0,1,0
19,"Derek Anderson, Ari",TB,11.00,24,16,234,1,2,0,0,0,0,0,0,0,0,0,0,0
20,"Mark Sanchez, NYJ",GB,8.00,38,16,256,0,2,0,2,22,0,0,0,0,0,0,0,0
21,"Brett Favre, Min",@NE,8.00,32,22,259,0,1,0,0,0,0,0,0,0,0,0,0,0
22,"Matt Moore, Car",@Stl,7.00,37,23,194,1,3,0,1,5,0,0,0,0,0,0,0,0
23,"Tim Tebow, Den",@SF,6.00,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
24,"Aaron Rodgers, GB",@NYJ,6.00,34,15,170,0,0,0,3,5,0,0,0,0,0,0,0,0
25,"Chad Henne, Mia",@Cin,6.00,37,24,217,0,1,0,3,-7,0,0,0,0,0,0,0,0
26,"Ben Roethlisberger, Pit",@NO,5.00,28,17,195,0,1,0,1,-1,0,0,0,0,0,0,0,0
27,"Matt Hasselbeck, Sea",@Oak,4.00,32,13,163,0,1,0,0,0,0,0,0,0,0,0,0,0
28,"Max Hall, Ari",TB,4.00,16,8,71,1,2,0,1,-5,0,0,0,0,0,0,0,0
29,"Kerry Collins, Ten",@SD,2.00,15,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Rex Grossman, Was",@Det,0.00,7,4,44,0,0,0,0,0,0,0,0,0,0,0,1,0
