,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Denver Broncos,@Car,29.00,7.0,2,1,0,0,2,14,198,52,250
1,Tennessee Titans,@Mia,26.00,2.0,3,0,1,0,1,3,201,54,255
2,Dallas Cowboys,@Phi,25.00,2.0,1,0,1,0,3,23,278,91,369
3,Indianapolis Colts,@Jax,23.00,4.0,2,0,1,0,1,10,300,37,337
4,Tampa Bay Buccaneers,SD,21.00,2.0,2,0,0,1,2,24,323,103,426
5,Baltimore Ravens,Oak,19.00,3.0,1,0,2,0,1,20,350,72,422
6,Cincinnati Bengals,NYG,19.00,4.0,2,0,2,0,0,13,189,129,318
7,Houston Texans,@Chi,18.00,0.0,2,0,2,0,0,6,134,115,249
8,Seattle Seahawks,NYJ,16.00,3.0,1,0,2,0,0,7,101,84,185
9,New York Jets,@Sea,14.00,4.0,0,0,2,0,1,28,189,174,363
10,Chicago Bears,Hou,12.00,1.0,2,0,0,0,0,13,88,127,215
11,Pittsburgh Steelers,KC,11.00,2.0,1,0,0,0,0,13,148,142,290
12,New England Patriots,Buf,9.00,3.0,1,0,2,0,0,31,319,162,481
13,Jacksonville Jaguars,Ind,7.00,2.0,1,0,1,0,0,27,221,138,359
14,Kansas City Chiefs,@Pit,7.00,1.0,0,0,1,0,0,16,154,95,249
15,Minnesota Vikings,Det,7.00,2.0,1,0,1,0,0,24,308,60,368
16,St. Louis Rams,@SF,6.00,5.0,0,0,0,0,0,24,158,183,341
17,Carolina Panthers,Den,5.00,1.0,0,0,2,0,0,36,295,65,360
18,San Francisco 49ers,Stl,5.00,2.0,0,0,1,0,0,24,299,159,458
19,New Orleans Saints,Atl,4.00,1.0,1,0,0,0,0,27,408,46,454
20,Atlanta Falcons,@NO,3.00,1.0,1,0,0,0,0,31,292,148,440
21,Philadelphia Eagles,Dal,3.00,3.0,0,0,0,0,0,38,193,101,294
22,Detroit Lions,@Min,2.00,2.0,0,0,0,0,0,34,207,196,403
23,New York Giants,@Cin,2.00,0.0,0,0,1,0,0,31,199,76,275
24,Oakland Raiders,@Bal,2.00,0.0,1,0,0,0,0,55,341,78,419
25,Buffalo Bills,@NE,1.00,1.0,0,0,0,0,0,37,230,117,347
26,Miami Dolphins,Ten,1.00,1.0,0,0,0,0,0,37,116,177,293
27,San Diego Chargers,@TB,1.00,1.0,0,0,0,0,0,34,205,74,279
