,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Cleveland Browns,@NO,27.00,3.0,4,0,0,0,2,17,336,58,394
1,Washington Redskins,@Chi,26.00,4.0,4,0,2,0,1,14,256,66,322
2,Oakland Raiders,@Den,20.00,4.0,1,0,2,0,1,14,165,75,240
3,Seattle Seahawks,Ari,19.00,2.0,1,0,4,0,0,10,114,113,227
4,Tennessee Titans,Phi,19.00,1.0,2,0,2,0,1,19,227,99,326
5,Chicago Bears,Was,18.00,2.0,2,0,1,0,1,17,187,121,308
6,Dallas Cowboys,NYG,17.00,1.0,3,0,2,0,1,41,297,200,497
7,Kansas City Chiefs,Jax,17.00,1.0,2,0,1,0,1,20,216,84,300
8,Green Bay Packers,Min,14.00,1.0,3,0,0,0,1,24,206,196,402
9,New England Patriots,@SD,14.00,2.0,1,0,3,0,0,20,325,38,363
10,San Francisco 49ers,@Car,14.00,1.0,1,0,2,0,1,23,303,76,379
11,Cincinnati Bengals,@Atl,10.00,0.0,1,0,1,0,1,39,299,153,452
12,Baltimore Ravens,Buf,9.00,1.0,2,0,2,0,0,34,382,132,514
13,Philadelphia Eagles,@Ten,9.00,3.0,2,0,1,0,0,37,253,75,328
14,Arizona Cardinals,@Sea,8.00,5.0,0,0,1,0,0,22,158,144,302
15,Carolina Panthers,SF,8.00,2.0,1,0,0,0,0,20,183,99,282
16,Miami Dolphins,Pit,8.00,3.0,0,0,2,0,0,23,290,58,348
17,New York Giants,@Dal,7.00,3.0,0,0,2,0,0,35,213,41,254
18,St. Louis Rams,@TB,7.00,3.0,0,0,0,0,0,18,189,124,313
19,Tampa Bay Buccaneers,Stl,7.00,1.0,0,0,1,0,0,17,124,161,285
20,Buffalo Bills,@Bal,6.00,2.0,0,0,2,0,0,37,229,135,364
21,Pittsburgh Steelers,@Mia,6.00,1.0,1,0,1,0,0,22,249,64,313
22,Atlanta Falcons,Cin,5.00,3.0,0,0,1,0,0,32,385,84,469
23,San Diego Chargers,NE,5.00,4.0,0,0,0,0,0,23,128,51,179
24,Minnesota Vikings,@GB,4.00,0.0,2,0,0,0,0,28,295,84,379
25,Denver Broncos,Oak,2.00,2.0,0,0,0,0,0,59,180,328,508
26,Jacksonville Jaguars,@KC,1.00,1.0,0,0,0,0,0,42,190,236,426
27,New Orleans Saints,Cle,1.00,1.0,0,0,0,0,0,30,85,125,210
