,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Carolina Panthers,@TB,25.00,2.0,4,0,1,0,2,23,270,141,411
1,Detroit Lions,@Sea,25.00,6.0,0,0,3,0,1,13,235,110,345
2,Atlanta Falcons,Hou,22.00,1.0,1,0,3,0,2,21,374,54,428
3,Green Bay Packers,@SF,18.00,6.0,1,0,0,0,0,3,119,77,196
4,Denver Broncos,Min,13.00,7.0,0,0,1,0,0,20,212,113,325
5,New York Giants,@Buf,13.00,2.0,1,0,1,0,0,10,258,55,313
6,Washington Redskins,Phi,13.00,5.0,0,0,2,0,0,20,233,87,320
7,Oakland Raiders,@Chi,12.00,3.0,1,0,2,1,0,22,273,98,371
8,Jacksonville Jaguars,@Ind,11.00,3.0,0,0,2,0,0,16,266,60,326
9,New York Jets,@Mia,11.00,3.0,2,0,0,0,0,14,167,59,226
10,St. Louis Rams,@Ari,11.00,4.0,1,0,2,0,0,22,334,113,447
11,Chicago Bears,Oak,10.00,2.0,1,0,1,0,0,20,173,70,243
12,Pittsburgh Steelers,Bal,10.00,5.0,1,0,1,0,0,23,165,191,356
13,Baltimore Ravens,@Pit,8.00,4.0,0,0,0,0,0,20,96,167,263
14,Cincinnati Bengals,KC,8.00,5.0,0,0,1,0,0,21,348,113,461
15,Indianapolis Colts,Jax,8.00,1.0,0,0,0,0,0,13,289,142,431
16,Minnesota Vikings,@Den,7.00,2.0,2,0,0,0,0,23,200,144,344
17,New Orleans Saints,Dal,7.00,3.0,0,0,0,0,0,20,220,115,335
18,San Diego Chargers,Cle,7.00,4.0,0,0,1,0,0,27,332,100,432
19,San Francisco 49ers,GB,7.00,3.0,0,0,0,0,0,17,200,162,362
20,Seattle Seahawks,Det,7.00,0.0,0,0,0,0,0,10,203,53,256
21,Buffalo Bills,NYG,4.00,1.0,1,0,0,0,0,24,211,92,303
22,Dallas Cowboys,@NO,4.00,3.0,0,0,0,0,0,26,335,103,438
23,Philadelphia Eagles,@Was,4.00,1.0,0,0,1,0,0,23,290,127,417
24,Tampa Bay Buccaneers,Car,4.00,2.0,0,0,1,0,0,37,111,133,244
25,Miami Dolphins,NYJ,3.00,0.0,1,0,0,0,0,27,218,207,425
26,Arizona Cardinals,Stl,2.00,1.0,0,0,0,0,0,24,164,164,328
27,Cleveland Browns,@SD,2.00,2.0,0,0,0,0,0,30,347,91,438
28,Houston Texans,@Atl,2.00,2.0,0,0,0,0,0,48,243,135,378
29,Kansas City Chiefs,@Cin,0.00,0.0,0,0,0,0,0,36,321,124,445
