,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Le'Veon Bell, Pit",@Atl,28.00,0,0,0,0,0,0,20,47,2,0,5,72,0,0,0,0
1,"Jeremy Hill, Cin",@Cle,27.00,0,0,0,0,0,0,25,148,2,0,1,4,0,0,0,0
2,"DeMarco Murray, Dal",@Phi,21.00,0,0,0,0,0,0,31,81,2,0,1,3,0,0,0,0
3,"Knile Davis, KC",Oak,21.00,0,0,0,0,0,0,9,11,1,0,1,70,1,0,0,0
4,"Matt Asiata, Min",@Det,21.00,0,0,0,0,0,0,11,36,1,0,7,50,0,0,0,0
5,"Eddie Lacy, GB",@Buf,18.00,0,0,0,0,0,0,15,97,1,0,2,11,0,0,0,0
6,"Marshawn Lynch, Sea",SF,16.00,0,0,0,0,0,0,21,91,1,0,1,7,0,0,0,0
7,"Pierre Thomas, NO",@Chi,14.00,0,0,0,0,0,0,2,11,0,0,5,83,0,0,0,0
8,"Joique Bell, Det",Min,14.00,0,0,0,0,0,0,15,62,0,0,4,41,0,0,0,0
9,"Arian Foster, Hou",@Ind,13.00,0,0,0,0,0,0,26,99,0,0,3,18,0,0,0,0
10,"Chris Thompson, Was",@NYG,12.00,0,0,0,0,0,0,3,12,0,0,3,22,1,0,0,0
11,"Chris Polk, Phi",Dal,12.00,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0
12,"Fred Jackson, Buf",GB,12.00,0,0,0,0,0,0,20,71,0,0,3,27,0,0,0,0
13,"Giovani Bernard, Cin",@Cle,12.00,0,0,0,0,0,0,15,79,0,0,3,24,0,0,0,0
14,"Mark Ingram, NO",@Chi,11.00,0,0,0,0,0,0,17,59,1,0,0,0,0,0,0,0
15,"Matt Forte, Chi",NO,11.00,0,0,0,0,0,0,16,78,0,0,2,21,0,0,0,0
16,"C.J. Anderson, Den",@SD,11.00,0,0,0,0,0,0,29,85,0,0,2,11,0,0,0,0
17,"Kerwynn Williams, Ari",@Stl,10.00,0,0,0,0,0,0,15,75,0,0,2,11,0,0,0,0
18,"Charles Sims, TB",@Car,10.00,0,0,0,0,0,0,7,34,0,0,3,45,0,0,0,0
19,"Branden Oliver, SD",Den,10.00,0,0,0,0,0,0,12,26,0,0,4,44,0,0,0,0
20,"Doug Martin, TB",@Car,10.00,0,0,0,0,0,0,14,96,0,0,1,3,0,0,0,0
21,"Silas Redd, Was",@NYG,9.00,0,0,0,0,0,0,1,1,0,0,3,62,0,0,0,0
22,"Chris Ivory, NYJ",@Ten,9.00,0,0,0,0,0,0,12,25,1,0,1,1,0,0,0,0
23,"Dan Herron, Ind",Hou,9.00,0,0,0,0,0,0,11,60,0,0,2,12,0,0,0,0
24,"LeGarrette Blount, NE",Mia,9.00,0,0,0,0,0,0,8,17,1,0,2,7,0,0,0,0
25,"Shane Vereen, NE",Mia,8.00,0,0,0,0,0,0,6,5,1,0,1,12,0,0,0,0
26,"Darren Sproles, Phi",Dal,8.00,0,0,0,0,0,0,3,5,1,0,2,8,0,0,0,0
27,"Latavius Murray, Oak",@KC,8.00,0,0,0,0,0,0,12,59,0,0,2,17,0,0,0,0
28,"Frank Gore, SF",@Sea,8.00,0,0,0,0,0,0,11,29,1,0,0,0,0,0,0,0
29,"Donald Brown, SD",Den,8.00,0,0,0,0,0,0,5,18,0,0,4,38,0,0,0,0
30,"Jonathan Stewart, Car",TB,7.00,0,0,0,0,0,0,22,75,0,0,1,6,0,0,1,0
31,"LeSean McCoy, Phi",Dal,7.00,0,0,0,0,0,0,16,64,0,0,1,1,0,0,0,0
32,"Shonn Greene, Ten",NYJ,7.00,0,0,0,0,0,0,16,50,0,0,1,13,0,0,0,0
33,"Jonas Gray, NE",Mia,7.00,0,0,0,0,0,0,11,62,0,0,1,7,0,0,0,0
34,"Toby Gerhart, Jax",@Bal,7.00,0,0,0,0,0,0,13,54,0,0,2,9,0,0,0,0
35,"John Conner, NYJ",@Ten,7.00,0,0,0,0,0,0,1,0,0,0,1,9,1,0,0,0
36,"Rex Burkhead, Cin",@Cle,7.00,0,0,0,0,0,0,3,14,1,0,0,0,0,0,0,0
37,"Bryce Brown, Buf",GB,7.00,0,0,0,0,0,0,4,20,0,0,1,40,0,0,0,0
38,"Stepfan Taylor, Ari",@Stl,6.00,0,0,0,0,0,0,14,61,0,0,0,0,0,0,0,0
39,"Lamar Miller, Mia",@NE,6.00,0,0,0,0,0,0,16,47,0,0,1,10,0,0,0,0
40,"Steven Jackson, Atl",Pit,6.00,0,0,0,0,0,0,11,46,0,0,1,11,0,0,0,0
41,"Jamaal Charles, KC",Oak,6.00,0,0,0,0,0,0,12,52,0,0,1,1,0,0,0,0
42,"Ka'Deem Carey, Chi",NO,6.00,0,0,0,0,0,0,1,4,0,0,3,39,0,0,0,0
43,"Andre Williams, NYG",Was,5.00,0,0,0,0,0,0,18,44,0,0,1,9,0,0,0,0
44,"Trent Richardson, Ind",Hou,5.00,0,0,0,0,0,0,9,32,0,0,2,9,0,0,0,0
45,"Chris Johnson, NYJ",@Ten,5.00,0,0,0,0,0,0,10,55,0,0,0,0,0,0,0,0
46,"Carlos Hyde, SF",@Sea,5.00,0,0,0,0,0,0,6,55,0,0,0,0,0,0,0,0
47,"Justin Forsett, Bal",Jax,5.00,0,0,0,0,0,0,16,48,0,0,1,-1,0,0,0,0
48,"Benny Cunningham, Stl",Ari,5.00,0,0,0,0,0,0,2,4,0,0,3,23,0,0,0,0
49,"Daniel Thomas, Mia",@NE,4.00,0,0,0,0,0,0,2,5,0,0,2,20,0,0,0,0
50,"Khiry Robinson, NO",@Chi,4.00,0,0,0,0,0,0,3,10,0,0,2,10,0,0,0,0
51,"Alfred Morris, Was",@NYG,4.00,0,0,0,0,0,0,14,49,0,0,0,0,0,0,0,0
52,"Isaiah Crowell, Cle",Cin,4.00,0,0,0,0,0,0,7,17,0,0,2,10,0,0,0,0
53,"Robert Turbin, Sea",SF,3.00,0,0,0,0,0,0,5,33,0,0,0,0,0,0,0,0
54,"James Starks, GB",@Buf,3.00,0,0,0,0,0,0,4,19,0,0,1,10,0,0,0,0
55,"Bilal Powell, NYJ",@Ten,3.00,0,0,0,0,0,0,1,8,0,0,2,10,0,0,0,0
56,"Bernard Pierce, Bal",Jax,3.00,0,0,0,0,0,0,6,37,0,0,0,0,0,0,0,0
57,"Dexter McCluster, Ten",NYJ,3.00,0,0,0,0,0,0,5,15,0,0,2,8,0,0,0,0
58,"Devonta Freeman, Atl",Pit,3.00,0,0,0,0,0,0,4,21,0,0,1,9,0,0,0,0
59,"Lance Dunbar, Dal",@Phi,3.00,0,0,0,0,0,0,5,22,0,0,1,6,0,0,0,0
60,"Anthony Dixon, Buf",GB,3.00,0,0,0,0,0,0,6,26,0,0,1,5,0,0,0,0
61,"Damien Williams, Mia",@NE,2.00,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
62,"Terrance West, Cle",Cin,2.00,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0
63,"Jordan Todman, Jax",@Bal,2.00,0,0,0,0,0,0,3,7,0,0,1,19,0,0,0,0
64,"De'Anthony Thomas, KC",Oak,2.00,0,0,0,0,0,0,2,14,0,0,1,5,0,0,0,0
65,"Will Ta'ufo'ou, Jax",@Bal,2.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
66,"Bishop Sankey, Ten",NYJ,2.00,0,0,0,0,0,0,3,8,0,0,1,18,0,0,0,0
67,"Jacquizz Rodgers, Atl",Pit,2.00,0,0,0,0,0,0,2,3,0,0,1,12,0,0,0,0
68,"Tre Mason, Stl",Ari,2.00,0,0,0,0,0,0,13,33,0,0,0,0,0,0,1,0
69,"Reggie Bush, Det",Min,2.00,0,0,0,0,0,0,3,7,0,0,1,10,0,0,0,0
70,"Alfred Blue, Hou",@Ind,2.00,0,0,0,0,0,0,8,26,0,0,0,0,0,0,0,0
71,"Darrel Young, Was",@NYG,1.00,0,0,0,0,0,0,1,3,0,0,1,2,0,0,0,0
72,"Fozzy Whittaker, Car",TB,1.00,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0
73,"Juwan Thompson, Den",@SD,1.00,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0
74,"Jeremy Stewart, Den",@SD,1.00,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0
75,"Anthony Sherman, KC",Oak,1.00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
76,"Joseph Randle, Dal",@Phi,1.00,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0
77,"Darren McFadden, Oak",@KC,1.00,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0
78,"Storm Johnson, Jax",@Bal,1.00,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0
79,"MarQueis Gray, Buf",GB,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
80,"Leon Washington, Ten",NYJ,0.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
81,"Mike Tolbert, Car",TB,0.00,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
82,"Ben Tate, Min",@Det,0.00,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0
83,"Alfonso Smith, SF",@Sea,0.00,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0
84,"Theo Riddick, Det",Min,0.00,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
85,"Christine Michael, Sea",SF,0.00,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
86,"Kyle Juszczyk, Bal",Jax,0.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0
87,"Maurice Jones-Drew, Oak",@KC,0.00,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
88,"Rashad Jennings, NYG",Was,0.00,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
89,"Henry Hynoski, NYG",Was,0.00,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
90,"Ronnie Brown, SD",Den,0.00,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0
91,"Joe Banyard, Min",@Det,0.00,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
