,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Tennessee Titans,Jax,41.00,7.0,3,0,0,0,4,20,253,122,375
1,New England Patriots,Mia,21.00,7.0,1,0,1,0,0,0,209,47,256
2,Buffalo Bills,NYJ,20.00,1.0,1,0,1,1,1,9,199,133,332
3,Pittsburgh Steelers,Cle,19.00,4.0,1,0,3,0,0,10,182,138,320
4,Indianapolis Colts,Hou,18.00,4.0,2,0,0,0,1,16,250,102,352
5,Cincinnati Bengals,Bal,16.00,4.0,1,0,0,0,1,17,146,206,352
6,Denver Broncos,KC,14.00,4.0,0,0,0,0,0,3,26,93,119
7,San Francisco 49ers,Ari,13.00,2.0,1,0,1,0,0,13,207,55,262
8,Washington Redskins,Dal,12.00,2.0,3,0,0,0,0,18,196,100,296
9,Chicago Bears,@Det,10.00,1.0,1,0,3,0,0,24,255,72,327
10,Jacksonville Jaguars,@Ten,10.00,2.0,0,0,0,1,1,38,142,79,221
11,New York Giants,Phi,10.00,1.0,1,0,0,0,0,7,207,110,317
12,St. Louis Rams,@Sea,10.00,6.0,0,0,0,0,0,20,209,153,362
13,New Orleans Saints,Car,9.00,1.0,1,0,0,0,1,44,257,273,530
14,San Diego Chargers,Oak,9.00,0.0,1,0,0,0,1,21,150,115,265
15,Seattle Seahawks,Stl,9.00,0.0,1,0,0,0,0,13,252,79,331
16,Tampa Bay Buccaneers,@Atl,8.00,2.0,0,0,0,1,0,17,213,65,278
17,Minnesota Vikings,GB,7.00,5.0,0,0,1,0,0,34,333,72,405
18,Oakland Raiders,@SD,5.00,2.0,0,0,0,1,0,24,140,70,210
19,Carolina Panthers,@NO,4.00,2.0,1,0,0,0,0,38,378,63,441
20,Atlanta Falcons,TB,3.00,0.0,1,0,0,0,0,22,222,144,366
21,Baltimore Ravens,@Cin,3.00,2.0,0,0,0,0,0,23,142,47,189
22,Cleveland Browns,@Pit,3.00,2.0,0,0,0,0,0,24,121,91,212
23,Detroit Lions,Chi,3.00,2.0,0,0,0,0,0,26,245,144,389
24,Arizona Cardinals,@SF,2.00,1.0,0,0,0,0,0,27,278,129,407
25,Kansas City Chiefs,@Den,2.00,0.0,0,0,1,0,0,38,316,172,488
26,New York Jets,@Buf,2.00,0.0,0,0,1,0,0,28,225,109,334
27,Dallas Cowboys,@Was,1.00,1.0,0,0,0,0,0,28,87,274,361
28,Green Bay Packers,@Min,1.00,1.0,0,0,0,0,0,37,227,217,444
29,Houston Texans,@Ind,1.00,1.0,0,0,0,0,0,28,184,81,265
30,Miami Dolphins,@NE,1.00,1.0,0,0,0,0,0,28,276,167,443
31,Philadelphia Eagles,@NYG,1.00,1.0,0,0,0,0,0,42,212,185,397
