,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Matt Forte, Chi",Car,32.00,0,0,0,0,0,0,25,205,1,0,4,23,0,0,0,0
1,"Beanie Wells, Ari",NYG,31.00,0,0,0,0,0,0,27,138,3,0,0,0,0,0,0,0
2,"Arian Foster, Hou",Pit,25.00,0,0,0,0,0,0,30,155,1,0,3,11,0,0,0,0
3,"Michael Turner, Atl",@Sea,22.00,0,0,0,0,0,0,26,70,2,0,2,18,0,0,0,0
4,"Frank Gore, SF",@Phi,21.00,0,0,0,0,0,0,15,127,1,0,2,12,0,0,0,0
5,"Ray Rice, Bal",NYJ,20.00,0,0,0,0,0,0,25,66,1,0,2,64,0,0,0,0
6,"Fred Jackson, Buf",@Cin,20.00,0,0,0,0,0,0,17,66,1,0,5,32,0,0,0,0
7,"LeGarrette Blount, TB",Ind,20.00,0,0,0,0,0,0,25,127,1,0,1,14,0,0,0,0
8,"Ryan Torain, Was",@Stl,19.00,0,0,0,0,0,0,19,135,1,0,0,0,0,0,0,0
9,"Ryan Mathews, SD",Mia,19.00,0,0,0,0,0,0,16,81,0,0,5,68,0,0,0,0
10,"Mike Tolbert, SD",Mia,17.00,0,0,0,0,0,0,6,17,1,0,5,51,0,0,0,0
11,"Darren Sproles, NO",@Jax,17.00,0,0,0,0,0,0,7,75,0,0,5,56,0,0,0,0
12,"Michael Bush, Oak",NE,17.00,0,0,0,0,0,0,8,26,1,0,4,55,0,0,0,0
13,"Stevan Ridley, NE",@Oak,16.00,0,0,0,0,0,0,10,97,1,0,1,3,0,0,0,0
14,"LeSean McCoy, Phi",SF,16.00,0,0,0,0,0,0,9,18,0,0,6,34,1,0,0,0
15,"Darren McFadden, Oak",NE,15.00,0,0,0,0,0,0,14,75,0,0,4,48,0,0,0,0
16,"Steven Jackson, Stl",Was,15.00,0,0,0,0,0,0,17,45,0,0,4,19,1,0,0,0
17,"James Starks, GB",Den,14.00,0,0,0,0,0,0,13,63,0,0,5,38,0,0,0,0
18,"Marshawn Lynch, Sea",Atl,14.00,0,0,0,0,0,0,8,24,1,0,3,33,0,0,0,0
19,"BenJarvus Green-Ellis, NE",@Oak,14.00,0,0,0,0,0,0,16,75,1,0,1,9,0,0,0,0
20,"Willis McGahee, Den",@GB,13.00,0,0,0,0,0,0,15,103,0,0,2,10,0,0,0,0
21,"Chris Johnson, Ten",@Cle,13.00,0,0,0,0,0,0,23,101,0,0,2,11,0,0,0,0
