,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Jacksonville Jaguars,@Hou,31.00,10.0,1,0,3,0,1,7,110,93,203
1,Los Angeles Rams,Ind,31.00,4.0,2,1,1,0,2,9,150,75,225
2,Baltimore Ravens,@Cin,25.00,5.0,4,0,1,0,0,0,144,77,221
3,Philadelphia Eagles,@Was,22.00,4.0,1,0,3,0,1,17,200,64,264
4,Pittsburgh Steelers,@Cle,21.00,7.0,1,0,0,1,1,18,180,57,237
5,Carolina Panthers,@SF,18.00,4.0,1,0,1,0,0,3,166,51,217
6,Detroit Lions,Ari,16.00,1.0,3,0,1,0,1,23,263,45,308
7,Dallas Cowboys,NYG,15.00,3.0,1,0,0,0,0,3,198,35,233
8,Buffalo Bills,NYJ,12.00,1.0,2,0,0,0,0,12,176,38,214
9,Green Bay Packers,Sea,12.00,3.0,0,0,1,0,0,9,135,90,225
10,Washington Redskins,Phi,12.00,2.0,1,0,1,0,1,30,298,58,356
11,Seattle Seahawks,@GB,10.00,4.0,1,0,0,0,0,17,286,84,370
12,Arizona Cardinals,@Det,9.00,1.0,1,0,0,0,1,35,285,82,367
13,Los Angeles Chargers,@Den,9.00,4.0,1,0,1,0,0,24,181,140,321
14,Atlanta Falcons,@Chi,8.00,4.0,0,0,0,0,0,17,176,125,301
15,Cincinnati Bengals,Bal,7.00,1.0,1,0,0,0,0,20,111,157,268
16,Denver Broncos,LAC,6.00,1.0,1,0,0,1,0,21,185,64,249
17,Minnesota Vikings,NO,5.00,1.0,0,0,0,0,0,19,284,60,344
18,New England Patriots,KC,5.00,3.0,0,0,1,0,0,42,352,185,537
19,New York Giants,@Dal,5.00,1.0,0,0,0,0,0,19,263,129,392
20,New York Jets,@Buf,5.00,2.0,1,0,0,0,0,21,218,190,408
21,Oakland Raiders,@Ten,5.00,1.0,0,0,0,0,0,16,255,95,350
22,San Francisco 49ers,Car,5.00,0.0,1,0,1,0,0,23,171,116,287
23,Cleveland Browns,Pit,4.00,1.0,1,0,0,0,0,21,255,35,290
24,Kansas City Chiefs,@NE,4.00,3.0,0,0,0,0,0,27,247,124,371
25,Chicago Bears,Atl,3.00,2.0,0,0,0,0,0,23,308,64,372
26,Indianapolis Colts,@LA,3.00,1.0,0,0,1,0,0,46,310,63,373
27,Tennessee Titans,Oak,3.00,2.0,0,0,0,0,0,26,250,109,359
28,New Orleans Saints,@Min,1.00,1.0,0,0,0,0,0,29,341,129,470
29,Houston Texans,Jax,0.00,0.0,0,0,0,0,0,29,125,155,280
