,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Miami Dolphins,@Jax,31.00,4.0,2,0,1,1,2,13,201,176,377
1,Kansas City Chiefs,Stl,22.00,7.0,1,0,0,0,1,7,116,84,200
2,Minnesota Vikings,@TB,22.00,5.0,1,0,1,0,1,13,159,66,225
3,Buffalo Bills,@NYJ,17.00,4.0,4,0,2,0,0,23,137,175,312
4,Cleveland Browns,Oak,17.00,4.0,1,0,2,0,0,13,311,76,387
5,New England Patriots,Chi,14.00,3.0,1,0,1,0,1,23,231,153,384
6,Pittsburgh Steelers,Ind,14.00,2.0,2,1,0,0,1,34,385,63,448
7,Seattle Seahawks,@Car,14.00,3.0,1,0,1,0,0,9,152,114,266
8,Washington Redskins,@Dal,13.00,5.0,0,0,2,0,0,17,224,171,395
9,Carolina Panthers,Sea,12.00,1.0,1,0,1,0,0,13,191,119,310
10,New Orleans Saints,GB,11.00,4.0,2,0,1,0,0,23,402,89,491
11,Arizona Cardinals,Phi,10.00,0.0,2,0,1,0,0,20,411,110,521
12,Houston Texans,@Ten,10.00,2.0,1,0,1,0,0,16,290,36,326
13,Dallas Cowboys,Was,9.00,3.0,1,0,0,0,0,20,286,123,409
14,Baltimore Ravens,@Cin,7.00,2.0,1,0,1,0,0,27,239,111,350
15,Denver Broncos,SD,7.00,2.0,2,0,0,0,0,21,245,61,306
16,Cincinnati Bengals,Bal,6.00,1.0,2,0,0,0,0,24,187,107,294
17,Indianapolis Colts,@Pit,6.00,0.0,0,0,2,1,0,51,522,117,639
18,Jacksonville Jaguars,Mia,6.00,3.0,1,0,0,0,0,27,178,148,326
19,Detroit Lions,@Atl,5.00,2.0,1,0,0,0,0,21,213,78,291
20,Tampa Bay Buccaneers,Min,5.00,1.0,0,0,0,0,0,19,235,97,332
21,Tennessee Titans,Hou,5.00,5.0,0,0,0,0,0,30,193,212,405
22,Green Bay Packers,@NO,4.00,2.0,0,0,1,0,0,44,302,193,495
23,New York Jets,Buf,4.00,4.0,0,0,0,0,0,43,213,67,280
24,St. Louis Rams,@KC,4.00,2.0,0,0,1,0,0,34,215,140,355
25,Atlanta Falcons,Det,3.00,0.0,1,0,0,0,0,22,325,60,385
26,Philadelphia Eagles,@Ari,3.00,0.0,0,0,1,0,0,24,329,71,400
27,Oakland Raiders,@Cle,2.00,1.0,0,0,0,0,0,23,267,39,306
28,Chicago Bears,@NE,1.00,1.0,0,0,0,0,0,51,365,122,487
29,San Diego Chargers,@Den,0.00,0.0,0,0,0,0,0,35,286,139,425
