,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Ray Rice, Bal",Ari,34.00,0,0,0,0,0,0,18,63,3,0,7,36,0,0,0,0
1,"Steven Jackson, Stl",NO,34.00,0,0,0,0,0,0,25,159,2,0,4,32,0,0,0,0
2,"LeSean McCoy, Phi",Dal,33.00,0,0,0,0,0,0,30,185,2,0,2,15,0,0,0,0
3,"Adrian Peterson, Min",@Car,32.00,0,0,0,0,0,0,20,83,1,0,5,76,1,0,0,0
4,"Fred Jackson, Buf",Was,22.00,0,0,0,0,0,0,26,120,0,0,3,74,0,0,0,0
5,"Frank Gore, SF",Cle,19.00,0,0,0,0,0,0,31,134,1,0,0,0,0,0,0,0
6,"Arian Foster, Hou",Jax,19.00,0,0,0,0,0,0,33,112,1,0,1,12,0,0,0,0
7,"Curtis Brinkley, SD",@KC,17.00,0,0,0,0,0,0,10,43,1,0,3,24,0,1,0,0
8,"Javon Ringer, Ten",Ind,15.00,0,0,0,0,0,0,14,60,0,0,5,42,0,0,0,0
9,"Ryan Mathews, SD",@KC,15.00,0,0,0,0,0,0,13,57,0,0,6,55,0,0,1,0
10,"Reggie Bush, Mia",@NYG,15.00,0,0,0,0,0,0,15,103,0,0,4,17,0,0,0,0
11,"Beanie Wells, Ari",@Bal,14.00,0,0,0,0,0,0,22,83,1,0,0,0,0,0,0,0
12,"Maurice Jones-Drew, Jax",@Hou,14.00,0,0,0,0,0,0,18,63,1,0,1,11,0,0,0,0
13,"Pierre Thomas, NO",@Stl,13.00,0,0,0,0,0,0,7,23,1,0,4,11,0,0,0,0
14,"Darren Sproles, NO",@Stl,13.00,0,0,0,0,0,0,6,16,0,0,6,60,0,0,0,0
15,"Ahmad Bradshaw, NYG",Mia,13.00,0,0,0,0,0,0,13,50,0,0,5,38,0,0,0,0
16,"Jackie Battle, KC",SD,13.00,0,0,0,0,0,0,19,70,1,0,0,0,0,0,0,0
17,"Maurice Morris, Det",@Den,12.00,0,0,0,0,0,0,13,58,1,0,1,7,0,0,0,0
18,"Rashard Mendenhall, Pit",NE,12.00,0,0,0,0,0,0,13,70,0,0,3,22,0,0,0,0
