,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Miami Dolphins,@Ten,27.00,6.0,2,0,2,0,1,10,236,63,299
1,Philadelphia Eagles,NYG,22.00,3.0,2,0,1,0,1,7,166,81,247
2,New Orleans Saints,Atl,20.00,5.0,0,0,3,1,1,21,263,150,413
3,Houston Texans,@Jax,19.00,3.0,3,0,0,0,1,20,311,83,394
4,Denver Broncos,@Cle,17.00,4.0,2,0,1,0,1,23,189,109,298
5,Pittsburgh Steelers,Ari,14.00,1.0,2,0,1,0,0,13,414,55,469
6,Washington Redskins,@NYJ,14.00,0.0,1,0,2,1,1,34,253,221,474
7,Cleveland Browns,Den,13.00,0.0,3,0,0,0,1,26,290,152,442
8,Minnesota Vikings,KC,11.00,2.0,0,0,1,0,0,10,271,57,328
9,Indianapolis Colts,NE,10.00,2.0,1,0,0,0,1,34,301,116,417
10,Kansas City Chiefs,@Min,10.00,2.0,2,0,0,0,0,16,237,84,321
11,New York Giants,@Phi,10.00,1.0,3,0,1,0,0,27,270,158,428
12,Green Bay Packers,SD,9.00,3.0,0,0,1,0,0,20,488,60,548
13,New York Jets,Was,9.00,1.0,2,0,0,0,0,20,191,34,225
14,Chicago Bears,@Det,8.00,2.0,1,0,2,0,0,37,391,155,546
15,San Francisco 49ers,Bal,8.00,0.0,2,0,0,0,0,20,343,77,420
16,Seattle Seahawks,Car,8.00,3.0,2,0,0,0,0,27,248,135,383
17,New England Patriots,@Ind,6.00,3.0,0,0,0,1,0,27,289,120,409
18,Tennessee Titans,Mia,6.00,2.0,2,0,0,0,0,38,254,180,434
19,Carolina Panthers,@Sea,5.00,4.0,0,0,0,0,0,23,219,115,334
20,Cincinnati Bengals,@Buf,5.00,2.0,1,0,0,0,0,21,256,112,368
21,Baltimore Ravens,@SF,4.00,3.0,0,0,0,0,0,25,326,65,391
22,San Diego Chargers,@GB,4.00,3.0,0,0,0,0,0,27,237,133,370
23,Detroit Lions,Chi,3.00,1.0,1,0,0,0,0,34,353,91,444
24,Arizona Cardinals,@Pit,2.00,1.0,0,0,0,0,0,25,169,141,310
25,Atlanta Falcons,@NO,1.00,1.0,0,0,0,0,0,31,304,81,385
26,Jacksonville Jaguars,Hou,1.00,1.0,0,0,0,0,0,31,287,95,382
27,Buffalo Bills,Cin,0.00,0.0,0,0,0,0,0,34,243,112,355
