,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Jerrel Jernigan, NYG",Was,32.00,0,0,0,0,0,0,2,57,1,0,6,90,1,0,0,0
1,"Anquan Boldin, SF",@Ari,30.00,0,0,0,0,0,0,1,11,0,0,9,149,1,0,0,0
2,"Demaryius Thomas, Den",@Oak,29.00,0,0,0,0,0,0,0,0,0,0,6,113,2,0,0,0
3,"Golden Tate, Sea",Stl,26.00,0,0,0,0,0,0,1,2,0,0,8,129,1,0,0,0
4,"Jordy Nelson, GB",@Chi,26.00,0,0,0,0,0,0,0,0,0,0,10,161,0,0,0,0
5,"T.Y. Hilton, Ind",Jax,26.00,0,0,0,0,0,0,0,0,0,0,11,155,0,0,0,0
6,"Roddy White, Atl",Car,23.00,0,0,0,0,0,0,0,0,0,0,8,91,1,0,0,0
7,"Dez Bryant, Dal",Phi,23.00,0,0,0,0,0,0,0,0,0,0,8,99,1,0,0,0
8,"Cordarrelle Patterson, Min",Det,22.00,0,0,0,0,0,0,2,54,1,0,2,31,1,0,0,0
9,"Kerry Taylor, Jax",@Ind,21.00,0,0,0,0,0,0,0,0,0,0,8,75,1,0,0,0
10,"Tiquan Underwood, TB",@NO,20.00,0,0,0,0,0,0,0,0,0,0,5,93,1,0,0,0
11,"Brandon Marshall, Chi",GB,19.00,0,0,0,0,0,0,0,0,0,0,6,74,1,0,0,0
12,"Randall Cobb, GB",@Chi,19.00,0,0,0,0,0,0,0,0,0,0,2,55,2,0,0,0
13,"Lance Moore, NO",TB,17.00,0,0,0,0,0,0,0,0,0,0,4,73,1,0,0,0
14,"Marvin Jones, Cin",Bal,17.00,0,0,0,0,0,0,0,0,0,0,5,61,1,0,0,0
15,"Larry Fitzgerald, Ari",SF,17.00,0,0,0,0,0,0,0,0,0,0,6,113,0,0,0,0
16,"Julian Edelman, NE",Buf,17.00,0,0,0,0,0,0,0,0,0,0,9,65,0,1,0,0
17,"Antonio Brown, Pit",Cle,17.00,0,0,0,0,0,0,0,0,0,0,9,87,0,0,0,0
18,"Tim Wright, TB",@NO,16.00,0,0,0,0,0,0,1,2,0,0,5,58,1,0,0,0
19,"Andre Roberts, Ari",SF,16.00,0,0,0,0,0,0,0,0,0,0,3,74,1,0,0,0
20,"A.J. Green, Cin",Bal,16.00,0,0,0,0,0,0,0,0,0,0,4,61,1,0,0,0
21,"Rod Streater, Oak",Den,15.00,0,0,0,0,0,0,0,0,0,0,5,40,1,0,0,0
22,"T.J. Graham, Buf",@NE,15.00,0,0,0,0,0,0,0,0,0,0,3,62,1,0,0,0
23,"Josh Gordon, Cle",@Pit,15.00,0,0,0,0,0,0,0,0,0,0,7,82,0,0,0,0
24,"Michael Floyd, Ari",SF,15.00,0,0,0,0,0,0,0,0,0,0,6,91,0,0,0,0
25,"Kenny Stills, NO",TB,14.00,0,0,0,0,0,0,0,0,0,0,1,76,1,0,0,0
26,"Marlon Brown, Bal",@Cin,14.00,0,0,0,0,0,0,0,0,0,0,5,30,1,0,0,0
27,"Griff Whalen, Ind",Jax,13.00,0,0,0,0,0,0,0,0,0,0,4,32,1,0,0,0
28,"Mike Wallace, Mia",NYJ,13.00,0,0,0,0,0,0,0,0,0,0,5,25,1,0,0,0
29,"Eddie Royal, SD",KC,13.00,0,0,0,0,0,0,2,17,0,0,3,34,1,0,0,0
30,"Keenan Allen, SD",KC,13.00,0,0,0,0,0,0,0,0,0,0,5,89,0,0,0,0
31,"Kevin Ogletree, Det",@Min,12.00,0,0,0,0,0,0,0,0,0,0,5,75,0,0,0,0
32,"Harry Douglas, Atl",Car,12.00,0,0,0,0,0,0,0,0,0,0,7,58,0,0,0,0
33,"Eric Decker, Den",@Oak,12.00,0,0,0,0,0,0,0,0,0,0,4,27,1,0,0,0
34,"Marques Colston, NO",TB,12.00,0,0,0,0,0,0,0,0,0,0,6,67,0,0,0,0
35,"Ace Sanders, Jax",@Ind,11.00,0,0,0,0,0,0,0,0,0,0,6,50,0,0,0,0
36,"David Nelson, NYJ",@Mia,11.00,0,0,0,0,0,0,0,0,0,0,5,66,0,0,0,0
37,"Robert Meachem, NO",TB,11.00,0,0,0,0,0,0,0,0,0,0,1,41,1,0,0,0
38,"Pierre Garcon, Was",@NYG,11.00,0,0,0,0,0,0,0,0,0,0,6,56,0,0,0,0
39,"Jerricho Cotchery, Pit",Cle,11.00,0,0,0,0,0,0,0,0,0,0,3,25,1,0,0,0
40,"Nate Burleson, Det",@Min,11.00,0,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0
41,"Kendall Wright, Ten",Hou,10.00,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
42,"Denarius Moore, Oak",Den,10.00,0,0,0,0,0,0,0,0,0,0,4,63,0,0,0,0
43,"James Jones, GB",@Chi,10.00,0,0,0,0,0,0,0,0,0,0,6,41,0,0,0,0
44,"Andre Johnson, Hou",@Ten,10.00,0,0,0,0,0,0,0,0,0,0,6,49,0,0,0,0
45,"Alshon Jeffery, Chi",GB,10.00,0,0,0,0,0,0,0,0,0,0,3,80,0,0,1,0
46,"Andrew Hawkins, Cin",Bal,10.00,0,0,0,0,0,0,0,0,0,0,3,74,0,0,0,0
