,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Houston Texans,Ten,23.00,7.0,1,0,2,0,0,6,125,86,211
1,New England Patriots,Mia,18.00,5.0,2,1,0,0,0,7,255,15,270
2,Kansas City Chiefs,Det,17.00,6.0,2,0,0,0,0,10,195,81,276
3,Cincinnati Bengals,@Pit,16.00,3.0,3,0,0,0,0,10,240,116,356
4,St. Louis Rams,SF,15.00,3.0,0,1,0,0,0,6,151,38,189
5,Pittsburgh Steelers,Cin,13.00,3.0,2,0,0,1,0,16,218,78,296
6,Tampa Bay Buccaneers,@Atl,13.00,1.0,1,0,3,0,0,20,395,101,496
7,Denver Broncos,GB,12.00,3.0,0,1,0,0,0,10,50,90,140
8,Carolina Panthers,Ind,11.00,2.0,3,0,1,0,0,26,223,136,359
9,Dallas Cowboys,Sea,11.00,0.0,1,0,0,1,0,13,210,113,323
10,Minnesota Vikings,@Chi,11.00,1.0,0,0,0,0,1,20,208,97,305
11,New York Giants,@NO,10.00,0.0,2,0,0,0,1,52,505,103,608
12,Arizona Cardinals,@Cle,9.00,1.0,1,0,1,0,0,20,215,39,254
13,Cleveland Browns,Ari,9.00,1.0,1,0,3,0,0,34,372,119,491
14,Oakland Raiders,NYJ,9.00,3.0,1,0,0,0,0,20,292,74,366
15,Indianapolis Colts,@Car,8.00,2.0,1,0,2,0,0,29,239,140,379
16,Seattle Seahawks,@Dal,8.00,1.0,0,0,0,0,0,12,91,129,220
17,Tennessee Titans,@Hou,7.00,3.0,0,0,0,0,0,20,214,56,270
18,New Orleans Saints,NYG,5.00,3.0,0,0,1,0,0,49,329,87,416
19,San Francisco 49ers,@Stl,5.00,0.0,0,0,1,1,0,27,191,197,388
20,Baltimore Ravens,SD,4.00,1.0,0,0,0,1,0,26,290,81,371
21,Chicago Bears,Min,4.00,1.0,1,0,0,0,0,23,180,147,327
22,Atlanta Falcons,TB,3.00,2.0,0,0,0,0,0,23,173,117,290
23,Detroit Lions,@KC,3.00,3.0,0,0,0,0,0,45,134,206,340
24,San Diego Chargers,@Bal,3.00,3.0,0,0,0,0,0,29,293,72,365
25,Green Bay Packers,@Den,2.00,0.0,1,0,0,0,0,29,340,160,500
26,Miami Dolphins,@NE,2.00,2.0,0,0,0,0,0,36,342,95,437
27,New York Jets,@Oak,0.00,0.0,0,0,0,0,0,34,333,118,451
