,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Kansas City Chiefs,@SD,23.00,3.0,1,0,1,0,1,3,149,52,201
1,Tampa Bay Buccaneers,@Phi,21.00,3.0,3,0,1,0,1,17,247,136,383
2,Carolina Panthers,Was,19.00,5.0,1,0,4,0,0,16,172,14,186
3,Baltimore Ravens,Stl,18.00,1.0,0,0,4,1,0,13,131,82,213
4,Indianapolis Colts,@Atl,16.00,1.0,3,0,1,0,1,21,275,100,375
5,Dallas Cowboys,@Mia,15.00,3.0,1,0,0,0,1,14,140,70,210
6,Green Bay Packers,@Min,15.00,6.0,0,0,1,0,0,13,248,94,342
7,Jacksonville Jaguars,Ten,13.00,4.0,0,0,1,0,0,13,212,104,316
8,Tennessee Titans,@Jax,12.00,4.0,1,0,1,0,0,19,218,90,308
9,Houston Texans,NYJ,11.00,3.0,2,0,0,0,0,17,197,70,267
10,New England Patriots,Buf,11.00,2.0,0,0,1,0,0,13,225,94,319
11,Denver Broncos,@Chi,10.00,2.0,1,0,1,0,0,15,261,86,347
12,Detroit Lions,Oak,10.00,1.0,0,1,0,0,0,13,164,52,216
13,Washington Redskins,@Car,10.00,2.0,0,1,0,0,1,44,226,142,368
14,Atlanta Falcons,Ind,9.00,2.0,2,0,1,0,0,24,202,74,276
15,Chicago Bears,Den,9.00,5.0,0,0,0,0,0,17,219,170,389
16,Seattle Seahawks,SF,9.00,2.0,0,0,0,0,0,13,247,59,306
17,St. Louis Rams,@Bal,9.00,1.0,2,0,0,0,0,16,292,96,388
18,Oakland Raiders,@Det,8.00,4.0,0,0,0,0,0,18,266,109,375
19,Buffalo Bills,@NE,7.00,1.0,1,0,0,0,0,20,271,85,356
20,Miami Dolphins,Dal,7.00,2.0,2,0,0,0,0,24,220,166,386
21,Arizona Cardinals,Cin,6.00,4.0,0,0,1,0,0,31,278,99,377
22,Cincinnati Bengals,@Ari,6.00,2.0,2,0,0,0,0,34,301,82,383
23,New York Jets,@Hou,4.00,1.0,0,0,1,0,0,24,241,123,364
24,San Francisco 49ers,@Sea,4.00,2.0,0,0,0,1,0,29,253,255,508
25,Philadelphia Eagles,TB,3.00,1.0,0,0,1,0,0,45,238,283,521
26,San Diego Chargers,KC,3.00,3.0,0,0,0,0,0,33,232,153,385
27,Minnesota Vikings,GB,2.00,2.0,0,0,0,0,0,30,196,124,320
