,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"DeMarco Murray, Ten",@Hou,25.00,0,0,0,0,0,0,25,95,2,0,2,24,0,0,0,0
1,"Melvin Gordon, SD",NO,24.00,0,0,0,0,0,0,19,36,2,0,6,43,0,0,1,0
2,"Isaiah Crowell, Cle",@Was,23.00,0,0,0,0,0,0,16,120,1,0,3,22,0,0,0,0
3,"LeSean McCoy, Buf",@NE,22.00,0,0,0,0,0,0,19,70,0,0,6,38,1,0,0,0
4,"Le'Veon Bell, Pit",KC,22.00,0,0,0,0,0,0,18,144,0,0,5,34,0,0,0,0
5,"Matt Jones, Was",Cle,21.00,0,0,0,0,0,0,22,117,1,0,2,21,0,0,0,0
6,"Mark Ingram, NO",@SD,21.00,0,0,0,0,0,0,18,56,1,0,6,49,0,0,0,0
7,"Ezekiel Elliott, Dal",@SF,21.00,0,0,0,0,0,0,23,138,1,0,1,19,0,0,0,0
8,"John Kuhn, NO",@SD,20.00,0,0,0,0,0,0,3,5,2,0,2,7,1,0,0,0
9,"Christine Michael, Sea",@NYJ,19.00,0,0,0,0,0,0,18,58,0,0,5,32,1,0,0,0
10,"Frank Gore, Ind",@Jax,19.00,0,0,0,0,0,0,16,68,1,0,5,27,0,0,0,0
11,"Jerick McKinnon, Min",NYG,18.00,0,0,0,0,0,0,18,85,1,0,3,10,0,0,0,0
12,"Fozzy Whittaker, Car",@Atl,17.00,0,0,0,0,0,0,3,6,0,0,9,86,0,0,0,0
13,"Terrance West, Bal",Oak,17.00,0,0,0,0,0,0,21,113,1,0,0,0,0,0,0,0
14,"Jordan Howard, Chi",Det,16.00,0,0,0,0,0,0,23,111,0,0,3,21,0,0,0,0
15,"T.J. Yeldon, Jax",Ind,15.00,0,0,0,0,0,0,14,71,0,0,4,46,0,0,0,0
16,"David Johnson, Ari",LA,15.00,0,0,0,0,0,0,17,83,0,0,4,41,0,0,1,0
17,"Carlos Hyde, SF",Dal,14.00,0,0,0,0,0,0,15,74,1,0,1,5,0,0,0,0
18,"Bobby Rainey, NYG",@Min,13.00,0,0,0,0,0,0,4,22,0,0,7,43,0,0,0,0
19,"Bilal Powell, NYJ",Sea,13.00,0,0,0,0,0,0,4,26,0,0,6,54,0,0,0,0
20,"Lamar Miller, Hou",Ten,13.00,0,0,0,0,0,0,19,82,0,0,3,26,0,0,0,0
21,"Devonta Freeman, Atl",Car,13.00,0,0,0,0,0,0,13,57,1,0,2,7,0,0,0,0
22,"Duke Johnson, Cle",@Was,12.00,0,0,0,0,0,0,8,45,0,0,6,31,0,0,1,0
23,"Todd Gurley, LA",@Ari,12.00,0,0,0,0,0,0,19,33,0,0,5,49,0,0,0,0
24,"James White, NE",Buf,11.00,0,0,0,0,0,0,4,12,0,0,5,50,0,0,0,0
25,"Chris Thompson, Was",Cle,11.00,0,0,0,0,0,0,3,24,0,0,2,16,1,0,0,0
26,"Kyle Juszczyk, Bal",Oak,11.00,0,0,0,0,0,0,0,0,0,0,6,56,0,0,0,0
27,"C.J. Anderson, Den",@TB,11.00,0,0,0,0,0,0,19,49,1,0,1,3,0,0,0,0
28,"Josh Ferguson, Ind",@Jax,10.00,0,0,0,0,0,0,3,-2,0,0,7,33,0,0,0,0
29,"Orleans Darkwa, NYG",@Min,10.00,0,0,0,0,0,0,12,48,1,0,0,0,0,0,0,0
30,"Spencer Ware, KC",@Pit,9.00,0,0,0,0,0,0,13,82,0,0,1,14,0,0,1,0
31,"C.J. Spiller, Sea",@NYJ,9.00,0,0,0,0,0,0,2,12,0,0,2,5,1,0,0,0
32,"Theo Riddick, Det",@Chi,9.00,0,0,0,0,0,0,11,31,0,0,4,27,0,0,0,0
33,"Paul Perkins, NYG",@Min,9.00,0,0,0,0,0,0,2,8,0,0,2,72,0,0,0,0
34,"Matt Asiata, Min",NYG,9.00,0,0,0,0,0,0,6,6,1,0,2,12,0,0,0,0
35,"LeGarrette Blount, NE",Buf,8.00,0,0,0,0,0,0,13,54,0,0,3,4,0,0,0,0
36,"DeAngelo Williams, Pit",KC,7.00,0,0,0,0,0,0,4,7,1,0,1,2,0,0,0,0
37,"Jeremy Hill, Cin",Mia,7.00,0,0,0,0,0,0,21,71,0,0,0,0,0,0,0,0
38,"DeAndre Washington, Oak",@Bal,6.00,0,0,0,0,0,0,5,30,0,0,3,16,0,0,1,0
