,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Russell Wilson, Sea",@Buf,41.00,23,14,205,1,0,0,9,92,3,0,0,0,0,0,0,0
1,"Drew Brees, NO",TB,37.00,39,26,307,4,0,0,1,11,0,0,0,0,0,0,0,0
2,"Sam Bradford, Stl",Min,33.00,55,35,377,3,1,1,2,9,0,0,0,0,0,0,0,0
3,"Colin Kaepernick, SF",@NE,32.00,25,14,221,4,1,0,7,28,0,0,0,0,0,0,0,0
4,"Aaron Rodgers, GB",@Chi,31.00,36,23,291,3,0,0,4,14,0,0,1,-1,0,0,0,0
5,"Matt Ryan, Atl",NYG,28.00,28,23,270,3,0,0,1,-1,0,0,0,0,0,0,0,0
6,"Ryan Tannehill, Mia",Jax,26.00,28,22,220,2,0,1,8,52,0,0,0,0,0,0,1,0
7,"Tom Brady, NE",SF,26.00,65,36,443,1,2,0,3,11,1,0,0,0,0,0,0,0
8,"Tony Romo, Dal",Pit,25.00,42,30,341,2,0,0,4,-4,0,0,0,0,0,0,0,0
9,"Kirk Cousins, Was",@Cle,25.00,37,26,329,2,1,0,3,22,0,0,0,0,0,0,0,0
10,"Ben Roethlisberger, Pit",@Dal,23.00,40,24,339,2,1,0,2,2,0,0,0,0,0,0,0,0
11,"Cam Newton, Car",@SD,21.00,33,19,231,2,0,0,4,7,0,0,0,0,0,0,0,0
12,"Andrew Luck, Ind",@Hou,20.00,27,13,186,2,0,0,2,10,0,0,0,0,0,0,0,0
13,"Joe Flacco, Bal",Den,19.00,40,20,254,2,1,0,2,-2,0,0,0,0,0,0,1,0
14,"Matt Schaub, Hou",Ind,16.00,31,23,261,1,0,0,0,0,0,0,0,0,0,0,0,0
15,"Andy Dalton, Cin",@Phi,16.00,27,13,127,1,0,0,8,18,1,0,0,0,0,0,2,0
16,"Jake Locker, Ten",NYJ,15.00,22,13,149,0,0,0,7,43,1,0,0,0,0,0,0,0
17,"Peyton Manning, Den",@Bal,14.00,28,17,204,1,0,0,0,0,0,0,0,0,0,0,0,0
18,"Brandon Weeden, Cle",Was,11.00,35,21,244,1,2,0,1,9,0,0,0,0,0,0,0,0
19,"Christian Ponder, Min",@Stl,11.00,24,17,131,0,0,0,4,6,1,0,0,0,0,0,0,0
20,"Nick Foles, Phi",Cin,10.00,33,16,180,1,1,0,2,5,0,0,0,0,0,0,1,0
21,"Chad Henne, Jax",@Mia,9.00,34,18,221,0,0,0,3,16,0,0,0,0,0,0,0,0
22,"Ryan Fitzpatrick, Buf",Sea,9.00,38,21,217,1,2,0,3,8,0,0,0,0,0,0,1,0
23,"Jay Cutler, Chi",GB,9.00,21,12,135,1,1,0,1,9,0,0,0,0,0,0,0,0
24,"Philip Rivers, SD",Car,8.00,23,16,121,1,0,0,3,4,0,0,0,0,0,0,2,0
25,"Carson Palmer, Oak",KC,7.00,29,18,182,0,0,0,2,4,0,0,0,0,0,0,0,0
26,"Matthew Stafford, Det",@Ari,3.00,50,24,246,0,3,0,0,0,0,0,0,0,0,0,0,0
27,"Brady Quinn, KC",@Oak,3.00,32,18,136,0,1,0,0,0,0,0,0,0,0,0,0,0
28,"Mark Sanchez, NYJ",@Ten,2.00,28,13,131,1,4,0,4,6,0,0,0,0,0,0,1,0
29,"Dan Orlovsky, TB",@NO,2.00,7,4,51,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Eli Manning, NYG",@Atl,2.00,25,13,161,0,2,0,0,0,0,0,0,0,0,0,0,0
31,"Ryan Lindley, Ari",Det,2.00,21,14,104,0,1,0,2,8,0,0,0,0,0,0,0,0
32,"Josh Freeman, TB",@NO,2.00,47,26,279,0,4,0,2,8,0,0,0,0,0,0,1,0
33,"Tyler Thigpen, Buf",Sea,1.00,5,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"Tim Tebow, NYJ",@Ten,1.00,1,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0
35,"Terrelle Pryor, Oak",KC,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Brock Osweiler, Den",@Bal,0.00,0,0,0,0,0,0,2,-4,0,0,0,0,0,0,0,0
37,"Luke McCown, Atl",NYG,0.00,0,0,0,0,0,0,2,-3,0,0,0,0,0,0,0,0
