,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,St. Louis Rams,@Ind,32.00,3.0,4,0,1,0,2,8,388,18,406
1,New York Giants,Oak,20.00,4.0,1,0,1,1,1,20,106,107,213
2,Jacksonville Jaguars,@Ten,18.00,1.0,1,1,3,0,1,27,279,83,362
3,Carolina Panthers,@SF,17.00,6.0,1,0,1,0,0,9,46,105,151
4,Oakland Raiders,@NYG,16.00,3.0,1,0,2,0,1,24,118,133,251
5,Baltimore Ravens,Cin,15.00,5.0,3,0,0,0,0,17,244,120,364
6,Cincinnati Bengals,@Bal,15.00,5.0,2,0,1,0,0,20,104,85,189
7,Arizona Cardinals,Hou,14.00,3.0,0,0,1,1,1,24,159,76,235
8,San Francisco 49ers,Car,14.00,3.0,1,0,1,0,0,10,141,109,250
9,Philadelphia Eagles,@GB,12.00,1.0,2,0,0,0,0,13,297,99,396
10,Pittsburgh Steelers,Buf,12.00,3.0,1,0,0,0,0,10,132,95,227
11,Seattle Seahawks,@Atl,11.00,2.0,0,0,1,0,0,10,162,64,226
12,Tampa Bay Buccaneers,Mia,10.00,2.0,1,1,0,0,0,19,211,2,213
13,Denver Broncos,@SD,8.00,4.0,0,0,0,0,0,20,198,131,329
14,Detroit Lions,@Chi,8.00,2.0,1,0,0,0,0,19,300,38,338
15,Houston Texans,@Ari,8.00,1.0,1,0,2,0,0,27,235,97,332
16,Buffalo Bills,@Pit,7.00,4.0,1,0,0,0,0,23,164,136,300
17,New Orleans Saints,Dal,7.00,3.0,0,0,0,0,0,17,104,89,193
18,Tennessee Titans,Jax,7.00,3.0,2,0,0,0,0,29,160,54,214
19,Green Bay Packers,Phi,6.00,3.0,0,0,1,0,0,27,211,204,415
20,Miami Dolphins,@TB,5.00,2.0,1,0,0,0,0,22,124,140,264
21,Minnesota Vikings,Was,5.00,4.0,0,0,0,0,0,27,242,191,433
22,Indianapolis Colts,Stl,4.00,2.0,0,0,1,0,0,38,232,140,372
23,San Diego Chargers,Den,4.00,2.0,0,0,1,0,0,28,313,84,397
24,Chicago Bears,Det,3.00,0.0,1,0,0,0,0,21,219,145,364
25,Dallas Cowboys,@NO,3.00,1.0,0,0,1,0,0,49,383,242,625
26,Washington Redskins,@Min,3.00,1.0,1,0,0,0,0,34,216,91,307
27,Atlanta Falcons,Sea,1.00,1.0,0,0,0,0,0,33,279,211,490
