,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Seattle Seahawks,SF,22.00,2.0,2,0,0,0,1,6,214,49,263
1,Arizona Cardinals,@Stl,19.00,2.0,3,0,1,1,0,13,240,85,325
2,New England Patriots,Cin,18.00,1.0,1,0,1,0,2,24,341,87,428
3,New York Giants,Car,18.00,4.0,3,0,2,0,0,18,148,89,237
4,Detroit Lions,@Chi,16.00,4.0,1,0,3,0,0,19,362,101,463
5,Washington Redskins,Dal,16.00,1.0,0,0,1,0,1,7,277,103,380
6,New York Jets,Bal,15.00,2.0,1,0,2,0,0,10,233,49,282
7,Tennessee Titans,Oak,15.00,4.0,1,0,1,0,0,13,150,136,286
8,Kansas City Chiefs,SD,14.00,2.0,0,0,1,0,1,14,280,109,389
9,St. Louis Rams,Ari,14.00,2.0,0,0,4,0,0,17,266,112,378
10,Carolina Panthers,@NYG,13.00,1.0,3,1,1,1,0,31,258,118,376
11,Chicago Bears,Det,12.00,2.0,1,0,2,0,0,14,148,20,168
12,Green Bay Packers,@Phi,12.00,6.0,0,0,1,0,0,20,171,149,320
13,Miami Dolphins,@Buf,12.00,3.0,0,1,0,0,0,10,116,50,166
14,New Orleans Saints,Min,12.00,1.0,1,0,0,1,0,9,162,91,253
15,Baltimore Ravens,@NYJ,11.00,2.0,0,0,1,0,0,9,60,116,176
16,Cleveland Browns,@TB,11.00,3.0,1,0,1,0,0,17,169,119,288
17,Jacksonville Jaguars,Den,11.00,3.0,1,0,1,0,0,17,274,89,363
18,Pittsburgh Steelers,Atl,11.00,2.0,1,0,0,0,0,9,237,58,295
19,Tampa Bay Buccaneers,Cle,10.00,0.0,2,0,1,0,0,14,236,104,340
20,Atlanta Falcons,@Pit,9.00,3.0,1,0,0,0,0,15,211,143,354
21,Dallas Cowboys,@Was,8.00,1.0,0,0,0,0,0,13,161,89,250
22,Philadelphia Eagles,GB,8.00,3.0,2,0,0,0,0,27,167,132,299
23,Buffalo Bills,Mia,7.00,3.0,0,0,0,0,0,15,164,132,296
24,Houston Texans,Ind,5.00,2.0,0,0,1,0,0,24,419,44,463
25,Minnesota Vikings,@NO,5.00,1.0,0,0,0,0,0,14,229,79,308
26,Indianapolis Colts,@Hou,4.00,2.0,1,0,0,0,0,34,98,257,355
27,Oakland Raiders,@Ten,4.00,2.0,0,0,1,0,0,38,140,205,345
28,San Francisco 49ers,@Sea,3.00,1.0,1,0,0,0,0,31,165,77,242
29,Denver Broncos,@Jax,2.00,1.0,0,0,0,0,0,24,165,134,299
30,San Diego Chargers,@KC,2.00,1.0,0,0,0,0,0,21,62,135,197
31,Cincinnati Bengals,@NE,0.00,0.0,0,0,0,0,0,38,258,118,376
