,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Cleveland Browns,Ten,23.00,7.0,0,0,3,0,1,14,219,166,385
1,Dallas Cowboys,@Phi,22.00,1.0,2,0,1,1,1,10,219,7,226
2,Denver Broncos,@KC,22.00,5.0,2,0,3,0,1,24,167,147,314
3,Arizona Cardinals,@Chi,19.00,2.0,2,0,0,0,2,23,226,109,335
4,New York Jets,@Ind,17.00,0.0,3,0,2,0,0,7,250,93,343
5,Tampa Bay Buccaneers,@NO,16.00,4.0,1,0,2,1,0,19,219,104,323
6,Cincinnati Bengals,SD,14.00,4.0,1,0,2,0,0,19,223,131,354
7,New England Patriots,@Buf,14.00,8.0,3,0,0,0,0,32,189,160,349
8,Kansas City Chiefs,Den,11.00,3.0,1,0,0,0,1,31,238,61,299
9,Minnesota Vikings,Det,11.00,1.0,1,0,2,0,0,16,285,38,323
10,Philadelphia Eagles,Dal,11.00,3.0,0,0,2,0,0,20,250,109,359
11,Pittsburgh Steelers,SF,11.00,5.0,0,0,1,0,0,18,298,111,409
12,Green Bay Packers,Sea,10.00,2.0,1,0,1,0,0,17,205,119,324
13,Atlanta Falcons,@NYG,8.00,2.0,0,0,1,0,0,20,291,97,388
14,New Orleans Saints,TB,8.00,3.0,0,0,2,0,0,26,194,139,333
15,Washington Redskins,Stl,8.00,1.0,0,0,0,0,0,10,146,67,213
16,Carolina Panthers,Hou,7.00,1.0,1,0,0,0,0,17,239,61,300
17,Houston Texans,@Car,7.00,2.0,1,0,0,1,0,24,178,172,350
18,Indianapolis Colts,NYJ,7.00,1.0,1,0,0,0,0,20,243,101,344
19,Buffalo Bills,NE,6.00,2.0,0,0,2,0,0,40,451,56,507
20,Jacksonville Jaguars,Mia,6.00,2.0,0,0,0,0,0,20,344,42,386
21,San Diego Chargers,@Cin,5.00,0.0,0,0,2,0,0,24,214,175,389
22,Seattle Seahawks,@GB,5.00,2.0,0,0,1,0,0,27,234,127,361
23,St. Louis Rams,@Was,5.00,2.0,0,0,1,0,0,24,191,182,373
24,Chicago Bears,Ari,4.00,0.0,1,0,1,0,0,48,185,115,300
25,Detroit Lions,@Min,4.00,1.0,0,0,1,0,0,26,151,199,350
26,Oakland Raiders,Bal,4.00,0.0,1,0,1,0,0,33,384,109,493
27,Baltimore Ravens,@Oak,3.00,1.0,1,0,0,0,0,37,351,97,448
28,New York Giants,Atl,3.00,2.0,0,0,0,0,0,24,346,56,402
29,Tennessee Titans,@Cle,2.00,2.0,0,0,0,0,0,28,158,116,274
30,Miami Dolphins,@Jax,1.00,0.0,0,0,0,0,0,23,273,123,396
31,San Francisco 49ers,@Pit,0.00,0.0,0,0,0,0,0,43,369,84,453
