,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Rob Gronkowski, NE",Ind,32.00,0,0,0,0,0,0,0,0,0,0,7,137,2,0,0,0
1,"Garrett Graham, Hou",Jax,28.00,0,0,0,0,0,0,0,0,0,0,8,82,2,0,0,0
2,"Benjamin Watson, Cle",@Dal,20.00,0,0,0,0,0,0,0,0,0,0,4,47,2,0,0,0
3,"Vernon Davis, SF",Chi,20.00,0,0,0,0,0,0,0,0,0,0,6,83,1,0,0,0
4,"Marcedes Lewis, Jax",@Hou,19.00,0,0,0,0,0,0,0,0,0,0,3,40,2,0,0,0
5,"Dallas Clark, TB",@Car,18.00,0,0,0,0,0,0,0,0,0,0,7,58,1,0,0,0
6,"Brandon Myers, Oak",NO,17.00,0,0,0,0,0,0,0,0,0,0,6,55,1,0,0,0
7,"Jermichael Finley, GB",@Det,15.00,0,0,0,0,0,0,0,0,0,0,3,66,1,0,0,0
8,"Jimmy Graham, NO",@Oak,14.00,0,0,0,0,0,0,0,0,0,0,6,29,1,0,0,0
9,"Jason Witten, Dal",Cle,12.00,0,0,0,0,0,0,0,0,0,0,7,51,0,0,0,0
10,"Jermaine Gresham, Cin",@KC,12.00,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,0
11,"Dwayne Allen, Ind",@NE,12.00,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,0
12,"Tony Moeaki, KC",Cin,11.00,0,0,0,0,0,0,0,0,0,0,4,73,0,0,0,0
13,"Owen Daniels, Hou",Jax,11.00,0,0,0,0,0,0,0,0,0,0,6,57,0,0,0,0
14,"James Casey, Hou",Jax,11.00,0,0,0,0,0,0,0,0,0,0,3,20,1,0,0,0
15,"Jacob Tamme, Den",SD,9.00,0,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0
16,"Brent Celek, Phi",@Was,9.00,0,0,0,0,0,0,0,0,0,0,5,42,0,0,0,0
17,"Logan Paulsen, Was",Phi,8.00,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0
18,"Nate Byham, TB",@Car,7.00,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
19,"Brandon Pettigrew, Det",GB,6.00,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0
20,"Greg Olsen, Car",TB,6.00,0,0,0,0,0,0,0,0,0,0,2,42,0,0,0,0
21,"Tony Gonzalez, Atl",Ari,6.00,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
22,"Joel Dreessen, Den",SD,6.00,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0
23,"Ladarius Green, SD",@Den,5.00,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
24,"Scott Chandler, Buf",Mia,5.00,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
25,"Tony Scheffler, Det",GB,4.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
26,"Heath Miller, Pit",Bal,4.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
27,"Kellen Davis, Chi",@SF,4.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
28,"Jed Collins, NO",@Oak,4.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
29,"Lance Kendricks, Stl",NYJ,3.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
30,"Dustin Keller, NYJ",@Stl,3.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
31,"Antonio Gates, SD",@Den,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
32,"Konrad Reuland, NYJ",@Stl,2.00,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
33,"Will Heller, Det",GB,2.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
34,"Ed Dickson, Bal",@Pit,2.00,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
35,"Delanie Walker, SF",Chi,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
36,"Alex Smith, Cle",@Dal,1.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
37,"Dennis Pitta, Bal",@Pit,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
38,"David Paulson, Pit",Bal,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
39,"Mike McNeill, Stl",NYJ,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
40,"Clay Harbor, Phi",@Was,1.00,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
41,"Anthony Fasano, Mia",@Buf,1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
42,"Dorin Dickerson, Buf",Mia,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
