,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Detroit Lions,Stl,29.00,1.0,2,0,1,0,2,6,213,128,341
1,Oakland Raiders,SD,28.00,3.0,0,1,3,2,2,27,415,91,506
2,Arizona Cardinals,NO,25.00,1.0,3,0,1,0,2,20,273,85,358
3,Atlanta Falcons,@Cle,22.00,3.0,2,0,1,0,1,10,221,48,269
4,Chicago Bears,@Car,21.00,5.0,3,0,0,0,0,6,62,85,147
5,New York Jets,Min,20.00,4.0,1,0,2,0,1,20,240,96,336
6,Philadelphia Eagles,@SF,19.00,2.0,2,0,3,0,1,24,290,74,364
7,Tampa Bay Buccaneers,@Cin,15.00,0.0,3,0,1,0,1,21,209,149,358
8,Washington Redskins,GB,15.00,4.0,1,0,1,0,0,13,270,157,427
9,New York Giants,@Hou,14.00,3.0,1,0,1,0,0,10,171,24,195
10,Tennessee Titans,@Dal,13.00,6.0,3,0,0,0,0,27,370,141,511
11,Carolina Panthers,Chi,12.00,3.0,4,0,0,0,0,23,29,218,247
12,Green Bay Packers,@Was,11.00,5.0,1,0,0,0,0,16,322,51,373
13,Cincinnati Bengals,TB,10.00,3.0,1,0,2,0,0,24,266,125,391
14,Cleveland Browns,Atl,10.00,2.0,0,0,1,1,0,20,173,165,338
15,Indianapolis Colts,KC,10.00,1.0,0,0,1,0,0,9,148,113,261
16,Buffalo Bills,Jax,8.00,2.0,1,0,2,0,0,36,165,216,381
17,Baltimore Ravens,Den,7.00,1.0,0,0,1,0,0,17,307,39,346
18,Kansas City Chiefs,@Ind,7.00,1.0,1,0,0,0,0,19,244,97,341
19,San Francisco 49ers,Phi,7.00,4.0,0,0,1,0,0,27,227,125,352
20,New Orleans Saints,@Ari,6.00,4.0,1,0,0,0,0,30,153,41,194
21,Houston Texans,NYG,4.00,0.0,2,0,0,0,0,34,297,117,414
22,Jacksonville Jaguars,@Buf,4.00,3.0,0,0,0,0,0,26,196,110,306
23,Dallas Cowboys,Ten,3.00,3.0,0,0,0,0,0,34,163,158,321
24,San Diego Chargers,@Oak,3.00,3.0,0,0,0,0,0,35,168,111,279
25,Minnesota Vikings,@NYJ,2.00,2.0,0,0,0,0,0,29,173,155,328
26,Denver Broncos,@Bal,1.00,1.0,0,0,0,0,0,31,182,233,415
27,St. Louis Rams,@Det,1.00,1.0,0,0,0,0,0,44,233,89,322
