,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Rob Gronkowski, NE",NYG,24.00,0,0,0,0,0,0,0,0,0,0,8,101,1,0,0,0
1,"Antonio Gates, SD",GB,23.00,0,0,0,0,0,0,0,0,0,0,8,96,1,0,0,0
2,"Jason Witten, Dal",Sea,17.00,0,0,0,0,0,0,0,0,0,0,4,71,1,0,0,0
3,"Anthony Fasano, Mia",@KC,17.00,0,0,0,0,0,0,0,0,0,0,2,38,2,0,0,0
4,"Jake Ballard, NYG",@NE,16.00,0,0,0,0,0,0,0,0,0,0,4,67,1,0,0,0
5,"Jermichael Finley, GB",@SD,15.00,0,0,0,0,0,0,0,0,0,0,5,44,1,0,0,0
6,"Aaron Hernandez, NE",NYG,13.00,0,0,0,0,0,0,0,0,0,0,4,35,1,0,0,0
7,"Jimmy Graham, NO",TB,13.00,0,0,0,0,0,0,0,0,0,0,6,78,0,0,0,0
8,"Tony Gonzalez, Atl",@Ind,13.00,0,0,0,0,0,0,0,0,0,0,4,36,1,0,0,0
9,"Brent Celek, Phi",Chi,13.00,0,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0
10,"Kellen Winslow, TB",@NO,12.00,0,0,0,0,0,0,0,0,0,0,4,29,1,0,0,0
11,"Heath Miller, Pit",Bal,12.00,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0
12,"Dustin Keller, NYJ",@Buf,10.00,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0
13,"Matt Spaeth, Chi",@Phi,9.00,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0
14,"Dennis Pitta, Bal",@Pit,9.00,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0
15,"Fred Davis, Was",SF,8.00,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
16,"Colin Cochart, Cin",@Ten,8.00,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0
17,"Charles Clay, Mia",@KC,8.00,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0
18,"Donald Lee, Cin",@Ten,7.00,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0
19,"Vernon Davis, SF",@Was,7.00,0,0,0,0,0,0,0,0,0,0,4,41,0,0,1,0
20,"Jared Cook, Ten",Cin,7.00,0,0,0,0,0,0,0,0,0,0,4,47,0,0,1,0
21,"Anthony McCoy, Sea",@Dal,6.00,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
22,"Owen Daniels, Hou",Cle,6.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
23,"Scott Chandler, Buf",NYJ,5.00,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0
24,"Benjamin Watson, Cle",@Hou,4.00,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0
25,"Zack Pianalto, TB",@NO,4.00,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
26,"Joel Dreessen, Hou",Cle,4.00,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
27,"Jim Dray, Ari",Stl,4.00,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
28,"Dallas Clark, Ind",Atl,4.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
29,"Delanie Walker, SF",@Was,3.00,0,0,0,0,0,0,1,-3,0,0,2,15,0,0,0,0
30,"Craig Stevens, Ten",Cin,3.00,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0
31,"Evan Moore, Cle",@Hou,3.00,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
32,"David Johnson, Pit",Bal,3.00,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0
33,"Jacob Tamme, Ind",Atl,2.00,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0
34,"Dante Rosario, Den",@Oak,2.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
35,"Brandon Myers, Oak",Den,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
36,"Ed Dickson, Bal",@Pit,2.00,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
37,"David Thomas, NO",TB,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
38,"Leonard Pope, KC",Mia,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
39,"Bear Pascoe, NYG",@NE,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
