,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Tennessee Titans,@Jax,20.00,2.0,3,0,1,0,0,3,173,76,249
1,Pittsburgh Steelers,Cle,19.00,6.0,2,0,1,0,0,10,258,69,327
2,St. Louis Rams,SD,15.00,7.0,1,0,0,1,0,17,208,79,287
3,New Orleans Saints,@TB,13.00,1.0,0,0,1,0,0,6,235,42,277
4,San Francisco 49ers,Oak,13.00,2.0,2,0,0,0,0,9,69,110,179
5,New York Giants,Det,12.00,2.0,1,0,2,0,0,20,302,64,366
6,Seattle Seahawks,@Chi,12.00,6.0,0,1,0,0,0,20,246,61,307
7,Miami Dolphins,@GB,11.00,5.0,1,0,0,0,0,20,283,76,359
8,Minnesota Vikings,Dal,11.00,0.0,2,0,0,0,1,21,220,94,314
9,Philadelphia Eagles,Atl,11.00,3.0,1,0,1,0,0,17,228,65,293
10,Washington Redskins,Ind,10.00,1.0,0,0,3,1,0,27,299,170,469
11,Denver Broncos,NYJ,9.00,2.0,2,0,1,0,0,24,190,129,319
12,New York Jets,@Den,9.00,1.0,0,0,2,0,0,20,201,145,346
13,Baltimore Ravens,@NE,8.00,3.0,2,0,0,0,0,23,267,127,394
14,Indianapolis Colts,@Was,8.00,3.0,2,0,0,0,0,24,222,113,335
15,Chicago Bears,Sea,7.00,0.0,0,0,0,0,1,23,242,111,353
16,New England Patriots,Bal,7.00,3.0,0,0,0,0,0,20,278,99,377
17,San Diego Chargers,@Stl,7.00,3.0,0,0,0,0,0,20,183,117,300
18,Dallas Cowboys,@Min,6.00,3.0,0,0,1,0,0,24,93,95,188
19,Oakland Raiders,@SF,6.00,2.0,0,0,0,0,0,17,191,158,349
20,Detroit Lions,@NYG,4.00,2.0,0,0,1,0,0,28,167,167,334
21,Atlanta Falcons,@Phi,3.00,1.0,1,0,0,0,0,31,320,154,474
22,Green Bay Packers,Mia,3.00,0.0,1,0,0,0,0,23,231,150,381
23,Cleveland Browns,@Pit,2.00,0.0,1,0,0,0,0,28,257,121,378
24,Kansas City Chiefs,@Hou,2.00,2.0,0,0,0,0,0,35,289,132,421
25,Tampa Bay Buccaneers,NO,2.00,0.0,1,0,0,0,0,31,263,212,475
26,Houston Texans,KC,1.00,1.0,0,0,0,0,0,31,189,228,417
27,Jacksonville Jaguars,Ten,0.00,0.0,0,0,0,0,0,30,171,153,324
