,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,New England Patriots,@Bal,31.00,4.0,3,0,1,0,2,7,237,121,358
1,Philadelphia Eagles,Chi,24.00,5.0,1,1,1,0,1,11,196,61,257
2,Cincinnati Bengals,Min,22.00,4.0,3,0,1,0,1,14,94,115,209
3,Buffalo Bills,Mia,21.00,7.0,2,0,0,0,0,0,89,14,103
4,Indianapolis Colts,@KC,20.00,5.0,1,0,3,0,0,7,132,155,287
5,New York Giants,@Det,18.00,2.0,2,0,1,0,1,20,207,148,355
6,St. Louis Rams,TB,18.00,7.0,0,0,2,0,0,13,111,59,170
7,Carolina Panthers,NO,17.00,6.0,2,0,0,0,0,13,239,126,365
8,Arizona Cardinals,@Sea,15.00,4.0,1,0,1,0,0,10,89,103,192
9,Denver Broncos,@Hou,14.00,3.0,2,0,0,0,0,13,153,87,240
10,New York Jets,Cle,14.00,3.0,2,0,0,0,0,13,168,115,283
11,Seattle Seahawks,Ari,14.00,2.0,4,0,0,0,0,17,168,139,307
12,Pittsburgh Steelers,@GB,13.00,3.0,1,0,1,0,1,31,219,151,370
13,San Diego Chargers,Oak,12.00,1.0,1,0,1,0,0,13,206,59,265
14,San Francisco 49ers,Atl,12.00,1.0,2,0,0,0,1,24,341,61,402
15,New Orleans Saints,@Car,10.00,4.0,1,0,0,0,0,17,141,81,222
16,Tennessee Titans,@Jax,10.00,2.0,1,0,0,1,0,16,226,63,289
17,Detroit Lions,NYG,9.00,2.0,1,1,1,0,0,23,238,41,279
18,Jacksonville Jaguars,Ten,9.00,3.0,1,0,0,0,0,20,164,182,346
19,Oakland Raiders,@SD,8.00,1.0,1,0,2,0,0,26,196,148,344
20,Miami Dolphins,@Buf,7.00,1.0,1,0,0,0,0,19,187,203,390
21,Washington Redskins,Dal,7.00,2.0,1,0,1,0,0,24,214,95,309
22,Tampa Bay Buccaneers,@Stl,6.00,1.0,0,0,2,0,0,23,148,129,277
23,Green Bay Packers,Pit,5.00,1.0,1,0,1,0,0,38,192,151,343
24,Chicago Bears,@Phi,4.00,2.0,0,0,1,0,0,54,225,289,514
25,Minnesota Vikings,@Cin,4.00,2.0,0,0,1,0,0,42,345,81,426
26,Atlanta Falcons,@SF,3.00,3.0,0,0,0,0,0,34,180,199,379
27,Dallas Cowboys,@Was,3.00,0.0,1,0,0,0,0,23,197,100,297
28,Baltimore Ravens,NE,2.00,2.0,0,0,0,0,0,41,158,142,300
29,Kansas City Chiefs,Ind,2.00,1.0,0,0,0,0,0,23,232,135,367
30,Cleveland Browns,@NYJ,1.00,0.0,0,0,0,0,0,24,214,208,422
31,Houston Texans,Den,1.00,1.0,0,0,0,0,0,37,397,114,511
