,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Buffalo Bills,NYJ,27.00,7.0,1,0,0,1,1,3,126,92,218
1,Chicago Bears,TB,20.00,5.0,2,0,2,0,0,13,301,66,367
2,Indianapolis Colts,Jax,18.00,4.0,1,0,1,0,0,3,114,80,194
3,Philadelphia Eagles,Ten,18.00,5.0,1,0,2,0,1,24,299,52,351
4,Seattle Seahawks,Ari,17.00,3.0,1,0,0,1,0,3,140,64,204
5,San Diego Chargers,Stl,16.00,1.0,2,0,1,1,1,24,210,107,317
6,St. Louis Rams,@SD,16.00,3.0,1,0,2,0,1,27,282,128,410
7,San Francisco 49ers,Was,14.00,5.0,0,0,1,0,0,13,77,136,213
8,Arizona Cardinals,@Sea,13.00,7.0,0,0,0,1,0,19,169,124,293
9,Baltimore Ravens,@NO,13.00,4.0,1,0,0,0,1,27,399,126,525
10,Cincinnati Bengals,@Hou,12.00,1.0,1,1,0,0,0,13,184,64,248
11,Jacksonville Jaguars,@Ind,12.00,5.0,0,0,3,0,0,23,214,175,389
12,Washington Redskins,@SF,12.00,2.0,1,0,2,0,0,17,246,66,312
13,New England Patriots,Det,11.00,2.0,1,0,0,0,0,9,244,91,335
14,Houston Texans,Cin,9.00,0.0,1,0,0,0,1,22,233,139,372
15,Atlanta Falcons,Cle,8.00,1.0,3,0,0,0,0,26,313,162,475
16,Cleveland Browns,@Atl,8.00,3.0,1,0,1,0,0,24,252,63,315
17,Oakland Raiders,KC,6.00,2.0,0,0,0,0,0,20,217,96,313
18,Tampa Bay Buccaneers,@Chi,6.00,3.0,0,0,1,0,0,21,112,92,204
19,Tennessee Titans,@Phi,6.00,2.0,2,0,0,0,0,43,298,164,462
20,Green Bay Packers,@Min,5.00,2.0,1,0,0,0,0,21,196,112,308
21,Dallas Cowboys,@NYG,4.00,2.0,1,0,0,0,0,28,328,89,417
22,Kansas City Chiefs,@Oak,4.00,1.0,0,0,1,0,0,24,172,179,351
23,New York Giants,Dal,4.00,2.0,0,0,1,0,0,31,266,119,385
24,Denver Broncos,Mia,3.00,1.0,1,0,0,0,0,36,216,97,313
25,Miami Dolphins,@Den,3.00,1.0,0,0,1,0,0,39,249,201,450
26,New Orleans Saints,Bal,3.00,1.0,0,0,1,0,0,34,234,215,449
27,Detroit Lions,@NE,2.00,0.0,1,0,0,0,0,34,349,90,439
28,Minnesota Vikings,GB,2.00,1.0,0,0,0,0,0,24,207,155,362
29,New York Jets,@Buf,1.00,1.0,0,0,0,0,0,38,220,116,336
