,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Crockett Gillmore, Bal",@Oak,25.00,0,0,0,0,0,0,0,0,0,0,5,88,2,0,0,0
1,"Rob Gronkowski, NE",@Buf,24.00,0,0,0,0,0,0,0,0,0,0,7,113,1,0,0,0
2,"Anthony Fasano, Ten",@Cle,19.00,0,0,0,0,0,0,0,0,0,0,5,84,1,0,0,0
3,"Eric Ebron, Det",@Min,15.00,0,0,0,0,0,0,0,0,0,0,5,43,1,0,0,0
4,"Kyle Rudolph, Min",Det,14.00,0,0,0,0,0,0,0,0,0,0,5,30,1,0,0,0
5,"Jordan Reed, Was",Stl,14.00,0,0,0,0,0,0,0,0,0,0,6,82,0,0,0,0
6,"Tyler Eifert, Cin",SD,14.00,0,0,0,0,0,0,0,0,0,0,4,49,1,0,0,0
7,"Richard Rodgers, GB",Sea,13.00,0,0,0,0,0,0,0,0,0,0,3,23,1,1,0,0
8,"Greg Olsen, Car",Hou,13.00,0,0,0,0,0,0,0,0,0,0,6,70,0,0,0,0
9,"Jason Witten, Dal",@Phi,12.00,0,0,0,0,0,0,0,0,0,0,7,56,0,0,0,0
10,"Larry Donnell, NYG",Atl,12.00,0,0,0,0,0,0,0,0,0,0,4,28,1,0,0,0
11,"Jacob Tamme, Atl",@NYG,11.00,0,0,0,0,0,0,0,0,0,0,4,77,0,0,0,0
12,"Heath Miller, Pit",SF,11.00,0,0,0,0,0,0,0,0,0,0,2,15,1,1,0,0
13,"Vernon Davis, SF",@Pit,11.00,0,0,0,0,0,0,0,0,0,0,5,62,0,0,0,0
14,"Charles Clay, Buf",NE,10.00,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0
15,"Jake Stoneburner, Mia",@Jax,9.00,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,0
16,"Travis Kelce, KC",Den,9.00,0,0,0,0,0,0,0,0,0,0,4,58,0,0,0,0
17,"Virgil Green, Den",@KC,9.00,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0
18,"Ladarius Green, SD",@Cin,9.00,0,0,0,0,0,0,0,0,0,0,5,47,0,0,0,0
19,"Jared Cook, Stl",@Was,9.00,0,0,0,0,0,0,0,0,0,0,5,47,0,0,0,0
20,"Jordan Cameron, Mia",@Jax,9.00,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0
21,"Chase Coffman, Ten",@Cle,8.00,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
22,"Martellus Bennett, Chi",Ari,8.00,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0
23,"James O'Shaughnessy, KC",Den,7.00,0,0,0,0,0,0,0,0,0,0,2,54,0,0,0,0
24,"Garrett Graham, Hou",@Car,7.00,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0
25,"Luke Willson, Sea",@GB,5.00,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0
26,"Scott Chandler, NE",@Buf,5.00,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
27,"Austin Seferian-Jenkins, TB",@NO,4.00,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0
28,"Mychal Rivera, Oak",Bal,4.00,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0
29,"Zach Ertz, Phi",Dal,4.00,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
30,"Owen Daniels, Den",@KC,4.00,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0
31,"Benjamin Watson, NO",TB,3.00,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
32,"Zach Miller, Chi",Ari,3.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
33,"Garrett Celek, SF",@Pit,3.00,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
34,"Michael Williams, NE",@Buf,2.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
35,"Craig Stevens, Ten",@Cle,2.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
36,"Lance Kendricks, Stl",@Was,2.00,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
37,"Jimmy Graham, Sea",@GB,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
38,"C.J. Fiedorowicz, Hou",@Car,2.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
39,"Gavin Escobar, Dal",@Phi,2.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,1,0
40,"Blake Bell, SF",@Pit,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
41,"Gary Barnidge, Cle",Ten,2.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
42,"Maxx Williams, Bal",@Oak,1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
43,"Clive Walford, Oak",Bal,1.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
44,"Geoff Swaim, Dal",@Phi,1.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,"Lee Smith, Oak",Bal,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
46,"Matthew Mulligan, Buf",NE,1.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
47,"Josh Hill, NO",TB,1.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
