,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Jordan Reed, Was",Cle,28.00,0,0,0,0,0,0,0,0,0,0,9,73,2,0,0,0
1,"Greg Olsen, Car",@Atl,21.00,0,0,0,0,0,0,0,0,0,0,6,76,1,1,0,0
2,"Jimmy Graham, Sea",@NYJ,17.00,0,0,0,0,0,0,0,0,0,0,6,113,0,0,0,0
3,"Kyle Rudolph, Min",NYG,16.00,0,0,0,0,0,0,0,0,0,0,5,55,1,0,0,0
4,"Hunter Henry, SD",NO,16.00,0,0,0,0,0,0,0,0,0,0,4,61,1,0,0,0
5,"Martellus Bennett, NE",Buf,15.00,0,0,0,0,0,0,0,0,0,0,5,109,0,0,0,0
6,"C.J. Fiedorowicz, Hou",Ten,14.00,0,0,0,0,0,0,0,0,0,0,4,48,1,0,0,0
7,"Travis Kelce, KC",@Pit,13.00,0,0,0,0,0,0,0,0,0,0,5,23,1,0,0,0
8,"Zach Miller, Chi",Det,12.00,0,0,0,0,0,0,0,0,0,0,3,31,1,0,0,0
9,"Garrett Celek, SF",Dal,12.00,0,0,0,0,0,0,0,0,0,0,5,79,0,0,0,0
10,"Gary Barnidge, Cle",@Was,12.00,0,0,0,0,0,0,0,0,0,0,7,57,0,0,0,0
11,"Jason Witten, Dal",@SF,11.00,0,0,0,0,0,0,0,0,0,0,7,47,0,0,0,0
12,"Austin Hooper, Atl",Car,11.00,0,0,0,0,0,0,0,0,0,0,1,42,1,0,0,0
13,"Cameron Brate, TB",Den,11.00,0,0,0,0,0,0,0,0,0,0,5,67,0,0,0,0
14,"Lance Kendricks, LA",@Ari,10.00,0,0,0,0,0,0,0,0,0,0,5,52,0,0,0,0
15,"Jesse James, Pit",KC,9.00,0,0,0,0,0,0,0,0,0,0,2,15,1,0,0,0
16,"Charles Clay, Buf",@NE,9.00,0,0,0,0,0,0,0,0,0,0,5,47,0,0,0,0
17,"C.J. Uzomah, Cin",Mia,8.00,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0
18,"Will Tye, NYG",@Min,8.00,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
19,"Jacob Tamme, Atl",Car,8.00,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0
20,"Ryan Griffin, Hou",Ten,8.00,0,0,0,0,0,0,0,0,0,0,3,54,0,0,0,0
21,"Eric Ebron, Det",@Chi,8.00,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
22,"Delanie Walker, Ten",@Hou,5.00,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0
23,"Clive Walford, Oak",@Bal,4.00,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
24,"Dennis Pitta, Bal",Oak,4.00,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
25,"Nick O'Leary, Buf",@NE,4.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
26,"Coby Fleener, NO",@SD,4.00,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0
27,"Dwayne Allen, Ind",@Jax,4.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
28,"Logan Paulsen, Chi",Det,3.00,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
29,"David Johnson, Pit",KC,3.00,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0
30,"Crockett Gillmore, Bal",Oak,3.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
31,"Ed Dickson, Car",@Atl,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
32,"Marcedes Lewis, Jax",Ind,2.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
33,"Jeff Heuerman, Den",@TB,2.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
34,"Demetrius Harris, KC",@Pit,2.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
35,"Rob Gronkowski, NE",Buf,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
36,"Xavier Grimble, Pit",KC,2.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
37,"Darren Fells, Ari",LA,2.00,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
38,"Lee Smith, Oak",@Bal,1.00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
39,"Dion Sims, Mia",@Cin,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
40,"Mychal Rivera, Oak",@Bal,1.00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
41,"MyCole Pruitt, Min",NYG,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
42,"Malcolm Johnson, Cle",@Was,1.00,0,0,0,0,0,0,1,2,0,0,1,11,0,0,1,0
43,"Rhett Ellison, Min",NYG,1.00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
44,"Jack Doyle, Ind",@Jax,1.00,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
45,"Vernon Davis, Was",Cle,1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
