,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Green Bay Packers,Chi,22.00,7.0,4,0,0,0,0,10,74,94,168
1,Buffalo Bills,KC,21.00,5.0,1,0,2,0,1,17,272,150,422
2,Seattle Seahawks,Dal,20.00,1.0,1,0,1,1,1,7,247,49,296
3,Washington Redskins,@Stl,14.00,2.0,1,0,2,0,1,31,301,151,452
4,Arizona Cardinals,@NE,12.00,4.0,1,0,0,1,0,18,297,90,387
5,Atlanta Falcons,Den,12.00,3.0,3,0,1,0,0,21,218,118,336
6,Carolina Panthers,NO,12.00,1.0,2,0,0,0,1,27,323,163,486
7,Houston Texans,@Jax,12.00,3.0,0,0,1,0,0,7,52,65,117
8,Tampa Bay Buccaneers,@NYG,12.00,0.0,3,0,0,0,1,41,510,94,604
9,Baltimore Ravens,@Phi,11.00,2.0,2,0,2,0,0,24,357,129,486
10,Cincinnati Bengals,Cle,11.00,2.0,0,0,1,0,1,27,309,130,439
11,Pittsburgh Steelers,NYJ,11.00,2.0,0,0,1,0,0,10,129,90,219
12,Chicago Bears,@GB,10.00,5.0,1,0,1,0,0,23,215,106,321
13,Indianapolis Colts,Min,10.00,4.0,0,0,1,0,0,20,232,95,327
14,New England Patriots,Ari,10.00,2.0,0,0,2,0,0,20,140,102,242
15,Miami Dolphins,Oak,9.00,0.0,1,0,0,0,0,13,373,23,396
16,San Diego Chargers,Ten,9.00,0.0,1,0,0,0,0,10,174,38,212
17,Cleveland Browns,@Cin,8.00,6.0,1,0,0,0,0,34,295,80,375
18,San Francisco 49ers,Det,8.00,2.0,1,0,0,0,0,19,214,82,296
19,Philadelphia Eagles,Bal,7.00,2.0,1,0,1,0,0,23,214,111,325
20,Detroit Lions,@SF,6.00,3.0,0,0,1,0,0,27,201,148,349
21,New York Giants,TB,6.00,2.0,2,0,0,0,0,34,228,79,307
22,Tennessee Titans,@SD,6.00,4.0,1,0,0,0,0,38,268,148,416
23,St. Louis Rams,Was,5.00,1.0,1,0,0,1,0,28,197,176,373
24,New York Jets,@Pit,4.00,3.0,0,0,0,0,0,27,265,66,331
25,Dallas Cowboys,@Sea,3.00,2.0,0,0,0,0,0,27,133,182,315
26,Minnesota Vikings,@Ind,3.00,2.0,0,0,0,0,0,23,194,84,278
27,New Orleans Saints,@Car,3.00,1.0,0,0,1,0,0,35,244,219,463
28,Denver Broncos,@Atl,2.00,1.0,0,0,0,0,0,27,208,67,275
29,Jacksonville Jaguars,Hou,1.00,0.0,0,0,0,0,0,27,195,216,411
30,Oakland Raiders,@Mia,1.00,1.0,0,0,0,0,0,35,189,263,452
31,Kansas City Chiefs,@Buf,0.00,0.0,0,0,0,0,0,35,178,201,379
