,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Kansas City Chiefs,@Den,22.00,5.0,5,0,0,0,0,13,152,69,221
1,Buffalo Bills,@NYJ,19.00,1.0,2,0,2,0,1,17,190,128,318
2,Pittsburgh Steelers,Cle,19.00,6.0,1,0,2,0,0,9,327,15,342
3,Houston Texans,@Cin,18.00,4.0,1,0,1,0,0,6,182,74,256
4,Minnesota Vikings,@Oak,16.00,2.0,2,0,0,0,1,14,287,84,371
5,Washington Redskins,NO,16.00,2.0,2,0,0,0,1,14,192,158,350
6,Seattle Seahawks,Ari,15.00,3.0,1,0,2,0,1,39,334,117,451
7,Tampa Bay Buccaneers,Dal,15.00,3.0,1,0,0,0,0,6,174,42,216
8,Dallas Cowboys,@TB,13.00,2.0,2,0,0,0,0,10,246,84,330
9,Jacksonville Jaguars,@Bal,13.00,1.0,2,0,2,0,0,20,308,89,397
10,Carolina Panthers,@Ten,12.00,1.0,1,0,1,0,0,10,178,64,242
11,Chicago Bears,@Stl,12.00,1.0,1,0,1,0,0,13,191,94,285
12,Cincinnati Bengals,Hou,12.00,3.0,1,0,0,0,0,10,174,82,256
13,Miami Dolphins,@Phi,12.00,4.0,1,0,0,1,0,19,353,83,436
14,Philadelphia Eagles,Mia,10.00,4.0,0,1,0,0,0,20,190,99,289
15,Baltimore Ravens,Jax,8.00,3.0,1,0,0,1,0,22,168,90,258
16,New York Giants,NE,8.00,3.0,1,0,1,0,0,27,329,77,406
17,Detroit Lions,@GB,7.00,3.0,0,0,0,0,0,16,325,47,372
18,Arizona Cardinals,@Sea,6.00,2.0,1,1,0,0,0,32,228,115,343
19,Green Bay Packers,Det,6.00,0.0,1,0,0,0,0,18,242,45,287
20,New England Patriots,@NYG,6.00,3.0,0,0,1,0,0,26,342,80,422
21,Oakland Raiders,Min,6.00,4.0,0,0,0,1,0,30,122,263,385
22,St. Louis Rams,Chi,6.00,2.0,0,0,2,0,0,37,244,153,397
23,Tennessee Titans,Car,6.00,5.0,0,0,0,0,0,27,184,119,303
24,Cleveland Browns,@Pit,5.00,1.0,1,0,1,0,0,30,399,60,459
25,New York Jets,Buf,5.00,4.0,0,0,0,0,0,22,132,148,280
26,New Orleans Saints,@Was,3.00,3.0,0,0,0,0,0,47,301,209,510
27,Denver Broncos,KC,2.00,2.0,0,0,0,0,0,29,197,106,303
