,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Jordy Nelson, GB",Det,43.00,0,0,0,0,0,0,0,0,0,0,9,162,3,0,0,0
1,"Calvin Johnson, Det",@GB,41.00,0,0,0,0,0,0,0,0,0,0,11,244,1,0,0,0
2,"Marques Colston, NO",Car,33.00,0,0,0,0,0,0,0,0,0,0,7,145,2,0,0,0
3,"Victor Cruz, NYG",Dal,29.00,0,0,0,0,0,0,0,0,0,0,6,178,1,0,0,0
4,"Darrius Heyward-Bey, Oak",SD,28.00,0,0,0,0,0,0,0,0,0,0,9,130,1,0,0,0
5,"Percy Harvin, Min",Chi,28.00,0,0,0,0,0,0,5,13,1,0,10,115,0,0,0,0
6,"Michael Crabtree, SF",@Stl,28.00,0,0,0,0,0,0,1,6,0,0,8,86,2,0,0,0
7,"Malcom Floyd, SD",@Oak,25.00,0,0,0,0,0,0,0,0,0,0,7,127,1,0,0,0
8,"Dezmon Briscoe, TB",@Atl,25.00,0,0,0,0,0,0,0,0,0,0,8,53,2,0,0,0
9,"Austin Collie, Ind",@Jax,24.00,0,0,0,0,0,0,0,0,0,0,9,96,1,0,0,0
10,"Julio Jones, Atl",TB,23.00,0,0,0,0,0,0,1,9,0,0,4,76,2,0,0,0
11,"Larry Fitzgerald, Ari",Sea,23.00,0,0,0,0,0,0,0,0,0,0,9,149,0,0,0,0
12,"Laurent Robinson, Dal",@NYG,22.00,0,0,0,0,0,0,0,0,0,0,4,61,2,0,0,0
13,"Brandon Lloyd, Stl",SF,22.00,0,0,0,0,0,0,0,0,0,0,6,100,1,0,0,0
14,"Nate Washington, Ten",@Hou,19.00,0,0,0,0,0,0,0,0,0,0,4,92,1,0,0,0
15,"Steve Smith, Car",@NO,19.00,0,0,0,0,0,0,1,1,0,0,6,86,1,0,1,0
16,"Titus Young, Det",@GB,18.00,0,0,0,0,0,0,0,0,0,0,4,24,2,0,0,0
17,"Hakeem Nicks, NYG",Dal,18.00,0,0,0,0,0,0,0,0,0,0,5,76,1,0,0,0
18,"Jeremy Maclin, Phi",Was,18.00,0,0,0,0,0,0,0,0,0,0,8,105,0,0,0,0
19,"DeSean Jackson, Phi",Was,18.00,0,0,0,0,0,0,0,0,0,0,4,86,1,0,0,0
20,"Roy Williams, Chi",@Min,16.00,0,0,0,0,0,0,0,0,0,0,4,60,1,0,0,0
21,"Joshua Cribbs, Cle",Pit,16.00,0,0,0,0,0,0,0,0,0,0,7,91,0,0,0,0
22,"Reggie Wayne, Ind",@Jax,15.00,0,0,0,0,0,0,0,0,0,0,8,73,0,0,0,0
23,"Derek Hagan, Buf",@NE,15.00,0,0,0,0,0,0,0,0,0,0,7,89,0,0,0,0
24,"Antonio Brown, Pit",@Cle,15.00,0,0,0,0,0,0,0,0,0,0,6,90,0,0,0,0
25,"Dwayne Bowe, KC",@Den,15.00,0,0,0,0,0,0,0,0,0,0,6,93,0,0,0,0
26,"Louis Murphy, Oak",SD,14.00,0,0,0,0,0,0,1,27,0,0,5,72,0,0,0,0
27,"James Jones, GB",Det,14.00,0,0,0,0,0,0,0,0,0,0,6,89,0,0,0,0
28,"Stevie Johnson, Buf",@NE,14.00,0,0,0,0,0,0,0,0,0,0,4,40,1,0,0,0
29,"Vincent Jackson, SD",@Oak,14.00,0,0,0,0,0,0,1,41,0,0,2,29,1,0,0,0
30,"Denarius Moore, Oak",SD,13.00,0,0,0,0,0,0,1,3,0,0,3,101,0,0,0,0
31,"Ricardo Lockette, Sea",@Ari,13.00,0,0,0,0,0,0,0,0,0,0,1,61,1,0,0,0
32,"Jeremy Kerley, NYJ",@Mia,13.00,1,1,41,0,0,0,1,16,0,0,4,71,0,0,0,0
33,"Donald Driver, GB",Det,13.00,0,0,0,0,0,0,0,0,0,0,2,52,1,0,0,0
34,"Dez Bryant, Dal",@NYG,13.00,0,0,0,0,0,0,0,0,0,0,6,70,0,0,0,0
35,"Donnie Avery, Ten",@Hou,13.00,0,0,0,0,0,0,0,0,0,0,3,45,1,0,0,0
36,"Bryant Johnson, Hou",Ten,12.00,0,0,0,0,0,0,1,1,0,0,2,45,1,0,0,0
37,"Wes Welker, NE",Buf,11.00,0,0,0,0,0,0,0,0,0,0,6,51,0,0,0,0
38,"Preston Parker, TB",@Atl,11.00,0,0,0,0,0,0,0,0,0,0,4,74,0,0,0,0
39,"Roddy White, Atl",TB,10.00,0,0,0,0,0,0,0,0,0,0,4,69,0,0,0,0
40,"Jerome Simpson, Cin",Bal,10.00,0,0,0,0,0,0,0,0,0,0,5,54,0,0,0,0
41,"Brandon Marshall, Mia",NYJ,10.00,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
42,"Nate Burleson, Det",@GB,10.00,0,0,0,0,0,0,1,9,0,0,6,45,0,0,0,0
43,"Davone Bess, Mia",NYJ,10.00,0,0,0,0,0,0,0,0,0,0,6,45,0,0,0,0
44,"Chastin West, Jax",Ind,9.00,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0
45,"Golden Tate, Sea",@Ari,9.00,0,0,0,0,0,0,1,-5,0,0,5,46,0,0,0,0
46,"Plaxico Burress, NYJ",@Mia,9.00,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
47,"Patrick Turner, NYJ",@Mia,8.00,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0
48,"Torrey Smith, Bal",@Cin,8.00,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0
49,"Ruvell Martin, Buf",@NE,8.00,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
50,"Jason Avant, Phi",Was,8.00,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
51,"Devin Aromashodu, Min",Chi,8.00,0,0,0,0,0,0,0,0,0,0,3,53,0,0,0,0
52,"Hines Ward, Pit",@Cle,7.00,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,0
53,"Santana Moss, Was",@Phi,7.00,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0
54,"Chad Hall, Phi",Was,7.00,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0
55,"Doug Baldwin, Sea",@Ari,7.00,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
56,"Demaryius Thomas, Den",KC,6.00,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
57,"Andre Roberts, Ari",Sea,6.00,0,0,0,0,0,0,1,8,0,0,4,24,0,0,0,0
58,"Ben Obomanu, Sea",@Ari,6.00,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
59,"Jacoby Jones, Hou",Ten,6.00,0,0,0,0,0,0,1,4,0,0,3,35,0,0,0,0
60,"Devery Henderson, NO",Car,6.00,0,0,0,0,0,0,1,9,0,0,2,48,0,0,0,0
61,"Andrew Hawkins, Cin",Bal,6.00,0,0,0,0,0,0,1,3,0,0,3,34,0,0,0,0
62,"Jabar Gaffney, Was",@Phi,6.00,0,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0
63,"Danario Alexander, Stl",SF,6.00,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
64,"Naaman Roosevelt, Buf",@NE,5.00,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
65,"Robert Meachem, NO",Car,5.00,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
66,"Jerricho Cotchery, Pit",@Cle,5.00,0,0,0,0,0,0,0,0,0,0,3,28,0,0,0,0
67,"Earl Bennett, Chi",@Min,5.00,0,0,0,0,0,0,0,0,0,0,3,31,0,0,1,0
68,"Jonathan Baldwin, KC",@Den,5.00,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
69,"Mike Williams, TB",@Atl,4.00,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0
70,"Damian Williams, Ten",@Hou,4.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
71,"Dane Sanzenbacher, Chi",@Min,4.00,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
72,"Marcel Reece, Oak",SD,4.00,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
73,"David Nelson, Buf",@NE,4.00,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
74,"Brandon LaFell, Car",@NO,4.00,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
75,"Andre Johnson, Hou",Ten,4.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
