,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Arizona Cardinals,Stl,21.00,4.0,1,0,0,1,1,13,233,150,383
1,Green Bay Packers,@SD,20.00,2.0,3,0,0,0,2,38,375,85,460
2,Dallas Cowboys,Sea,16.00,1.0,3,0,0,1,0,13,219,162,381
3,Denver Broncos,@Oak,15.00,2.0,3,0,0,0,1,24,316,100,416
4,Houston Texans,Cle,15.00,4.0,1,0,1,0,0,12,128,44,172
5,Miami Dolphins,@KC,15.00,5.0,0,0,0,0,0,3,227,116,343
6,San Francisco 49ers,@Was,15.00,2.0,1,0,2,0,0,11,251,52,303
7,New York Giants,@NE,14.00,2.0,2,0,2,0,0,20,332,106,438
8,Atlanta Falcons,@Ind,13.00,2.0,1,0,1,0,0,7,103,83,186
9,New York Jets,@Buf,13.00,0.0,2,0,1,0,0,11,191,96,287
10,St. Louis Rams,@Ari,11.00,3.0,0,2,0,0,0,19,192,70,262
11,Philadelphia Eagles,Chi,10.00,0.0,0,0,2,0,1,30,208,164,372
12,Baltimore Ravens,@Pit,9.00,1.0,1,0,1,0,0,20,322,70,392
13,Indianapolis Colts,Atl,9.00,1.0,1,0,0,0,1,31,269,163,432
14,Cincinnati Bengals,@Ten,8.00,2.0,0,0,1,0,0,17,250,78,328
15,Washington Redskins,SF,8.00,2.0,0,0,1,0,0,19,188,138,326
16,Buffalo Bills,NYJ,6.00,1.0,1,0,1,0,0,27,222,126,348
17,Chicago Bears,@Phi,6.00,1.0,1,0,1,0,0,24,211,119,330
18,Pittsburgh Steelers,Bal,6.00,3.0,0,0,1,0,0,23,289,67,356
19,New England Patriots,NYG,5.00,0.0,1,0,1,0,0,24,250,111,361
20,New Orleans Saints,TB,5.00,1.0,0,0,0,0,0,16,281,84,365
21,San Diego Chargers,GB,4.00,4.0,0,0,0,0,0,45,232,136,368
22,Seattle Seahawks,@Dal,3.00,0.0,0,0,1,0,0,23,279,163,442
23,Tampa Bay Buccaneers,@NO,3.00,0.0,1,0,0,0,0,27,258,195,453
24,Cleveland Browns,@Hou,2.00,0.0,1,0,0,0,0,30,119,261,380
25,Tennessee Titans,Cin,2.00,1.0,0,0,0,0,0,24,210,109,319
26,Oakland Raiders,Den,1.00,1.0,0,0,0,0,0,38,113,299,412
27,Kansas City Chiefs,Mia,0.00,0.0,0,0,0,0,0,31,244,107,351
