,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Jahvid Best, Det",Phi,49.00,0,0,0,0,0,0,17,78,2,0,9,154,1,0,0,0
1,"Jason Snelling, Atl",Ari,40.00,0,0,0,0,0,0,24,129,2,0,5,57,1,0,0,0
2,"Frank Gore, SF",NO,35.00,0,0,0,0,0,0,20,112,1,0,7,56,1,0,0,0
3,"LeSean McCoy, Phi",@Det,34.00,0,0,0,0,0,0,16,120,3,0,4,8,0,0,0,0
4,"Adrian Peterson, Min",Mia,29.00,0,0,0,0,0,0,28,145,1,0,5,41,0,0,0,0
5,"Mike Tolbert, SD",Jax,22.00,0,0,0,0,0,0,16,82,2,0,1,13,0,0,0,0
6,"Knowshon Moreno, Den",Sea,21.00,0,0,0,0,0,0,24,51,1,0,4,67,0,0,0,0
7,"Tim Hightower, Ari",@Atl,19.00,0,0,0,0,0,0,11,115,1,0,2,9,0,0,0,0
8,"Pierre Thomas, NO",@SF,17.00,0,0,0,0,0,0,18,46,0,0,8,57,0,0,0,0
9,"Darren McFadden, Oak",Stl,16.00,0,0,0,0,0,0,30,145,0,0,2,8,0,0,0,0
10,"Steven Jackson, Stl",@Oak,16.00,0,0,0,0,0,0,19,75,0,0,4,50,0,0,0,0
11,"Matt Forte, Chi",@Dal,16.00,0,0,0,0,0,0,10,29,0,0,5,37,1,0,0,0
12,"Ray Rice, Bal",@Cin,15.00,0,0,0,0,0,0,16,87,0,0,4,30,0,0,0,0
13,"Clinton Portis, Was",Hou,15.00,0,0,0,0,0,0,13,33,2,0,0,0,0,0,0,0
14,"Arian Foster, Hou",@Was,15.00,0,0,0,0,0,0,19,69,0,0,3,69,0,0,0,0
15,"Peyton Hillis, Cle",KC,14.00,0,0,0,0,0,0,8,35,1,0,3,26,0,0,0,0
16,"Earnest Graham, TB",@Car,14.00,0,0,0,0,0,0,3,1,0,0,5,33,1,0,0,0
17,"Donald Brown, Ind",NYG,14.00,0,0,0,0,0,0,16,69,1,0,1,19,0,0,0,0
18,"LaDainian Tomlinson, NYJ",NE,13.00,0,0,0,0,0,0,11,76,0,0,4,26,0,0,0,0
19,"Darren Sproles, SD",Jax,13.00,0,0,0,0,0,0,5,37,0,0,4,63,0,0,0,0
20,"Reggie Bush, NO",@SF,13.00,0,0,0,0,0,0,5,4,0,0,4,30,1,0,0,0
21,"Joseph Addai, Ind",NYG,13.00,0,0,0,0,0,0,20,92,0,0,2,21,0,0,0,0
22,"Rashad Jennings, Jax",@SD,12.00,0,0,0,0,0,0,9,38,0,0,4,50,0,0,0,0
23,"DeAngelo Williams, Car",TB,10.00,0,0,0,0,0,0,17,54,0,0,3,20,0,0,0,0
24,"Brandon Jackson, GB",Buf,10.00,0,0,0,0,0,0,11,29,1,0,1,10,0,0,0,0
25,"Chris Gronkowski, Dal",Chi,10.00,0,0,0,0,0,0,0,0,0,0,3,13,1,0,0,0
26,"Thomas Jones, KC",@Cle,9.00,0,0,0,0,0,0,22,83,0,0,1,5,0,0,0,0
27,"Fred Jackson, Buf",@GB,9.00,0,0,0,0,0,0,9,39,1,0,0,0,0,0,0,0
28,"Chris Johnson, Ten",Pit,8.00,0,0,0,0,0,0,16,34,0,0,5,19,0,0,1,0
29,"Jerome Harrison, Cle",KC,8.00,0,0,0,0,0,0,16,33,0,0,3,35,0,0,1,0
30,"Ronnie Brown, Mia",@Min,8.00,0,0,0,0,0,0,13,80,0,0,1,3,0,0,1,0
31,"Ahmad Bradshaw, NYG",@Ind,8.00,0,0,0,0,0,0,17,89,0,0,0,0,0,0,0,0
32,"Michael Turner, Atl",Ari,7.00,0,0,0,0,0,0,9,75,0,0,0,0,0,0,0,0
33,"Mike Sellers, Was",Hou,7.00,0,0,0,0,0,0,1,0,0,0,4,38,0,0,0,0
34,"Rashard Mendenhall, Pit",@Ten,7.00,0,0,0,0,0,0,23,69,0,0,1,3,0,0,0,0
35,"Mike Goodson, Car",TB,7.00,0,0,0,0,0,0,5,20,0,0,2,33,0,0,0,0
36,"Jamaal Charles, KC",@Cle,7.00,0,0,0,0,0,0,11,49,0,0,1,27,0,0,0,0
37,"Correll Buckhalter, Den",Sea,7.00,0,0,0,0,0,0,11,19,1,0,0,0,0,0,0,0
38,"Cedric Benson, Cin",Bal,7.00,0,0,0,0,0,0,23,78,0,0,0,0,0,0,0,0
39,"Carnell Williams, TB",@Car,6.00,0,0,0,0,0,0,27,51,0,0,1,8,0,0,0,0
40,"C.J. Spiller, Buf",@GB,6.00,0,0,0,0,0,0,1,3,0,0,4,23,0,0,0,0
41,"Marshawn Lynch, Buf",@GB,6.00,0,0,0,0,0,0,17,64,0,0,0,0,0,0,0,0
42,"Shonn Greene, NYJ",NE,6.00,0,0,0,0,0,0,15,52,0,0,1,8,0,0,0,0
43,"Anthony Dixon, SF",NO,6.00,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
44,"Keiland Williams, Was",Hou,5.00,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0
45,"LaRod Stephens-Howling, Ari",@Atl,5.00,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
46,"Ryan Mathews, SD",Jax,5.00,0,0,0,0,0,0,5,26,0,0,2,29,0,0,1,0
47,"Justin Forsett, Sea",@Den,5.00,0,0,0,0,0,0,8,44,0,0,1,8,0,0,0,0
48,"Kevin Faulk, NE",@NYJ,5.00,0,0,0,0,0,0,5,22,0,0,2,15,0,0,0,0
49,"Jonathan Stewart, Car",TB,4.00,0,0,0,0,0,0,8,43,0,0,0,0,0,0,0,0
50,"Owen Schmitt, Phi",@Det,4.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
51,"Vonta Leach, Hou",@Was,4.00,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
52,"Maurice Jones-Drew, Jax",@SD,4.00,0,0,0,0,0,0,12,31,0,0,1,17,0,0,1,0
53,"Aaron Brown, Det",Phi,4.00,0,0,0,0,0,0,3,13,0,0,2,10,0,0,0,0
54,"Ovie Mughelli, Atl",Ari,3.00,0,0,0,0,0,0,5,16,0,0,2,9,0,0,0,0
55,"John Kuhn, GB",Buf,3.00,0,0,0,0,0,0,9,36,0,0,0,0,0,0,0,0
56,"Felix Jones, Dal",Chi,3.00,0,0,0,0,0,0,7,7,0,0,2,12,0,0,0,0
57,"Marion Barber, Dal",Chi,3.00,0,0,0,0,0,0,11,31,0,0,0,0,0,0,0,0
58,"Ricky Williams, Mia",@Min,2.00,0,0,0,0,0,0,10,30,0,0,0,0,0,0,1,0
59,"D.J. Ware, NYG",@Ind,2.00,0,0,0,0,0,0,2,15,0,0,1,5,0,0,0,0
60,"Chester Taylor, Chi",@Dal,2.00,0,0,0,0,0,0,4,6,0,0,2,9,0,0,0,0
61,"Michael Robinson, Sea",@Den,2.00,0,0,0,0,0,0,1,15,0,0,1,7,0,0,0,0
62,"Sammy Morris, NE",@NYJ,2.00,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0
63,"Quinn Johnson, GB",Buf,2.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
64,"Ahmard Hall, Ten",Pit,2.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
65,"Toby Gerhart, Min",Mia,2.00,0,0,0,0,0,0,4,10,0,0,1,5,0,0,0,0
66,"Heath Evans, NO",@SF,2.00,0,0,0,0,0,0,1,0,0,0,1,18,0,0,0,0
67,"Tim Castille, KC",@Cle,2.00,0,0,0,0,0,0,1,0,0,0,2,8,0,0,0,0
68,"Leon Washington, Sea",@Den,1.00,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0
69,"Fred Taylor, NE",@NYJ,1.00,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0
70,"Steve Slaton, Hou",@Was,1.00,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0
71,"Bernard Scott, Cin",Bal,1.00,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0
72,"Isaac Redman, Pit",@Ten,1.00,0,0,0,0,0,0,4,8,0,0,1,3,0,0,0,0
73,"Lousaka Polite, Mia",@Min,1.00,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0
74,"Moran Norris, SF",NO,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
75,"Mewelde Moore, Pit",@Ten,1.00,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0
76,"Willis McGahee, Bal",@Cin,1.00,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0
77,"Le'Ron McClain, Bal",@Cin,1.00,0,0,0,0,0,0,1,3,0,0,1,5,0,0,0,0
78,"Mike Karney, Stl",@Oak,1.00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
79,"Julius Jones, Sea",@Den,1.00,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0
80,"Greg Jones, Jax",@SD,1.00,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
81,"BenJarvus Green-Ellis, NE",@NYJ,1.00,0,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0
82,"Tashard Choice, Dal",Chi,1.00,0,0,0,0,0,0,1,-1,0,0,1,6,0,0,0,0
83,"Jason Wright, Ari",@Atl,0.00,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
84,"Brian Westbrook, SF",NO,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,"Naufahu Tahi, Min",Mia,0.00,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
86,"Javon Ringer, Ten",Pit,0.00,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
87,"Dimitri Nance, GB",Buf,0.00,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
88,"Maurice Morris, Det",Phi,0.00,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0
89,"Corey McIntyre, Buf",@GB,0.00,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
90,"Dexter McCluster, KC",@Cle,0.00,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
91,"Larry Johnson, Was",Hou,0.00,0,0,0,0,0,0,2,-7,0,0,0,0,0,0,0,0
92,"Brandon Jacobs, NYG",@Ind,0.00,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0
93,"Jacob Hester, SD",Jax,0.00,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
94,"Mike Hart, Ind",NYG,0.00,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
95,"Tony Fiammetta, Car",TB,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,"Kenneth Darby, Stl",@Oak,0.00,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
97,"Mike Bell, Phi",@Det,0.00,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
98,"Devin Moore, Ind",NYG,-1.00,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,1,0
