,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,New England Patriots,@Min,29.00,6.0,4,0,0,1,1,7,163,54,217
1,Buffalo Bills,Mia,23.00,4.0,1,0,1,1,1,10,210,80,290
2,Arizona Cardinals,@NYG,20.00,2.0,2,0,2,0,1,14,260,81,341
3,Washington Redskins,Jax,19.00,10.0,1,0,0,0,0,10,123,25,148
4,Baltimore Ravens,Pit,18.00,2.0,1,0,2,0,0,6,202,99,301
5,Carolina Panthers,Det,17.00,4.0,1,0,2,0,0,7,253,70,323
6,Chicago Bears,@SF,16.00,4.0,3,0,1,0,0,20,232,127,359
7,Cincinnati Bengals,Atl,15.00,2.0,3,0,0,0,0,10,212,97,309
8,Cleveland Browns,NO,13.00,2.0,1,0,1,0,1,24,223,174,397
9,Dallas Cowboys,@Ten,13.00,2.0,2,0,0,0,0,10,232,82,314
10,Houston Texans,@Oak,12.00,0.0,2,0,2,0,0,14,263,101,364
11,St. Louis Rams,@TB,11.00,1.0,1,0,0,2,0,17,175,157,332
12,Tampa Bay Buccaneers,Stl,8.00,2.0,0,0,1,0,0,19,220,119,339
13,Tennessee Titans,Dal,7.00,4.0,0,0,1,0,0,26,148,220,368
14,Denver Broncos,KC,6.00,2.0,0,0,0,0,0,17,247,133,380
15,New York Jets,@GB,6.00,4.0,0,0,1,0,0,31,310,80,390
16,Detroit Lions,@Car,5.00,4.0,0,0,0,0,0,24,251,62,313
17,Green Bay Packers,NYJ,5.00,2.0,1,0,0,0,0,24,166,147,313
18,New York Giants,Ari,5.00,4.0,0,0,0,0,0,25,142,124,266
19,Philadelphia Eagles,@Ind,5.00,0.0,1,0,1,0,0,27,172,169,341
20,San Diego Chargers,Sea,5.00,2.0,0,0,1,0,0,21,180,108,288
21,Jacksonville Jaguars,@Was,3.00,3.0,0,0,0,0,0,41,258,191,449
22,San Francisco 49ers,Chi,3.00,1.0,0,0,0,1,0,28,170,46,216
23,Indianapolis Colts,Phi,2.00,0.0,1,0,0,0,0,30,331,127,458
24,Kansas City Chiefs,@Den,2.00,1.0,0,0,0,0,0,24,237,88,325
25,New Orleans Saints,@Cle,2.00,1.0,0,0,0,0,0,26,202,122,324
26,Oakland Raiders,Hou,2.00,0.0,0,0,0,1,0,30,139,188,327
27,Atlanta Falcons,@Cin,1.00,0.0,0,0,0,0,0,24,302,170,472
28,Minnesota Vikings,NE,1.00,1.0,0,0,0,0,0,30,142,150,292
29,Pittsburgh Steelers,@Bal,1.00,0.0,0,0,0,0,0,26,166,157,323
30,Seattle Seahawks,@SD,1.00,1.0,0,0,0,0,0,30,276,101,377
31,Miami Dolphins,@Buf,0.00,0.0,0,0,0,0,0,29,202,113,315
