,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Matt Flynn, GB",Det,52.00,44,31,480,6,1,0,2,0,0,0,0,0,0,0,1,0
1,"Matthew Stafford, Det",@GB,48.00,59,36,520,5,2,1,0,0,0,0,0,0,0,0,0,0
2,"Drew Brees, NO",Car,43.00,35,28,389,5,1,0,1,5,0,0,0,0,0,0,0,0
3,"Eli Manning, NYG",Dal,32.00,33,24,346,3,0,0,6,14,0,0,0,0,0,0,0,0
4,"Tom Brady, NE",Buf,29.00,35,23,338,3,1,0,0,0,0,0,0,0,0,0,0,0
5,"Michael Vick, Phi",Was,28.00,39,24,335,3,1,0,1,3,0,0,0,0,0,0,1,0
6,"Philip Rivers, SD",@Oak,28.00,26,19,310,3,1,0,3,-3,0,0,0,0,0,0,0,0
7,"Carson Palmer, Oak",SD,26.00,43,28,417,2,1,0,2,6,0,0,0,0,0,0,0,0
8,"Matt Hasselbeck, Ten",@Hou,23.00,35,22,297,2,0,0,1,-1,0,0,0,0,0,0,0,0
9,"Alex Smith, SF",@Stl,20.00,30,20,213,1,0,0,5,4,1,0,0,0,0,0,0,0
10,"Tony Romo, Dal",@NYG,20.00,37,29,289,2,1,0,2,3,0,0,0,0,0,0,1,0
11,"Kellen Clemens, Stl",SF,20.00,31,14,226,1,1,0,2,18,1,0,0,0,0,0,0,0
12,"Ryan Fitzpatrick, Buf",@NE,19.00,46,29,307,2,4,0,5,36,0,0,0,0,0,0,0,0
13,"Josh Freeman, TB",@Atl,18.00,45,31,274,2,3,1,3,14,0,0,0,0,0,0,1,0
14,"Matt Ryan, Atl",TB,16.00,9,6,106,2,0,0,0,0,0,0,0,0,0,0,0,0
15,"John Skelton, Ari",Sea,15.00,40,22,271,1,1,0,5,19,0,0,0,0,0,0,0,0
16,"Mark Sanchez, NYJ",@Mia,14.00,32,21,207,2,3,0,1,2,0,0,0,0,0,0,0,0
17,"Rex Grossman, Was",@Phi,14.00,45,22,256,1,1,0,0,0,0,0,0,0,0,0,0,0
18,"Cam Newton, Car",@NO,13.00,25,15,158,1,1,0,6,32,0,0,0,0,0,0,0,0
19,"Josh McCown, Chi",@Min,13.00,25,15,160,1,1,0,4,30,0,0,0,0,0,0,0,0
20,"Jake Delhomme, Hou",Ten,13.00,28,18,211,1,0,0,0,0,0,0,0,0,0,0,1,0
21,"Tarvaris Jackson, Sea",@Ari,12.00,35,21,222,1,1,0,1,3,0,0,0,0,0,0,0,0
22,"Dan Orlovsky, Ind",@Jax,11.00,40,27,264,1,2,0,1,7,0,0,0,0,0,0,1,0
23,"Joe Flacco, Bal",@Cin,11.00,19,15,130,1,0,0,1,1,0,0,0,0,0,0,0,0
24,"Andy Dalton, Cin",Bal,10.00,44,22,232,0,0,0,4,17,0,0,0,0,0,0,0,0
25,"Seneca Wallace, Cle",Pit,9.00,41,16,177,0,1,0,3,44,0,0,0,0,0,0,0,0
26,"Ben Roethlisberger, Pit",@Cle,8.00,40,23,221,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"Blaine Gabbert, Jax",Ind,8.00,19,11,92,1,0,0,3,-3,0,0,0,0,0,0,1,0
28,"Kyle Orton, KC",@Den,7.00,29,15,180,0,0,0,1,-1,0,0,0,0,0,0,0,0
29,"Matt Moore, Mia",NYJ,7.00,32,22,135,1,2,0,3,-1,0,0,0,0,0,0,0,0
30,"Joe Webb, Min",Chi,4.00,32,17,200,0,2,0,4,2,0,0,0,0,0,0,0,0
31,"T.J. Yates, Hou",Ten,1.00,4,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Tim Tebow, Den",KC,0.00,22,6,60,0,1,0,6,16,0,0,0,0,0,0,1,0
33,"Chris Redman, Atl",TB,0.00,12,7,71,0,1,0,3,-4,0,0,0,0,0,0,0,0
34,"Josh Johnson, TB",@Atl,0.00,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
35,"Brian Hoyer, NE",Buf,0.00,1,1,22,0,0,0,3,-2,0,0,0,0,0,0,0,0
36,"Chase Daniel, NO",Car,0.00,3,3,20,0,0,0,3,-3,0,0,0,0,0,0,0,0
37,"Tom Brandstater, Stl",SF,0.00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,"Derek Anderson, Car",@NO,0.00,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
39,"Christian Ponder, Min",Chi,-1.00,10,4,28,0,1,0,0,0,0,0,0,0,0,0,0,0
