,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Philadelphia Eagles,@SF,27.00,4.0,1,0,0,1,3,26,189,218,407
1,Miami Dolphins,@Oak,20.00,2.0,3,0,1,0,1,14,264,53,317
2,Kansas City Chiefs,NE,19.00,3.0,2,0,1,0,1,14,215,75,290
3,New York Giants,@Was,18.00,2.0,4,0,2,0,0,14,243,86,329
4,Houston Texans,Buf,16.00,2.0,2,0,0,0,1,17,220,96,316
5,Indianapolis Colts,Ten,13.00,3.0,2,0,1,0,0,17,176,85,261
6,San Diego Chargers,Jax,13.00,3.0,2,0,1,0,0,14,235,85,320
7,Dallas Cowboys,NO,12.00,2.0,1,0,2,0,0,17,334,104,438
8,Baltimore Ravens,Car,11.00,2.0,0,0,1,0,0,10,248,67,315
9,Buffalo Bills,@Hou,10.00,3.0,2,0,1,0,0,23,264,37,301
10,Detroit Lions,@NYJ,10.00,2.0,1,0,1,0,0,17,204,132,336
11,San Francisco 49ers,Phi,10.00,1.0,2,0,2,0,0,21,191,22,213
12,Green Bay Packers,@Chi,9.00,1.0,2,0,0,0,0,17,261,235,496
13,Tampa Bay Buccaneers,@Pit,8.00,5.0,0,0,1,0,0,24,305,85,390
14,Oakland Raiders,Mia,6.00,0.0,1,0,2,0,0,38,278,157,435
15,Minnesota Vikings,Atl,5.00,1.0,2,0,0,0,0,28,288,123,411
16,New York Jets,Det,5.00,4.0,0,0,0,0,0,24,272,88,360
17,Pittsburgh Steelers,TB,4.00,1.0,1,0,0,0,0,27,287,63,350
18,Chicago Bears,GB,3.00,1.0,0,0,0,1,0,38,302,56,358
19,Washington Redskins,NYG,3.00,1.0,1,0,0,0,0,45,295,154,449
20,Jacksonville Jaguars,@SD,2.00,2.0,0,0,0,0,0,33,365,42,407
21,New England Patriots,@KC,2.00,2.0,0,0,0,0,0,41,236,207,443
22,Tennessee Titans,@Ind,2.00,0.0,1,0,0,0,0,41,393,105,498
23,New Orleans Saints,@Dal,1.00,1.0,0,0,0,0,0,38,255,190,445
24,Atlanta Falcons,@Min,0.00,0.0,0,0,0,0,0,41,317,241,558
25,Carolina Panthers,@Bal,0.00,0.0,0,0,0,0,0,38,327,127,454
