,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Green Bay Packers,Phi,33.00,3.0,2,0,2,0,3,20,320,109,429
1,Tampa Bay Buccaneers,@Was,25.00,6.0,2,0,1,0,1,7,167,155,322
2,San Francisco 49ers,@NYG,19.00,2.0,5,0,0,0,0,10,265,65,330
3,Arizona Cardinals,Det,16.00,4.0,1,0,0,0,0,6,164,98,262
4,Houston Texans,@Cle,14.00,3.0,1,0,1,0,0,7,310,65,375
5,San Diego Chargers,Oak,14.00,2.0,0,0,1,0,0,6,162,71,233
6,St. Louis Rams,Den,13.00,2.0,2,0,0,0,0,7,369,28,397
7,Atlanta Falcons,@Car,12.00,2.0,2,0,0,1,0,17,285,106,391
8,Chicago Bears,Min,11.00,2.0,1,0,0,0,0,13,147,96,243
9,Miami Dolphins,Buf,11.00,2.0,0,1,0,0,0,9,183,54,237
10,Buffalo Bills,@Mia,10.00,5.0,0,0,2,0,0,22,205,125,330
11,Cincinnati Bengals,@NO,9.00,0.0,0,0,1,0,0,10,255,75,330
12,Oakland Raiders,@SD,9.00,2.0,0,0,0,0,0,13,180,120,300
13,Pittsburgh Steelers,@Ten,9.00,0.0,1,0,0,0,1,24,263,49,312
14,Carolina Panthers,Atl,8.00,2.0,0,0,1,0,0,19,260,86,346
15,Detroit Lions,@Ari,8.00,0.0,2,0,0,0,0,14,306,46,352
16,Tennessee Titans,Pit,8.00,5.0,1,0,0,0,0,27,180,206,386
17,New England Patriots,@Ind,7.00,1.0,1,0,0,0,0,20,303,19,322
18,New York Giants,SF,7.00,1.0,0,0,1,0,0,16,185,148,333
19,Kansas City Chiefs,Sea,6.00,2.0,0,0,0,0,0,20,168,204,372
20,Minnesota Vikings,@Chi,5.00,0.0,2,0,0,0,0,21,330,138,468
21,Philadelphia Eagles,@GB,5.00,1.0,0,0,0,2,0,53,365,110,475
22,Seattle Seahawks,@KC,5.00,0.0,0,0,2,0,0,24,108,190,298
23,Washington Redskins,TB,5.00,2.0,0,0,1,0,0,27,281,48,329
24,Denver Broncos,@Stl,4.00,3.0,0,0,0,0,0,22,206,131,337
25,Indianapolis Colts,NE,4.00,0.0,2,0,0,0,0,42,257,246,503
26,Cleveland Browns,Hou,3.00,0.0,1,0,0,0,0,23,211,213,424
27,New Orleans Saints,Cin,2.00,1.0,0,0,0,0,0,27,219,186,405
