,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Miami Dolphins,@NYJ,26.00,3.0,3,0,1,1,1,13,244,116,360
1,Indianapolis Colts,@Min,21.00,5.0,1,0,2,0,0,6,248,34,282
2,New England Patriots,@Den,20.00,4.0,1,0,2,0,0,3,251,58,309
3,Dallas Cowboys,TB,16.00,4.0,3,0,1,0,0,20,224,52,276
4,New York Giants,Det,15.00,1.0,1,0,1,0,0,6,268,56,324
5,Seattle Seahawks,LA,14.00,4.0,0,0,0,0,0,3,136,47,183
6,Oakland Raiders,@SD,13.00,3.0,1,0,1,1,0,16,190,73,263
7,Buffalo Bills,Cle,12.00,5.0,0,0,0,0,0,13,162,107,269
8,Arizona Cardinals,NO,11.00,3.0,0,0,1,0,1,48,358,130,488
9,Atlanta Falcons,SF,11.00,2.0,0,0,1,0,0,13,165,107,272
10,Carolina Panthers,@Was,11.00,1.0,1,0,2,0,0,15,306,29,335
11,Jacksonville Jaguars,@Hou,11.00,0.0,2,0,0,0,1,21,308,79,387
12,Kansas City Chiefs,Ten,11.00,1.0,1,0,2,0,0,19,241,148,389
13,Green Bay Packers,@Chi,10.00,1.0,3,0,1,0,0,27,354,95,449
14,Houston Texans,Jax,10.00,2.0,1,1,0,0,0,20,83,67,150
15,San Diego Chargers,Oak,10.00,2.0,1,0,1,0,0,19,200,145,345
16,Philadelphia Eagles,@Bal,8.00,3.0,1,0,1,0,0,27,189,151,340
17,Pittsburgh Steelers,@Cin,7.00,1.0,1,0,0,0,0,20,146,76,222
18,Tennessee Titans,@KC,7.00,1.0,1,0,0,0,0,17,159,157,316
19,Denver Broncos,NE,6.00,2.0,0,0,0,0,0,16,177,136,313
20,Detroit Lions,@NYG,6.00,2.0,0,0,0,0,0,17,186,114,300
21,Tampa Bay Buccaneers,@Dal,6.00,3.0,0,0,1,0,0,26,264,185,449
22,Los Angeles Rams,@Sea,5.00,2.0,1,0,0,0,0,24,227,72,299
23,New Orleans Saints,@Ari,5.00,1.0,0,0,2,0,0,41,309,116,425
24,Baltimore Ravens,Phi,4.00,1.0,1,0,0,0,0,26,159,169,328
25,Chicago Bears,GB,4.00,4.0,0,0,0,0,0,30,225,226,451
26,New York Jets,Mia,3.00,1.0,1,0,0,0,0,34,236,67,303
27,San Francisco 49ers,@Atl,3.00,1.0,0,0,1,0,0,41,302,248,550
28,Washington Redskins,Car,3.00,2.0,0,0,0,0,0,26,290,148,438
29,Cincinnati Bengals,Pit,2.00,1.0,0,0,0,0,0,24,285,97,382
30,Cleveland Browns,@Buf,1.00,1.0,0,0,0,0,0,33,171,280,451
31,Minnesota Vikings,Ind,0.00,0.0,0,0,0,0,0,34,250,161,411
