,Team,Opp,Pts,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
0,Houston Texans,@Ten,25.00,6.0,3,0,3,0,0,10,265,89,354
1,St. Louis Rams,SF,20.00,3.0,0,1,1,0,1,13,191,148,339
2,Arizona Cardinals,@NYJ,18.00,3.0,3,0,1,0,0,7,112,177,289
3,Atlanta Falcons,NO,18.00,1.0,5,0,0,0,0,13,335,101,436
4,San Diego Chargers,Cin,17.00,1.0,2,0,1,0,1,20,211,128,339
5,Cincinnati Bengals,@SD,15.00,4.0,1,0,1,0,0,13,251,46,297
6,New York Jets,Ari,14.00,2.0,1,0,0,0,0,6,56,81,137
7,Buffalo Bills,Jax,11.00,3.0,1,0,1,0,0,18,186,50,236
8,Oakland Raiders,Cle,11.00,1.0,2,0,0,1,0,20,353,122,475
9,Pittsburgh Steelers,@Bal,11.00,3.0,1,0,1,0,0,20,177,111,288
10,Washington Redskins,NYG,11.00,1.0,0,0,0,0,1,16,273,117,390
11,Denver Broncos,TB,10.00,1.0,1,0,0,0,1,23,235,71,306
12,Baltimore Ravens,Pit,9.00,2.0,2,0,1,0,0,23,270,96,366
13,Dallas Cowboys,Phi,9.00,1.0,0,0,1,0,1,33,240,183,423
14,New England Patriots,@Mia,9.00,3.0,0,0,1,0,0,16,176,101,277
15,Detroit Lions,Ind,8.00,2.0,3,0,0,0,0,35,372,87,459
16,Green Bay Packers,Min,8.00,0.0,2,0,0,0,0,14,119,240,359
17,Philadelphia Eagles,@Dal,8.00,2.0,0,0,0,0,1,38,294,123,417
18,Cleveland Browns,@Oak,7.00,1.0,1,0,0,0,0,17,344,85,429
19,Miami Dolphins,NE,7.00,4.0,1,0,0,0,0,23,213,108,321
20,New York Giants,@Was,6.00,0.0,0,0,1,0,0,17,163,207,370
21,San Francisco 49ers,@Stl,6.00,2.0,0,0,0,0,0,16,208,85,293
22,Chicago Bears,Sea,5.00,2.0,0,0,1,0,0,23,283,176,459
23,Minnesota Vikings,@GB,5.00,2.0,1,0,0,0,0,23,283,152,435
24,Jacksonville Jaguars,@Buf,4.00,0.0,1,0,1,0,0,34,112,232,344
25,New Orleans Saints,@Atl,4.00,1.0,0,0,1,0,0,23,159,124,283
26,Seattle Seahawks,@Chi,4.00,0.0,0,0,0,0,0,17,233,132,365
27,Kansas City Chiefs,Car,3.00,2.0,0,0,0,0,0,21,220,165,385
28,Carolina Panthers,@KC,2.00,1.0,0,0,0,0,0,27,197,158,355
29,Indianapolis Colts,@Det,2.00,0.0,1,0,0,0,0,33,313,138,451
30,Tampa Bay Buccaneers,@Den,2.00,0.0,1,0,0,0,0,31,242,91,333
31,Tennessee Titans,Hou,1.00,0.0,0,0,0,0,0,24,207,124,331
