,Player,Opp,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
0,"Greg Olsen, Car",NO,33.00,0,0,0,0,0,0,0,0,0,0,8,134,2,0,0,0
1,"Gary Barnidge, Cle",Oak,22.00,0,0,0,0,0,0,0,0,0,0,6,105,1,0,0,0
2,"Jimmy Graham, Sea",Chi,21.00,0,0,0,0,0,0,0,0,0,0,7,83,1,0,0,0
3,"Charles Clay, Buf",@Mia,19.00,0,0,0,0,0,0,0,0,0,0,5,82,1,0,0,0
4,"Travis Kelce, KC",@GB,16.00,0,0,0,0,0,0,0,0,0,0,6,80,0,1,0,0
5,"Jordan Reed, Was",@NYG,15.00,0,0,0,0,0,0,0,0,0,0,6,96,0,0,0,0
6,"Rob Gronkowski, NE",Jax,14.00,0,0,0,0,0,0,0,0,0,0,4,101,0,0,0,0
7,"Delanie Walker, Ten",Ind,13.00,0,0,0,0,0,0,0,0,0,0,7,68,0,0,0,0
8,"Clay Harbor, Jax",@NE,13.00,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0
9,"Owen Daniels, Den",@Det,13.00,0,0,0,0,0,0,0,0,0,0,5,28,1,0,0,0
10,"Jason Witten, Dal",Atl,12.00,0,0,0,0,0,0,0,0,0,0,6,65,0,0,0,0
11,"Eric Ebron, Det",Den,10.00,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0
12,"Coby Fleener, Ind",@Ten,9.00,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
13,"Maxx Williams, Bal",Cin,7.00,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
14,"Benjamin Watson, NO",@Car,7.00,0,0,0,0,0,0,0,0,0,0,4,42,0,0,1,0
15,"John Phillips, SD",@Min,7.00,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0
16,"Crockett Gillmore, Bal",Cin,7.00,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
17,"Jack Doyle, Ind",@Ten,6.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
18,"Larry Donnell, NYG",Was,6.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
19,"Jermaine Gresham, Ari",SF,5.00,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0
20,"Daniel Fells, NYG",Was,5.00,0,0,0,0,0,0,0,0,0,0,3,27,0,0,0,0
21,"Zach Ertz, Phi",@NYJ,5.00,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
22,"Garrett Celek, SF",@Ari,5.00,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
23,"Martellus Bennett, Chi",@Sea,5.00,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0
24,"Craig Stevens, Ten",Ind,4.00,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0
25,"Brandon Myers, TB",@Hou,4.00,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
26,"Scott Chandler, NE",Jax,4.00,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
27,"Jordan Cameron, Mia",Buf,4.00,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
28,"Levine Toilolo, Atl",@Dal,3.00,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0
29,"Kyle Rudolph, Min",SD,3.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
30,"Richard Rodgers, GB",KC,3.00,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
31,"Andrew Quarless, GB",KC,3.00,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
32,"Zach Miller, Chi",@Sea,3.00,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
33,"Heath Miller, Pit",@Stl,3.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
34,"Lance Kendricks, Stl",Pit,3.00,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
35,"Virgil Green, Den",@Det,3.00,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0
36,"Anthony Fasano, Ten",Ind,3.00,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0
37,"Ed Dickson, Car",NO,3.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
38,"Nick Boyle, Bal",Cin,3.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
39,"Jake Stoneburner, Mia",Buf,2.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
40,"Josh Hill, NO",@Car,2.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
41,"Darren Fells, Ari",SF,2.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
42,"Jacob Tamme, Atl",@Dal,1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
43,"Lee Smith, Oak",@Cle,1.00,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
44,"Garrett Graham, Hou",TB,1.00,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
45,"Jared Cook, Stl",Pit,1.00,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
46,"Blake Bell, SF",@Ari,1.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,"David Johnson, SD",@Min,0.00,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
